date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),fees,activeAddresses
2014-08-05,,,936316.6819672132,0.002976,30316.0,,
2014-08-06,,,863077.158449379,0.002373,35820.0,,
2014-08-07,,,1158973.0219912033,0.002686,142864.0,,
2014-08-08,,,1090403.2408885804,0.002493,93708.0,,
2014-08-09,,,1363031.7552427463,0.002884,233579.0,,
2014-08-10,,,1800928.1812688822,0.003497,352737.0,,
2014-08-11,,,2891385.4870509603,0.004566,479942.0,,
2014-08-12,,,3069167.4464084245,0.003592,345441.0,,
2014-08-13,,,2445518.8755860077,0.002619,256302.0,,
2014-08-14,,,2706109.3948818897,0.002763,169177.0,,
2014-08-15,,,2596557.0769870994,0.002566,135243.0,,
2014-08-16,,,2467401.675643564,0.002401,116833.99999999999,,
2014-08-17,,,2598081.2302096705,0.002507,61889.0,,
2014-08-18,,,2436286.4987654323,0.002336,104237.00000000001,,
2014-08-19,,,2115252.3291366906,0.002028,66941.0,,
2014-08-20,,,2318500.828125,0.002223,96584.0,,
2014-08-21,,,2595462.861924686,0.002488,76029.0,,
2014-08-22,,,2495118.053503185,0.002392,50589.0,,
2014-08-23,,,2459989.5610192223,0.002358,43776.00000000001,,
2014-08-24,,,2333663.0551075265,0.002237,37470.0,,
2014-08-25,,,2332284.918505178,0.002236,38512.0,,
2014-08-26,,,2316314.9585313178,0.002221,99823.0,,
2014-08-27,,,2379373.017157941,0.002281,60132.0,,
2014-08-28,,,2368397.211009174,0.00227,90044.0,,
2014-08-29,,,2277735.1858887384,0.002184,43049.0,,
2014-08-30,,,2314044.95763098,0.002218,39116.0,,
2014-08-31,,,2283992.5473071327,0.00219,22844.0,,
2014-09-01,,,2149765.5268656714,0.002061,27975.0,,
2014-09-02,,,2095005.9669834918,0.002008,23793.0,,
2014-09-03,,,2228280.4167071395,0.001998,36081.0,,
2014-09-04,,,2306456.033333333,0.002059,58031.0,,
2014-09-05,,,2396117.002881844,0.00213,26119.0,,
2014-09-06,,,2353748.5228255647,0.002082,31676.0,,
