date,txVolume(USD),txCount,paymentCount,activeAddresses,medianTxValue(USD),fees,medianFee,marketcap(USD),price(USD),exchangeVolume(USD)
2013/8/4,67666.33,20638,2794,224,0.035244,0.220846,1.00E-05,45921035.58,0.005874,0
2013/8/5,25977.82285,23558,2938,356,0.03525,0.302046,1.00E-05,45927320.04,0.005875,0
2013/8/6,59465581.15,25261,2709,416,0.033822,0.296846,1.00E-05,44073400.02,0.005637,0
2013/8/7,256828.2967,20914,3335,377,0.032683,0.234429,1.00E-05,36504371.96,0.004669,0
2013/8/8,69543.44392,37608,3477,433,0.026382,0.396204,1.00E-05,34376634.91,0.004397,0
2013/8/9,35803.82224,40677,2219,275,0.025542,0.422284,1.00E-05,33281687.32,0.004257,0
2013/8/10,52366.72295,46216,1839,208,0.025746,0.478224,1.00E-05,33545165.04,0.004291,0
2013/8/11,5396.324119,36327,1887,220,0.025884,0.382382,1.00E-05,33728820.9,0.004314,0
2013/8/12,45163.11797,30982,2207,290,0.026484,0.323274,1.00E-05,34504597.15,0.004414,0
2013/8/13,26222.75052,30441,1419,348,0.031241,0.322433,1.00E-05,34894776.62,0.004463,0
2013/8/14,752303.4829,35258,1788,532,0.029869,0.484531,1.00E-05,33362634.41,0.004267,0
2013/8/15,226574.7304,33241,1859,381,0.026516,0.364207,1.00E-05,29613879.57,0.003788,0
2013/8/16,21261.2492,31787,1571,394,0.021574,0.417621,1.00E-05,24091045.99,0.003082,0
2013/8/17,12102.57226,35052,1913,255,0.021966,1.15234,1.00E-05,24532581.32,0.003138,0
2013/8/18,32079.29205,36661,1839,249,0.039809,0.383972,1.00E-05,44463822.16,0.005687,0
2013/8/19,97086.45999,29447,1235,279,0.039109,50.092198,1.00E-05,43681955.25,0.005587,0
2013/8/20,16837.03333,26050,1520,314,0.037632,17.125663,1.00E-05,42029320.27,0.005376,0
2013/8/21,4338.251085,27546,1727,266,0.042686,4.960183,1.00E-05,47670770.37,0.006098,0
2013/8/22,8566.333503,29084,1925,244,0.042917,0.459594,1.00E-05,47928872.56,0.006131,0
2013/8/23,1771.110111,32926,3082,212,0.031074,0.364587,1.00E-05,40485620.64,0.005179,0
2013/8/24,3694.717992,32586,2773,199,0.035973,0.368722,1.00E-05,40176063.56,0.005139,0
2013/8/25,897.3760217,33954,2619,191,0.033156,0.599538,1.00E-05,43200880.16,0.005526,0
2013/8/26,1561.144182,36821,2490,240,0.036624,0.390316,1.00E-05,47719804.02,0.006104,0
2013/8/27,502448.1642,42038,3686,289,0.038808,0.514836,1.00E-05,50566425.01,0.006468,0
2013/8/28,52308.85729,37585,2802,230,0.038706,0.402687,1.00E-05,50432964.71,0.006451,0
2013/8/29,67675.40218,34007,2475,209,0.037476,0.442441,1.00E-05,48827150.7,0.006246,0
2013/8/30,57400.56034,34973,2494,253,0.03456,0.3887,1.00E-05,45033627.52,0.00576,0
2013/8/31,7243.32745,31576,2256,209,0.041391,32.551136,1.00E-05,46225376.2,0.005913,0
2013/9/1,23504.84169,28534,1828,178,0.039361,0.327089,1.00E-05,43957715.54,0.005623,0
2013/9/2,6168.882918,25235,1810,191,0.040593,0.460475,1.00E-05,45334794.46,0.005799,0
2013/9/3,161211.6732,30857,2679,190,0.038626,0.388509,1.00E-05,43137822.38,0.005518,0
2013/9/4,19152.77241,29027,2283,221,0.03396,1.075107,1.00E-05,44249178.34,0.00566,0
2013/9/5,43080.76727,29132,2623,241,0.034176,0.377345,1.00E-05,44528752.59,0.005696,0
2013/9/6,116066.1639,38295,4395,206,0.040019,0.413087,1.00E-05,44691523.79,0.005717,0
2013/9/7,91116.16138,44516,7380,190,0.05853,0.495639,1.00E-05,45757886.43,0.005853,0
2013/9/8,14619.11874,46528,9705,178,0.098752,0.525241,1.00E-05,48252327.66,0.006172,0
2013/9/9,16763.63555,45753,8373,201,0.074316,0.507497,1.00E-05,48416268.53,0.006193,0
2013/9/10,31417.92057,46545,7891,240,0.056502,0.515236,1.00E-05,49079191.35,0.006278,0
2013/9/11,87416.69637,48930,9401,206,0.11614,0.5474,1.00E-05,45400150.76,0.005807,0
2013/9/12,1637377.646,45741,8945,240,0.100592,0.511572,1.00E-05,49148209.08,0.006287,0
2013/9/13,24058.2402,46857,12197,272,0.06334,77.059535,1.00E-05,49519350.1,0.006334,0
2013/9/14,9363.813181,40459,7797,299,0.07818,0.453206,1.00E-05,50932266.18,0.006515,0
2013/9/15,24230.49198,45769,8499,203,0.6349,0.50917,1.00E-05,49634018.72,0.006349,0
2013/9/16,88264.122,52883,8920,369,0.3248,0.596075,1.00E-05,50786163.46,0.006496,0
2013/9/17,51163.2965,53394,7663,465,0.07086,0.59853,1.00E-05,55397163.44,0.007086,0
2013/9/18,98328.74102,51903,8459,413,0.38468,0.589234,1.00E-05,75183948.86,0.009617,0
2013/9/19,123680.3794,48792,2844,344,0.43096,0.519638,1.00E-05,84228407.53,0.010774,0
2013/9/20,183026.9484,40424,1591,363,0.10962,0.426187,1.00E-05,85700555.04,0.010962,0
2013/9/21,496087.4188,21292,2860,330,0.5053,0.246983,1.00E-05,79009793.61,0.010106,0
2013/9/22,9724.024756,47009,4183,269,0.14601,0.504416,1.00E-05,76100070.57,0.009734,0
2013/9/23,12227.22176,44947,3060,293,0.155925,0.476115,1.00E-05,81264528.67,0.010395,0
2013/9/24,20253.89302,41778,3245,305,0.10016,0.445324,1.00E-05,78306982.3,0.010016,0
2013/9/25,21557.41513,42907,3449,352,0.156885,0.458483,1.00E-05,81766525.19,0.010459,0
2013/9/26,85668.43852,41594,1825,446,0.10432,0.441511,1.00E-05,81559011.2,0.010432,0
2013/9/27,137892.1698,47172,3534,394,0.2353,0.504608,1.00E-05,91977473.64,0.011765,0
2013/9/28,402860.9345,39834,3846,521,0.089796,0.426351,1.00E-05,117004230.2,0.014966,0
2013/9/29,53253.16167,50418,7515,366,0.41541,0.559776,1.00E-05,108252637.1,0.013847,0
2013/9/30,101635.2225,50535,8038,380,0.3855,0.567541,1.00E-05,100462641.2,0.01285,0
2013/10/1,697054.1086,42925,5090,334,0.294462,0.467432,1.00E-05,85259476.46,0.010906,0
2013/10/2,368392.5782,39237,1294,388,0.57849,0.412791,1.00E-05,82231388.26,0.010518,0
2013/10/3,27944655.57,46535,2673,332,0.38895,0.492565,1.00E-05,60813295.48,0.007779,0
2013/10/4,334591.4234,45259,3993,330,0.4461,0.484138,1.00E-05,69752201.42,0.008922,0
2013/10/5,4428.056617,30816,1123,308,0.077408,0.320602,1.00E-05,75645821.73,0.009676,0
2013/10/6,168147.1122,45888,2416,263,0.113688,0.480728,1.00E-05,74067215.8,0.009474,0
2013/10/7,113408.4029,49081,4970,386,0.48345,0.5308,1.00E-05,75587658.64,0.009669,0
2013/10/8,60242.11294,47718,4859,344,0.138375,0.51674,1.00E-05,72117667.86,0.009225,0
2013/10/9,59057.66452,47917,3947,354,0.141585,0.521551,1.00E-05,73794054.14,0.009439,0
2013/10/10,293408.5624,37355,2929,533,0.4831,0.433151,1.00E-05,75533923,0.009662,0
2013/10/11,151979.352,48564,3986,486,0.4942,0.545946,1.00E-05,77272712.01,0.009884,0
2013/10/12,32880.79985,42918,4225,470,0.4456,0.505274,1.00E-05,69673405.21,0.008912,0
2013/10/13,36254.44406,44558,1326,381,0.09382,0.47423,1.00E-05,73344564.6,0.009382,0
2013/10/14,283404.8702,47523,3569,395,0.25455,0.528452,1.00E-05,66335264.22,0.008485,0
2013/10/15,164877.9506,43212,2108,361,0.17008,0.465559,1.00E-05,66483417.48,0.008504,0
2013/10/16,59410.02396,37978,2230,657,0.16136,0.428249,1.00E-05,63072575.72,0.008068,0
2013/10/17,80963.1417,42282,1273,394,0.21894,0.450455,1.00E-05,57054480.75,0.007298,0
2013/10/18,21156.4459,47180,2275,449,0.2004,0.521878,1.00E-05,65283242.79,0.00835,0
2013/10/19,69053.42051,47861,1615,682,0.397,0.581283,1.00E-05,62073359.81,0.00794,0
2013/10/20,33883.13527,46739,1476,358,0.2888,0.502612,1.00E-05,56442215.3,0.00722,0
2013/10/21,49498.87431,46882,2332,618,0.13414,0.546938,1.00E-05,52436721.19,0.006707,0
2013/10/22,22617.49018,47132,2089,508,0.1995,0.529394,1.00E-05,51991852.87,0.00665,0
2013/10/23,50906.56164,38249,2456,564,0.109264,0.455233,1.00E-05,53389182.72,0.006829,0
2013/10/24,101855.3185,47395,3726,1229,7.020528,1.02552,1.00E-05,61807446.05,0.007906,0
2013/10/25,298585.9076,33205,7801,3272,7.61016,1.623803,1.00E-05,67001170.72,0.00857,0
2013/10/26,36281.98217,41059,2017,1156,5.6826,0.522288,1.00E-05,53853265.74,0.006888,0
2013/10/27,32273.89495,46946,1500,778,2.3858,0.605087,1.00E-05,47222883.7,0.00604,0
2013/10/28,198641.5291,43452,2738,1080,4.1004,0.688859,1.00E-05,53427368.96,0.006834,0
2013/10/29,219503.6387,50655,4489,849,0.11884,0.650477,1.00E-05,46454598.6,0.005942,0
2013/10/30,292653.3092,48234,3245,869,0.252588,0.626359,1.00E-05,47019278.6,0.006014,0
2013/10/31,546634.3456,44953,3679,749,0.35118,0.577484,1.00E-05,45757053.9,0.005853,0
2013/11/1,32770.40787,41792,2903,733,0.3645,0.503775,1.00E-05,47497418.58,0.006075,0
2013/11/2,100037.7985,30225,3717,817,0.38076,0.406212,1.00E-05,49615387.03,0.006346,0
2013/11/3,165141.3595,38230,2726,856,0.115719,0.49707,1.00E-05,53218233.56,0.006807,0
2013/11/4,172557.4698,46470,3252,1134,0.42882,0.664523,1.00E-05,55875175.66,0.007147,0
2013/11/5,58409.77567,24624,3345,1096,0.273546,0.456146,1.00E-05,54835906.19,0.007014,0
2013/11/6,161344.9675,44168,5181,873,0.085644,0.632583,1.00E-05,55793839.85,0.007137,0
2013/11/7,170610.4613,46904,2987,1103,0.23253,0.959399,1.00E-05,60595514.43,0.007751,0
2013/11/8,772367.3127,40787,2281,1179,0.53898,0.669975,1.00E-05,70224828.71,0.008983,0
2013/11/9,354588.3511,33818,2803,912,0.138827,0.557081,1.00E-05,83482710.41,0.010679,0
2013/11/10,39253.41446,35488,4918,782,0.08859,0.433035,1.00E-05,69261903.25,0.008859,0
2013/11/11,66028.38386,37484,2284,911,0.09549045,0.446371,1.00E-05,67193679.32,0.008595,0
2013/11/12,273949.5789,18785,2153,870,0.104364,0.33599,1.00E-05,67990479.66,0.008697,0
2013/11/13,303477.0164,46574,2605,1069,0.153248,0.727485,1.00E-05,74879058.13,0.009578,0
2013/11/14,109859.2283,21943,1883,1156,0.99544,0.369796,1.00E-05,84592023.04,0.01082,0
2013/11/15,1470091.683,41233,1429,777,0.173304,0.496939,1.00E-05,75268544.7,0.009628,0
2013/11/16,104042.4828,43387,2134,815,9.669,0.678628,1.00E-05,75588194.18,0.009669,0
2013/11/17,204955.2753,50108,5966,1264,10.157,1.530536,1.00E-05,79404750.7,0.010157,0
2013/11/18,232798.9677,47221,7121,1474,10.301,1.757352,1.00E-05,80529132.7,0.010301,0
2013/11/19,37866953.27,37682,2877,1671,10.050696,0.722439,1.00E-05,82888365.64,0.010602,0
2013/11/20,279333.14,45518,2572,1531,0.7134,1.865809,1.00E-05,55770585.28,0.007134,0
2013/11/21,490403.2594,50097,2493,1301,2.2533,0.994822,1.00E-05,58721707.14,0.007511,0
2013/11/22,698614.3366,49603,3343,1489,9.958,0.867292,1.00E-05,77853750.99,0.009958,0
2013/11/23,240698.5783,50055,1984,1321,1.43325,0.641136,1.00E-05,74696200.8,0.009555,0
2013/11/24,639025.2805,41761,1752,1345,0.2394385,0.454209,1.00E-05,76403581.86,0.009773,0
2013/11/25,1396921.47,69566,3830,2612,1.1742,0.830909,1.00E-05,91797661.72,0.011742,0
2013/11/26,3311992.845,44568,4025,2628,0.69793458,0.641531,1.20E-05,147432229.8,0.018858,0
2013/11/27,1198772.913,54434,3478,2516,0.59982,0.66318,1.00E-05,234464386.8,0.029991,0
2013/11/28,787328.5919,47228,2396,2620,2.7879,0.557765,1.00E-05,217957205.3,0.027879,0
2013/11/29,2114937.506,45150,3052,3051,3.204408,10.016848,1.00E-05,228784941.5,0.029264,0
2013/11/30,2163866.436,36696,3475,3175,3.0927501,0.640791,1.20E-05,241574053.1,0.0309,0
2013/12/1,2905709.865,60782,3280,3641,3.916,6.79394,1.00E-05,306151537,0.03916,0
2013/12/2,1314245.323,58653,2429,3227,5.2384,2.32186,1.00E-05,409533080.5,0.052384,0
2013/12/3,1921058.014,42883,3982,3702,2.5213825,1.133988,1.00E-05,433225693,0.055415,0
