date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),reward,activeAddresses,medianTxValue(USD)
2015/2/25,273.3269,3,304713,1.21,6,0,,
2015/2/26,0,0,303364,1.21,6,0,,
2015/2/27,30.73514181,11,273141.2481,1.0890258,5.4,0,,
2015/2/28,1972.486442,10,242918.4962,0.9680516,4.8,0,,
2015/3/1,0,0,212695.7442,0.8470774,4.2,0,,
2015/3/2,9416.689514,6,182472.9923,0.7261032,3.6,0,,
2015/3/3,14987.66624,28,152250.2404,0.605129,3,0,,
2015/3/4,8463.454515,12,177087.6803,0.70384675,14551.5,0,,
2015/3/5,53.06121765,9,201925.1202,0.8025645,29100,0,,
2015/3/6,40.82262223,7,226762.5601,0.90128225,43648.5,0,,
2015/3/7,58153.96224,8,251600,1,58197,0,,
2015/3/8,17.33126796,2,251600,1,31,0,,
2015/3/9,15.42279432,5,251600,1,143,0,,
2015/3/10,49939.93691,23,251600,1,49997,0,,
2015/3/11,4.04,5,251600,1,49,0,,
2015/3/12,80423.86284,14,251600,1,80418,0,,
2015/3/13,550.9835391,8,251600,1,75,0,,
2015/3/14,34209.76905,16,251600,1,17705,0,,
2015/3/15,15410.04,11,251600,1,15125,0,,
2015/3/16,136.9193664,4,251600,1,49632,0,,
2015/3/17,48.94365316,5,251600,1,4284,0,,
2015/3/18,40.39855394,7,251600,1,202,0,,
2015/3/19,5.40496237,4,251600,1,714,0,,
2015/3/20,0,0,251600,1,133,0,,
2015/3/21,0,0,251600,1,206,0,,
2015/3/22,0,0,251600,1,67,0,,
2015/3/23,15.3562564,5,251600,1,66,0,,
2015/3/24,1037.738517,28,251600,1,1179,0,,
2015/3/25,42.911,2,251600,1,92,0,,
2015/3/26,11.09767372,4,251600,1,2,0,,
2015/3/27,6.11,2,251600,1,5,0,,
2015/3/28,38.08825639,10,251600,1,17,0,,
2015/3/29,22.11131667,8,251600,1,21,0,,
2015/3/30,471.9810494,5,251600,1,495,0,,
2015/3/31,2.14,5,251600,1,37,0,,
2015/4/1,12850,2,251600,1,14,0,,
2015/4/2,7.78617304,9,251600,1,79970,0,,
2015/4/3,20484.80231,16,251600,1,8887,0,,
2015/4/4,194.1,3,251600,1,2018,0,,
2015/4/5,750,1,251600,1,2887,0,,
2015/4/6,504.33,7,251600,1,254,0,,
2015/4/7,0.00201,3,251600,1,19179,0,,
2015/4/8,922.6709654,8,251600,1,1024,0,,
2015/4/9,80.03807513,14,251600,1,100949,0,,
2015/4/10,4.311,6,251600,1,470,0,,
2015/4/11,2.62349022,3,251600,1,2869,0,,
2015/4/12,1.01,1,251600,1,1971,0,,
2015/4/13,13.77549731,11,251600,1,46026,0,,
2015/4/14,48.36146355,19,251600,1,50324,0,,
2015/4/15,1313.146886,15,251600,1,40700,0,,
2015/4/16,1357.164298,41,251600,1,46909,0,,
2015/4/17,87.11450781,24,251600,1,50,0,,
2015/4/18,6.3,10,251600,1,49,0,,
2015/4/19,18.2236608,82,251600,1,22,0,,
2015/4/20,73.05369017,16,251600,1,38,0,,
2015/4/21,21.66978593,7,251600,1,85933,0,,
2015/4/22,12189.20202,11,251600,1,40306,0,,
2015/4/23,1563.472096,8,251600,1,21632,0,,
2015/4/24,12185.07788,16,251600,1,20262,0,,
2015/4/25,256.01,7,251600,1,26,0,,
2015/4/26,0,0,251600,1,555,0,,
2015/4/27,20343.65012,22,251600,1,17806,0,,
2015/4/28,25413.34542,22,251600,1,42628,0,,
2015/4/29,32.98885957,9,251600,1,12,0,,
2015/4/30,235.4963478,10,251600,1,613,0,,
2015/5/1,2.971476,2,251600,1,48,0,,
2015/5/2,1,1,251600,1,4,0,,
2015/5/3,1425.071153,5,251600,1,1518,0,,
2015/5/4,11.15806422,7,251600,1,83171,0,,
2015/5/5,54.09873936,5,251600,1,21,0,,
2015/5/6,12.47787934,7,251600,1,10,0,,
