date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses,medianTxValue(USD)
2017-10-11,,1477,,,,1310,
2017-10-12,,110,,,,104,
2017-10-13,,198,,,,173,
2017-10-14,,143,,,,128,
2017-10-15,,57,,,,53,
2017-10-16,,74,,,,75,
2017-10-17,,51,,,,55,
2017-10-18,480298.69804681826,60,0.0,0.616026,20958.0,55,1104.5442690729733
2017-10-19,1229370.8342155546,302,0.0,0.624114,173574.00000000003,281,925.7307183412469
2017-10-20,1937980.5586517125,177,0.0,0.772789,80848.0,160,1264.8585318049998
2017-10-21,922047.5521359558,117,0.0,0.586844,26035.0,99,582.1296850740479
2017-10-22,1320448.6527637723,138,0.0,0.569138,166006.0,112,990.23466913
2017-10-23,1222398.4287782484,131,0.0,0.590999,86389.0,114,1173.1349849946969
2017-10-24,1376143.261857462,113,0.0,1.05,62509.0,105,937.4085
2017-10-25,779416.5572524376,110,0.0,0.606913,76102.0,92,910.3695
2017-10-26,2927980.7243461534,190,0.0,0.596679,265716.0,138,1014.106678215
2017-10-27,1304909.296520841,137,0.0,0.660666,255064.99999999997,105,767.8590585
2017-10-28,217571.5128804111,117,0.0,0.552586,71166.0,91,551.9692406516309
2017-10-29,163904.46287602704,75,0.0,0.565539,40317.0,58,757.3415518500001
2017-10-30,1075966.3606330156,95,0.0,0.61386,79874.0,90,767.3249999999999
2017-10-31,1121276.0319194074,326,0.0,0.607345,173261.99999999997,302,60.734500000000004
2017-11-01,413626.8625248097,54,0.0,0.509853,10755.0,42,617.6869095
2017-11-02,126372.34129133198,48,0.0,0.498665,42525.0,42,663.240905945
2017-11-03,503676.97630183183,76,0.0,0.563104,44646.0,62,865.799615573695
2017-11-04,79948.05841100746,45,0.0,0.594119,15315.0,42,450.1245403849243
2017-11-05,955762.3357381742,78,0.0,0.575603,45060.0,70,522.0116407283157
2017-11-06,408126.4428801453,181,0.0,0.6055,31526.0,180,60.550000000000004
2017-11-07,190130.2333990971,86,0.0,0.579105,142634.0,76,689.3405314121336
2017-11-08,339635.18252126983,96,0.0,0.628315,92374.0,70,451.30107168
2017-11-09,980730.9887154923,123,0.0,0.734635,46635.0,100,440.781
2017-11-10,178215.4988775685,100,0.0,0.761601,52205.00000000001,80,654.5235631577706
2017-11-11,140795.58947835365,66,0.0,0.702115,55593.0,66,489.969784686912
2017-11-12,1063580.705583033,65,0.0,0.675108,261653.0,55,421.94250000000005
2017-11-13,294667.99500451476,72,0.0,0.703398,65938.0,59,454.52203753017506
2017-11-14,291668.2035270964,78,0.0,0.768927,75478.0,64,670.8888075
2017-11-15,242828.84894155173,113,0.0,0.819576,94208.0,80,635.1714
2017-11-16,340880.3834512531,74,0.0,0.825046,67004.0,61,668.28726
2017-11-17,245623.6328566862,60,0.0,0.749875,50093.00000000001,53,865.0815186953362
2017-11-18,389814.21475582314,63,0.0,0.796358,75408.0,47,670.1892112180932
2017-11-19,90206.63759462975,104,0.0,0.811147,20096.0,71,292.01292
2017-11-20,24821033.591830645,64,0.0,0.867591,23302.0,54,364.38822
2017-11-21,189942.57505212148,49,0.0,0.891049,32733.0,47,1159.2485116569999
2017-11-22,318119.45991797117,64,0.0,0.86119,74347.0,51,415.09358000000003
2017-11-23,425935.40101548104,61,0.0,0.799937,131685.0,49,847.93322
2017-11-24,714658.3589982397,196,0.0,0.815494,354338.0,145,815.494
2017-11-25,2485866.2697374565,233,0.0,1.49,358097.0,169,894.0
2017-11-26,322331.1959589416,140,0.0,1.16,152946.0,98,874.06
2017-11-27,2306030.690790168,205,0.0,1.16,478944.0,151,1372.28
2017-11-28,3850937.594957059,836,0.0,1.21,2219830.0,552,544.49997096
2017-11-29,2389540.7488757423,768,0.0,1.89,799269.0,527,567.0
2017-11-30,1352629.725327863,328,0.0,1.73,224195.0,238,774.98622894445
2017-12-01,9640926.006838765,307,0.0,1.71,953007.9999999999,234,586.2728185479
2017-12-02,3364513.5924386955,283,0.0,1.55,456169.99999999994,196,620.0
2017-12-03,728954.9595920239,320,0.0,1.51,170430.0,229,453.0
2017-12-04,4662570.287619952,181,0.0,1.49,85215.0,147,894.0
2017-12-05,521925832.93022454,316,0.0,1.54,307559.0,215,827.9009199999999
2017-12-06,10089707.428103348,352,0.0,1.58,497558.0,245,1226.721063749
2017-12-07,9263708.05978697,674,92032153.96226417,2.24,463550.99999999994,444,1097.824
2017-12-08,13201909.399778573,653,90409214.31034485,2.2,460544.0,419,901.2082177780001
2017-12-09,126124.371637904,65,95239936.29875517,2.32,54054.0,65,505.76
2017-12-10,788334.5322993777,95,99355180.76785713,2.42,72057.0,96,457.9142351344
2017-12-11,149767.13603378242,79,92012566.21052632,2.24,118258.0,73,459.20000000000005
2017-12-12,159345.7536740612,159,124141487.72444445,3.02,254581.0,140,449.35184
