date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses,medianTxValue(USD)
2017-05-15,,14,,,,8,
2017-05-16,,,,,,,
2017-05-17,,,,,,,
2017-05-18,11426975.669038102,1304,0.0,1.49,2745280.0,911,1009.4843434175
2017-05-19,3869181.8896387694,667,41614077.06766917,1.5,1655390.0,477,599.985
2017-05-20,10134209.100432405,610,44820830.72727273,1.33,1272560.0,476,133.0
2017-05-21,2599659.1812044014,420,48733712.26950354,1.45,1152680.0,311,515.6484484272501
2017-05-22,2403064.318710911,478,46926255.45454545,1.4,1358470.0,327,518.0
2017-05-23,2625560.4716292038,541,49300093.6492891,1.47,2436560.0,359,440.9265
2017-05-24,3392559.811185649,824,70150252.18113206,2.09,3619740.0,587,666.7529488311999
2017-05-25,1778722.3870925237,460,87655447.27962084,2.61,1535420.0,353,632.0546603171999
2017-05-26,1870927.6534139402,445,70290699.79081632,2.09,1150820.0,335,418.0
2017-05-27,891252.2251421852,287,66378076.80813953,1.97,713711.0,216,435.37
2017-05-28,572424.2387553396,307,58629660.29347826,1.74,801602.0,215,480.24
2017-05-29,455192.676593245,306,55109462.18579235,1.64,653050.0,241,331.31412511999997
2017-05-30,1568828.8886886365,463,61643846.380434774,1.83,1345200.0,338,676.7675530500001
2017-05-31,1176663.0240009828,378,61842974.88995216,1.84,1365970.0,297,619.3923286672
2017-06-01,1522441.1129129617,245,70148098.0,2.09,630982.0,205,417.05189248359994
2017-06-02,850912.5240070838,272,70088476.07870369,2.09,759428.0,210,439.14640067539995
2017-06-03,940354.1741876176,306,72128412.09459458,2.15,963743.0,240,430.0
2017-06-04,1155688.1466881626,381,74423026.53809524,2.21,1065030.0,274,855.7622167249999
2017-06-05,697848.7270893423,260,70428437.83783783,2.1,973493.0,219,415.37357701350004
2017-06-06,1187303.7632209032,414,75429827.01639345,2.24,1266720.0000000002,285,650.1601570912001
2017-06-07,1336643.2736026933,530,80575200.0,2.4,1762630.0000000002,327,949.7694879479999
2017-06-08,2368243.0849672067,880,85758061.77316293,2.55,3743019.9999999995,452,1031.242437858
2017-06-09,2298858.028688409,566,106180099.38181819,3.16,1877339.9999999998,431,654.2364479118
2017-06-10,742827.7946916241,440,111302623.5275,3.31,2275360.0,333,378.5230732745
2017-06-11,2727835.4576957934,568,135777929.20192307,4.04,3049210.0,426,808.0
2017-06-12,1383530.8273940277,499,138278311.00536194,4.11,2292920.0,407,712.6047946692
