date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses,medianTxValue(USD)
2017-05-29,,4,,,,2,
2017-05-30,,,,,,,
2017-05-31,,,,,,,
2017-06-01,23266126.64811069,1384,168230000.0,0.16823,4373940.0,722,841.1415884999999
2017-06-02,9697626.924556922,818,171186000.0,0.171186,3121920.0,482,905.1772696667274
2017-06-03,17574048.64984704,1247,156534000.0,0.156534,4738010.0,493,1142.6982
2017-06-04,34181956.252129644,3017,165979999.99999997,0.16598,27578300.0,1289,705.9112802
2017-06-05,22778630.613368,1796,285023000.0,0.285023,14297400.0,893,1076.7888735641593
2017-06-06,22683850.221767914,1503,291649000.0,0.291649,10708800.0,758,872.0305099999999
2017-06-07,18506786.043685373,1494,259213000.00000003,0.259213,11149700.0,713,1229.8644616378817
2017-06-08,10282513.684850974,1142,239285000.0,0.239285,8890730.0,572,1112.2359360681744
2017-06-09,5193670.07065928,1107,222104000.0,0.222104,5996870.0,582,726.2778589599999
2017-06-10,9471559.420727413,1032,224807000.0,0.224807,8265660.000000001,562,728.6785995316438
2017-06-11,7580657.759330996,1106,195443000.0,0.195443,6837189.999999999,570,782.9687839725275
2017-06-12,10124164.157352787,952,182321000.00000003,0.182321,7175260.0,521,1048.12325557862
2017-06-13,5978640.437060805,1119,182940000.0,0.18294,5539180.0,665,658.0842060521825
2017-06-14,4941459.471722903,758,193745000.0,0.193745,3766080.0,464,628.2385683356342
2017-06-15,5501904.781842169,964,170145000.0,0.170145,6576040.0,511,1020.8693708701464
2017-06-16,9525091.21137262,1801,212512000.0,0.212512,12209000.0,809,950.6247999980947
2017-06-17,3855429.5087500927,944,231731000.0,0.231731,5614210.0,558,717.2051276899999
2017-06-18,2880238.4701665235,756,210064000.0,0.210064,2829350.0,497,418.0274170827914
2017-06-19,3338972.5999445315,903,197917000.0,0.197917,5328250.0,605,512.8715008551465
2017-06-20,2547824.0758444997,508,181185000.0,0.181185,3728710.0,335,706.5792354932391
2017-06-21,70983929.24082574,336,190874000.0,0.190874,3436530.0,261,383.74835951999995
2017-06-22,4946473.704612114,544,187433999.99999997,0.187434,2615650.0,405,298.08029152416293
2017-06-23,3847467.3786262395,815,177802999.99999997,0.177803,3165000.0,518,533.409
2017-06-24,5326150.743612782,570,201123000.0,0.201123,2256800.0,402,429.89316079302216
2017-06-25,6847223.710686045,509,184798999.99999997,0.184799,2662640.0,341,652.749577292548
2017-06-26,5208639.0667616995,658,170003000.0,0.170003,3398570.0,389,873.9523315700937
2017-06-27,6489271.901292176,691,156799000.0,0.156799,3861500.0,399,769.2680984564369
2017-06-28,2783258.4429443246,694,153965000.0,0.153965,2624600.0,416,395.9147968706343
2017-06-29,5500303.750066267,690,174455000.00000003,0.174455,1880280.0,412,317.17951437298325
2017-06-30,1690439.0748877465,485,155257000.0,0.155257,1558240.0,350,323.88134516331144
2017-07-01,1671813.4229130845,447,137327000.0,0.137327,1856100.0,287,411.981
2017-07-02,4093896.3177333195,708,130978000.00000001,0.130978,3171200.0,377,667.0666530099251
2017-07-03,1727403.4538100534,587,123965000.0,0.123965,2218720.0,361,508.75236
2017-07-04,1224935.3318350066,542,130143000.00000001,0.130143,1956940.0,350,424.3475339288917
2017-07-05,1891261.7123451922,510,131036000.00000003,0.131036,1464870.0,309,567.4900794753685
2017-07-06,1315209.7802354759,517,129022000.0,0.129022,1763210.0,340,371.32014221779997
2017-07-07,1565348.1495188777,396,120991000.0,0.120991,1545740.0,272,366.23370745
2017-07-08,958082.4578361107,412,107888000.0,0.107888,1420600.0,282,360.61518475633466
2017-07-09,723956.4728006055,428,104821000.0,0.104821,1158370.0,270,326.6481051561384
2017-07-10,1613076.77614143,472,107231478.17081192,0.107231,1313930.0,273,427.09571145
2017-07-11,755729.2251552667,521,89363696.04426253,0.089364,1465010.0,341,377.47090713453
2017-07-12,1159409.1351546927,436,88000000.0,0.088,1141360.0,288,361.3234052582
2017-07-13,1017035.1778921385,328,102563438.20864783,0.102564,900748.0,231,366.872425788233
2017-07-14,572139.5945297547,334,91190105.83060603,0.09119,739315.0,229,364.5086073204576
2017-07-15,231117.2230498879,218,86558559.98322466,0.086559,554900.0,169,172.0685632192588
2017-07-16,544805.8151126005,306,78505000.0,0.078505,676056.0,196,345.2124250562327
2017-07-17,286897.15914239665,295,71688000.0,0.071688,736536.0,201,214.1679
2017-07-18,853514.1129358051,386,88563370.26213472,0.088563,1126870.0,290,219.6172456361145
2017-07-19,35916559.83938478,374,96022531.52656485,0.096023,1404020.0,242,471.84314069810796
2017-07-20,543792.4305087925,377,82399083.92047827,0.082399,1164030.0,250,316.9995380447552
2017-07-21,913484.0523693949,458,99334000.0,0.099334,953786.0000000001,253,498.7650437148951
2017-07-22,1604851.1501586046,595,102672000.0,0.102672,1774790.0000000002,292,798.2748
2017-07-23,1029324.6867720517,594,136292999.99999997,0.136293,1630410.0,324,659.4330518375488
2017-07-24,50038255.23975722,980,127953000.00000001,0.127953,4271920.0,507,796.9152455439888
2017-07-25,2572407.7490473283,712,144234000.0,0.144234,3401390.0,372,870.2021913136165
2017-07-26,994998.3477433573,379,116916000.0,0.116916,1397260.0,253,292.29
2017-07-27,1017269.5881081831,397,121414000.0,0.121414,1182110.0,283,417.4491507496351
2017-07-28,1068694.4406556408,537,115428000.0,0.115428,1635930.0,311,581.0487069560412
2017-07-29,780550.2734801996,282,105650000.0,0.10565,762957.0,220,269.01166196167446
2017-07-30,1965230.630800719,308,108110000.0,0.10811,872950.0,227,187.0167916395008
2017-07-31,619276.8349689749,326,100739000.0,0.100739,1389760.0,221,476.4295596269418
2017-08-01,1740392.5793129823,413,104245000.0,0.104245,2482780.0,206,783.0780155
2017-08-02,1732434.3294042146,451,120649000.0,0.120649,1744330.0,248,961.2784882217261
2017-08-03,1934122.7689842659,661,116626999.99999999,0.116627,2366370.0,331,823.3854537299999
2017-08-04,2132977.0404527816,815,140756000.0,0.140756,3161290.0,380,954.430969499546
2017-08-05,2078635.9162659945,597,140526000.0,0.140526,2407170.0,322,703.33122474
2017-08-06,3234842.641345826,723,159101999.99999997,0.159102,3754110.0,383,918.220917744
2017-08-07,4557307.02355288,876,165905000.00000003,0.165905,4039340.0,484,829.52417877025
2017-08-08,1966133.2048831666,662,171663000.0,0.171663,3251710.0,415,489.64838103866674
2017-08-09,2096670.669149936,504,170795999.99999997,0.170796,2081780.0,331,751.9849968948904
2017-08-10,3161404.398653643,1082,160163000.0,0.160163,8292790.0,659,622.4103151965
2017-08-11,7758068.34261885,1731,198731000.0,0.198731,14151000.0,927,921.0775436042867
2017-08-12,2797760.215508946,937,229814000.0,0.229814,6035220.0,585,737.7748559202378
2017-08-13,3084013.9787827907,750,209953000.0,0.209953,4451430.0,487,629.8569004699999
2017-08-14,2415165.3616175205,845,211863000.0,0.211863,4794070.0,531,671.2012134655358
2017-08-15,1414893.3399428872,572,197602000.00000003,0.197602,3252610.0,392,469.82879568710047
2017-08-16,2539981.130130883,734,195755000.0,0.195755,3915400.0,485,417.7870022033035
2017-08-17,10005086.393167399,2298,219996000.00000003,0.219996,25143200.0,1165,879.98290002
2017-08-18,2548408.1708419146,877,250854000.00000003,0.250854,6258620.0,580,449.8602960548933
2017-08-19,1711103.1226774952,639,213276000.0,0.213276,3651389.9999999995,441,426.55199999999996
2017-08-20,1668031.6369684492,605,211430000.0,0.21143,2804550.0,405,317.145
2017-08-21,1652544.5218328268,631,206389000.0,0.206389,2880320.0,461,414.33623694999994
2017-08-22,1149917.1373374774,490,195341999.99999997,0.195342,2433270.0,358,212.33566442725265
2017-08-23,970753.713064439,557,189461000.0,0.189461,2657560.0,415,189.45910539
2017-08-24,1082038.1625636676,459,195281000.0,0.195281,2158190.0,330,235.282779503588
2017-08-25,1300620.5420671245,656,205791999.99999997,0.205792,2550250.0,478,207.71802951855136
2017-08-26,991500.978290159,496,205165000.0,0.205165,2347060.0,364,248.34472684622247
2017-08-27,821296.8173322085,561,203652000.0,0.203652,2069570.0,410,277.5312259012062
2017-08-28,5110800.547342917,725,210025000.0,0.210025,3780049.9999999995,490,271.98027475
2017-08-29,1470664.0925491666,685,228124000.0,0.228124,5055580.0,491,285.155
2017-08-30,2449658.268380214,944,246734000.0,0.246734,3429980.0,589,588.7840607043299
2017-08-31,3124788.118695306,1029,237640999.99999997,0.237641,6706840.0,645,579.5826349
2017-09-01,6282386.175981626,2030,272326000.0,0.272326,9031140.0,1300,299.84196800504526
2017-09-02,3807668.4617423583,1488,291993000.0,0.291993,4577840.0,906,345.7781106
2017-09-03,2919264.1056411406,1150,242396000.0,0.242396,3681780.0,750,204.1519690578137
2017-09-04,4117413.377311839,1723,241998000.0,0.241998,5599610.0,1211,241.8111085358503
2017-09-05,3706444.1959224776,2248,202195000.0,0.202195,3374360.0,1648,109.44026402397672
2017-09-06,3465977.1502261874,1998,217845000.0,0.217845,3245920.0,1562,98.44349389057507
2017-09-07,3539408.8580924105,1898,224084000.0,0.224084,3218150.0,1453,91.00848397654062
2017-09-08,3437601.487897009,1784,249008000.0,0.249008,4370790.0,1367,141.0439649320331
2017-09-09,4560664.155501442,1402,216223000.0,0.216223,1684720.0,1084,100.67691250821683
2017-09-10,1996856.0151345998,1110,219309000.0,0.219309,2209730.0,870,113.04867011737883
2017-09-11,1111359.1083501119,1122,201248000.0,0.201248,1987890.0,927,81.74641613221984
2017-09-12,1235723.4869764347,1321,213367000.0,0.213367,3209470.0,1107,98.83767890357707
2017-09-13,1123661.2182316496,1049,211731000.0,0.211731,2182480.0,887,108.2913867594
2017-09-14,1261411.6886435961,1076,193715000.00000003,0.193715,2649260.0,871,113.78683125242621
2017-09-15,1295330.6043224286,1237,154636000.0,0.154636,3170150.0000000005,1019,82.98658100274672
2017-09-16,1630932.4689844951,1175,187841000.0,0.187841,5529540.0,949,107.03425551063071
2017-09-17,3840741.6292659645,1708,220687000.0,0.220687,7105110.0,1220,207.08440503749998
2017-09-18,7501904.8513586335,1797,235858000.0,0.235858,10913600.0,1345,130.25804994795965
2017-09-19,3220374.473451233,1119,243668000.0,0.243668,4074760.0,911,146.2008
2017-09-20,1089433.1278458645,835,211856000.0,0.211856,3315670.0,664,139.22048331245475
2017-09-21,629948.1528336213,896,222461000.0,0.222461,4504750.0,717,121.16294552863275
2017-09-22,1304057.9003926944,767,201946000.0,0.201946,2476800.0,643,100.973
2017-09-23,449029.13055854896,772,196012000.0,0.196012,2074220.0,635,98.006
2017-09-24,275384.9019070678,584,211823000.0,0.211823,2508610.0,510,89.07306048643625
2017-09-25,1009863.3233585928,720,198387000.0,0.198387,1913430.0,584,91.57144262940922
2017-09-26,1177690.4392248697,703,215136000.00000003,0.215136,1977589.9999999998,625,96.596064
2017-09-27,1035248.7735123909,900,212823000.0,0.212823,2667880.0,712,136.2835112130572
2017-09-28,2604459.606879838,1227,234497000.0,0.234497,5497280.0,1009,142.34021372585406
2017-09-29,1077337.8235353439,753,249416000.0,0.249416,3098820.0,649,157.40203041927998
2017-09-30,1261215.9973611708,890,235972000.0,0.235972,2536680.0,781,121.39806168570674
2017-10-01,1166248.355427019,864,246144000.0,0.246144,2773310.0,728,125.19032847085631
2017-10-02,819245.332260333,899,253670999.99999997,0.253671,2516540.0,763,117.44018785065666
2017-10-03,3118199.2453024676,1422,254962000.00000006,0.254962,6341430.0,1068,246.4070366751939
2017-10-04,1717702.0366254353,1204,263824000.0,0.263824,5576470.0,963,153.2440261366151
2017-10-05,1937766.9890781704,932,245436000.0,0.245436,4610980.0,777,116.47627163416152
2017-10-06,757056.045600755,868,231080000.0,0.23108,2645430.0,726,115.54
2017-10-07,1983745.2099109762,889,232407000.0,0.232407,3773630.0,728,117.6850935396593
2017-10-08,2018736.6534056035,1038,213865000.0,0.213865,3751940.0,918,115.15782834531976
2017-10-09,909766.6186122339,1088,193163999.99999997,0.193164,3172310.0,913,154.876190904
2017-10-10,1721184.7945515302,929,191329000.0,0.191329,2688870.0,755,135.1577616502696
2017-10-11,1782300.5836013223,722,194973000.0,0.194973,2858980.0,631,120.67864108858518
2017-10-12,1131396.1702482128,1260,193030000.0,0.19303,4844030.0,1042,139.4340238722846
2017-10-13,1486193.1067176952,1452,191549000.0,0.191549,4281620.0,1215,108.49561901075546
2017-10-14,673579.0273650453,854,174831000.0,0.174831,1426580.0,735,66.28526306402023
2017-10-15,1950317.119962755,917,176428000.00000003,0.176428,2073580.0,833,96.66368471129721
2017-10-16,1128623.3537491132,1105,158907000.0,0.158907,4422080.0,880,143.175207
2017-10-17,3517105.024396061,1518,176080000.0,0.17608,4007820.0,1252,150.3169268704244
2017-10-18,1303508.974992306,839,165556000.0,0.165556,1744130.0,696,94.24191081376372
2017-10-19,444475.3733575403,765,162817000.0,0.162817,1773680.0,690,89.71004807676762
2017-10-20,461846.8898394311,839,153745999.99999997,0.153746,1962980.0,762,57.017413087379325
2017-10-21,658196.2858410114,882,151794000.0,0.151794,2251220.0,798,105.75913025286029
2017-10-22,340165.1349496248,654,143761000.00000003,0.143761,1310690.0,601,56.469320480034014
2017-10-23,816841.184598897,691,141987000.0,0.141987,1366100.0,628,68.77682024127117
2017-10-24,856271.3625682386,1217,139592000.0,0.139592,3260800.0,1020,74.89896196659815
2017-10-25,606832.882367895,758,157796999.99999997,0.157797,2026480.0,659,78.8985
2017-10-26,495324.873537149,732,153503000.0,0.153503,1663850.0000000002,645,66.47236537605824
2017-10-27,719215.5439412568,672,147531000.0,0.147531,1306500.0,581,73.79205558
2017-10-28,346987.0532681103,649,143486000.00000003,0.143486,2032029.9999999998,575,69.54170086014102
2017-10-29,609407.6802000382,858,155104000.0,0.155104,2217180.0,740,67.93672303209792
2017-10-30,329042.18055737414,747,146109000.0,0.146109,1245900.0,689,60.489126
2017-10-31,900924.7492434517,913,146643000.0,0.146643,3375320.0,781,115.22644376685246
2017-11-01,957467.0833756138,1031,153747000.0,0.153747,2628910.0,868,90.63315372553794
2017-11-02,1210085.3455880121,1326,139612000.0,0.139612,5297190.0,1109,111.86228698678771
