date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses,medianTxValue(USD)
2017-07-07,,8,,,,6,
2017-07-08,,35,,,,24,
2017-07-09,,137,,,,82,
2017-07-10,,68,,,,55,
2017-07-11,,404,,,,304,
2017-07-12,,534,,,,421,
2017-07-13,,511,,,,389,
2017-07-14,,422,,,,362,
2017-07-15,,58,,,,52,
2017-07-16,,29,,,,28,
2017-07-17,,23,,,,27,
2017-07-18,,30,,,,29,
2017-07-19,,53,,,,41,
2017-07-20,,13,,,,18,
2017-07-21,,33,,,,32,
2017-07-22,,14,,,,16,
2017-07-23,,12,,,,14,
2017-07-24,,30,,,,30,
2017-07-25,41775.736598277,29,11520300.0,0.115203,145269.0,21,574.286955
2017-07-26,5858.5716715202,9,10589300.0,0.105893,200395.0,11,282.946096
2017-07-27,16231.642703653199,17,10510800.0,0.105108,344499.0,22,348.645233052
2017-07-28,9536.222900562223,14,10763200.0,0.107632,342568.0,19,290.49876800000004
2017-07-29,24588.727022266,3,10478200.0,0.104782,340218.0,6,755.059092
2017-07-30,1472.43739715,3,10793500.0,0.107935,224261.0,6,319.8006115
2017-07-31,107658.60158764,8,10682800.0,0.106828,240309.0,9,80.41317458
2017-08-01,221259.88917746997,10,10459479.053140678,0.104595,300413.0,12,1661.0954737349998
2017-08-02,11605.31410697083,13,9972100.0,0.099721,256793.0,17,166.53407
2017-08-03,6547.97413976,9,10032800.0,0.100328,293008.0,10,460.605848
2017-08-04,11301.0326231955,15,10668500.0,0.106685,287621.0,19,170.589315
2017-08-05,339962.085133578,22,10741799.999999998,0.107418,542878.0,27,1616.533482
2017-08-06,15571.182656899999,11,12929300.0,0.129293,393681.0,10,710.9822069999999
2017-08-07,58380.14171795364,28,13395800.0,0.133958,748177.0,28,501.63252259999996
2017-08-08,68935.748286522,37,14899800.0,0.148998,2617340.0,35,1191.9542004
2017-08-09,517400.67750855477,54,22474800.0,0.224748,3075320.0,43,1114.318788588
2017-08-10,128707.67521196096,55,25182700.000000007,0.251827,4118070.0,51,676.637743705
2017-08-11,713871.8237835285,67,34878500.0,0.348785,4413920.0,55,1046.006215
2017-08-12,449314.81593635347,81,39219300.0,0.392193,5080760.0,71,1058.8818807
2017-08-13,1484082.362303209,100,44599000.0,0.44599,13852100.0,94,1039.19817707
2017-08-14,1809039.5029192644,266,86994336.40461539,0.872918,51698100.0,199,402.688421334
2017-08-15,1122312.7469716957,201,132567122.64150943,1.33,19824400.0,137,464.17
2017-08-16,635970.5099150069,149,111785333.33333336,1.12,31363100.0,120,485.91088
2017-08-17,1583517.796282408,234,143791675.12690356,1.44,61296500.0,166,489.59999999999997
2017-08-18,6020701.346281021,391,193324369.74789914,1.93,69048000.0,285,517.24
2017-08-19,777488.9034344464,202,233375698.56459334,2.33,43391300.0,158,545.5462
2017-08-20,689031.2413778711,230,211217752.0,2.11,65350400.0,168,410.5464551021048
2017-08-21,1133104.957938583,369,243099900.0,2.43,72000600.0,283,486.00000000000006
2017-08-22,1256138.4404199976,276,271483309.2369478,2.72,52091299.99999999,204,678.9759200000001
2017-08-23,1292158.020566616,351,247041166.66666666,2.47,64925100.0,284,631.9359244731343
2017-08-24,802641.7131257001,274,262924857.14285716,2.63,45080400.0,233,396.05763126703215
2017-08-25,19291235.57803871,269,238700772.0,2.39,49977599.99999999,235,1431.6100000000001
2017-08-26,759993.3191892174,154,252925382.48847926,2.53,26690700.0,136,857.67
2017-08-27,416973.16984857334,144,217478318.40796024,2.18,17214900.0,144,610.4000000000001
2017-08-28,344692.67653557623,137,202287156.86274508,2.02,15413900.0,135,473.00118
2017-08-29,639843.0353157705,146,210780849.78540772,2.11,20372000.0,161,462.09
2017-08-30,616828.8205170165,146,228004851.06382975,2.28,24830000.0,136,1162.8
2017-08-31,595761.6383633009,139,233401395.45454544,2.33,20214800.0,143,1169.66
2017-09-01,359975.32188208576,100,220385462.184874,2.2,20990700.0,108,851.4000000000001
2017-09-02,617621.7992722116,162,250336683.41708544,2.5,22995400.0,146,432.125
2017-09-03,4670154.496112951,172,192486962.02531645,1.93,11662000.0,153,460.8039349682352
2017-09-04,2007509.182870759,379,157935295.23809522,1.58,20075100.0,306,590.9200000000001
2017-09-05,403886.75851016515,205,103000000.0,1.03,9453769.999999998,183,428.995
2017-09-06,744138.5660233779,214,98701328.34311925,0.990521,14279400.0,204,495.2605
2017-09-07,388877.7060398888,175,102715810.21897809,1.03,15442300.0,159,525.3000000000001
2017-09-08,1754179.7018452028,220,139560594.05940592,1.4,9872850.0,202,458.2654999999999
2017-09-09,555450.3634318,150,101000000.0,1.01,4011510.0,142,319.16
2017-09-10,418499.40645561897,103,98207800.0,0.982078,3257430.0,101,262.08322754799997
2017-09-11,272670.17903031065,89,94532474.82135922,0.949186,5167180.0,96,163.78386419330153
2017-09-12,429110.06957513985,115,102572153.84615384,1.03,7213490.0,128,309.0
2017-09-13,212143.217897555,76,104000000.0,1.04,2780700.0,86,203.84
2017-09-14,371206.881420686,87,93786999.99999999,0.93787,3134360.0,89,280.3762365
2017-09-15,1229800.2759522162,80,68330500.0,0.683305,4625680.0,92,188.54571526000004
2017-09-16,429094.5588246657,63,80805600.0,0.808056,2829570.0,72,310.13795322
2017-09-17,304683.366547172,47,80342300.0,0.803423,1273640.0,50,83.91378680000822
2017-09-18,206028.02606204854,43,78956500.0,0.789565,3717860.0000000005,52,307.93035
2017-09-19,97339.3320062386,40,90739800.0,0.907398,2888420.0,50,272.82463446599996
2017-09-20,120372.96049162335,41,81503200.0,0.815032,2536950.0,52,165.82492869026217
2017-09-21,116605.26332737776,45,76401300.0,0.764013,2238040.0,47,228.32528505000002
2017-09-22,194030.494106642,47,69887100.0,0.698871,2099500.0,48,89.455488
2017-09-23,22447.98905727083,47,71719600.0,0.717196,2276080.0,48,102.98695116811763
2017-09-24,29328.20144245777,26,77580400.0,0.775804,2402720.0,30,137.25473942405964
2017-09-25,1569753.9868225993,43,78424400.0,0.784244,3695220.0,47,293.2288316
2017-09-26,2160532.9252741653,90,91892200.0,0.918922,3460160.0,96,197.913438211513
2017-09-27,307056.5548805145,73,85844524.09473684,0.855698,8394020.0,83,332.53319127894895
2017-09-28,5934003.763041102,137,114823333.33333334,1.15,13944300.0,152,99.8804404695
2017-09-29,174736.7925220979,61,136594393.7007874,1.37,8474270.0,72,500.038355
2017-09-30,829262.6371924066,301,127355203.125,1.27,6194570.0,297,1.27
2017-10-01,185702.14632518054,1262,127709699.34640522,1.28,9043600.0,1146,0.128
2017-10-02,706967.0877319885,1912,153364545.91836736,1.53,19367700.0,1737,0.15300000000000002
2017-10-03,263101.52991404483,1486,197075769.23076922,1.97,14411500.0,1408,0.197
2017-10-04,98655.24110194805,2578,185171125.0,1.85,7227750.0,2364,0.18500000000000003
2017-10-05,140830.2527402089,2979,162853494.04761904,1.63,7503500.0,2677,0.163
2017-10-06,266507.0470008796,39,167990430.37974682,1.68,6076260.0,48,293.70432
2017-10-07,186060.93864270375,55,161433069.62025318,1.61,5578780.0,64,298.9999627216
2017-10-08,179411.74104813221,41,157641262.29508197,1.58,4515300.0,48,331.642
2017-10-09,85023.69765580614,59,121326700.0,1.21,9667100.0,75,242.0
2017-10-10,108957.42229862488,65,143345669.06474823,1.43,6912770.0,80,224.958162
2017-10-11,97021.12254713292,51,140365174.82517484,1.4,6123140.0,62,210.0
2017-10-12,83066.15243691397,43,143401253.73134327,1.43,5275850.0,54,345.4357368891
2017-10-13,141072.92295104935,53,133579388.88888891,1.34,5705760.0,79,402.0267198402125
2017-10-14,107982.5482524306,65,146827227.27272725,1.47,3355060.0,79,706.71573
2017-10-15,137426.60914127214,69,149850000.0,1.5,5987930.0,63,632.6827499999999
2017-10-16,100384.45900568066,56,156075833.33333334,1.56,2960330.0,63,353.31426
2017-10-17,110624.83181314559,42,143994820.1438849,1.44,1744390.0,47,225.35999999999999
2017-10-18,4737500.968236269,51,138744992.481203,1.39,2311140.0,59,695.0
2017-10-19,111262.86830582244,52,133479007.8125,1.33,1791220.0000000002,54,238.07266
2017-10-20,20824.032892745952,41,126934159.48387097,1.28,1703230.0,51,227.5391087628352
2017-10-21,68948.22901121643,34,123175158.94399999,1.24,1331640.0,49,250.35562690880002
2017-10-22,44616.481804112394,32,125146347.91735537,1.26,1631220.0,35,126.0
2017-10-23,761260.1082387308,47,122172191.23728815,1.23,2355560.0,47,201.72
2017-10-24,1660200.843253613,69,116689773.312,1.18,4833390.0,77,311.36365
2017-10-25,61942.06293077282,30,123050416.928,1.24,2288360.0,33,229.03855706239997
2017-10-26,52731.5816880027,28,124613291.90082645,1.26,2400010.0,32,443.4244492482
2017-10-27,92964.20486738547,54,120234968.70940171,1.21,2067650.0,59,347.8882495
2017-10-28,97858.36927972488,32,117097624.24347827,1.18,1495260.0,39,559.91
2017-10-29,16923.965054764998,32,116952414.08064516,1.18,1969690.0,39,116.82
2017-10-30,43198.451838320405,40,121998256.07633586,1.23,2437230.0,44,304.34628
2017-10-31,229242.36897624703,1065,132971463.05343512,1.34,3397150.0,1000,0.134
2017-11-01,142030.1151599543,2662,132840923.3968254,1.34,2118920.0,2435,0.134
2017-11-02,63237.11271761301,2308,124722132.23076923,1.26,3550520.0,2265,0.126
2017-11-03,198261.4494183803,2824,127659821.65068494,1.29,3201070.0,2765,0.129
2017-11-04,148664.94479375958,4691,144313629.6707317,1.46,4685320.0,4509,0.146
2017-11-05,177981.2633277154,3870,162560299.02631578,1.64,2681150.0,3607,0.164
2017-11-06,73364.021724702,71,151471156.75796178,1.53,5042750.0,85,229.95900000000003
2017-11-07,99866.74362834546,66,155146229.00552487,1.57,9469500.0,82,332.84000000000003
2017-11-08,598940.3785846253,164,178314751.33004928,1.8,18796200.0,143,723.159612828
2017-11-09,209846.94356307827,108,203057239.7236181,2.05,19192200.0,128,338.3058625
2017-11-10,325734.51500023506,79,198668752.86666664,2.01,11155000.0,79,395.47764296249994
2017-11-11,395312.74810701865,56,177284940.9760479,1.79,8178150.000000001,58,466.85346819676147
2017-11-12,194842.33922349257,72,165319656.9868421,1.67,15298700.0,78,267.716970544
2017-11-13,2611631.2394422498,59,151188437.44970414,1.53,12238800.0,65,289.0140531435
2017-11-14,170649.2403356091,54,167605182.41509435,1.69,7829599.999999999,62,199.05834
2017-11-15,376456.9445120346,234,157478563.29411766,1.59,7615499.999999999,243,0.15900000000000003
2017-11-16,180690.8242757268,159,154258497.94936708,1.56,8928640.0,178,0.15600000000000003
2017-11-17,385559.7721199924,67,156479417.41721857,1.58,8508840.0,69,158.12482
2017-11-18,86716.0791787882,53,149898794.9760479,1.51,32167300.0,62,300.49
2017-11-19,335044.0651386491,105,165740574.16770187,1.67,38081700.0,107,15.03
2017-11-20,114082.47301807067,99,161836151.82716048,1.63,12994500.0,110,162.4947
2017-11-21,249543.17053272386,151,164788281.41401273,1.66,5440790.0,154,1.66
2017-11-22,167906.35569085358,278,157603382.51552793,1.59,7176999.999999999,283,0.15900000000000003
2017-11-23,95161.96667261714,495,159278839.36774194,1.61,8392640.0,489,0.16100000000000003
2017-11-24,74871.21112194395,650,155245012.0116279,1.57,12155400.0,657,0.15700000000000003
2017-11-25,46406.89215181329,430,170656527.315508,1.72,12839900.0,445,0.17200000000000001
2017-11-26,225255.6701066259,699,187453074.84324324,1.89,9056850.0,711,0.189
2017-11-27,53632.42926165368,189,185440595.43298972,1.87,22826600.0,205,0.18700000000000003
2017-11-28,356159.7219888384,111,193775328.5416667,1.96,36377700.0,136,95.991
2017-11-29,444432.18166168226,259,190273087.2685714,1.92,43765500.0,224,320.47872
2017-11-30,476968.68718991714,452,174000629.44,1.76,31559500.0,362,191.7432
2017-12-01,330157.6821528082,194,198050002.89855075,2.0,28867200.0,155,211.9455
2017-12-02,186808.37418786398,129,206361018.0,2.08,24332700.0,122,306.64608
2017-12-03,41981806.6058475,234,206684066.31390134,2.09,35163500.0,236,2715.88603
2017-12-04,7091664.292529392,209,223922618.89156622,2.26,41226200.0,201,675.7399999999999
2017-12-05,1856787.3376754709,128,247087532.69230768,2.5,49190000.0,140,304.925
2017-12-06,146981.0336781816,109,255228281.09652513,2.58,41731500.0,105,258.0
2017-12-07,510996.45640317013,177,252481158.61510792,2.55,28297900.0,156,509.99999999999994
2017-12-08,64455673.83457855,1489,274333712.51943463,2.77,38648500.0,1474,9431.67826
2017-12-09,68785899.00258948,1885,280255784.7816092,2.83,27217000.000000004,1874,5832.63
2017-12-10,831737.910113447,106,263735135.4919355,2.66,19258500.0,103,417.62
2017-12-11,4223391.912558734,113,248217922.4833948,2.51,19427000.0,108,459.986722003216
2017-12-12,5440307.157403368,126,270787311.5708955,2.73,24523200.000000004,107,661.8774832761
2017-12-13,973860.9475421644,166,266165623.44244605,2.69,28429500.0,140,538.05062662045
2017-12-14,1345012.5498062961,301,274159419.34810126,2.77,40335300.0,217,1670.140476
2017-12-15,1451940.7404168546,200,312583088.84000003,3.16,52745900.0,184,504.78694685199997
2017-12-16,1697909.854997827,216,413300382.26394844,4.17,54002400.0,187,1027.905
2017-12-17,2102638.7575110593,337,462132071.45486116,4.67,98159600.00000001,289,765.88
2017-12-18,1668555.5920674116,334,572867722.3985765,5.79,66623700.0,287,1490.7273443960999
2017-12-19,5006060.703634677,1068,559654224.6891192,5.65,66695200.0,654,3390.0
2017-12-20,3008994.6064917217,286,572871605.7972974,5.79,47866900.0,224,1609.2865580357159
2017-12-21,1419710.3173104678,293,512893509.99999994,5.18,46905500.0,270,1036.0
2017-12-22,1116134.4992240733,250,515405319.52995396,5.21,36672600.0,225,850.4757683621
2017-12-23,620688.0927459551,169,434605002.29338837,4.39,32930300.0,163,430.21999999999997
2017-12-24,1189656.1525073007,182,468943092.02268434,4.74,43676900.0,170,509.0614289319
2017-12-25,1014670.0021053532,171,525765141.35670733,5.31,66374399.99999999,158,643.0758580791
2017-12-26,2593746.951134418,416,649490120.4341086,6.56,167812992.0,389,651.0799999999999
2017-12-27,3318010.498366906,404,915607725.6676558,9.25,167808000.0,370,917.872882585
2017-12-28,1347239.7795637085,320,1003163563.4871246,10.13,109298000.00000001,289,561.9288275
2017-12-29,890856.835881529,297,922559089.661748,9.32,70849400.0,278,512.6
2017-12-30,1227316.7448451743,482,862523041.3826532,8.71,72933904.0,452,17.42
2017-12-31,7187186.123812722,2038,767955572.6481481,7.76,74927904.0,1774,0.776
2018-01-01,3454647.94008759,1320,854959215.5588585,8.63,66422800.0,1192,0.8630000000000001
2018-01-02,3974279.631879145,1469,837447130.4457015,8.46,104789000.0,1383,0.8460000000000001
2018-01-03,8585145.929700935,1581,867977767.8134173,8.77,108852000.0,1426,0.877
2018-01-04,2614493.259603306,864,936087660.8794786,9.45,158819008.0,784,18.9
2018-01-05,2377928.9349222775,557,905808077.4229223,9.15,341504992.0,558,366.0
2018-01-06,11214619.299069012,735,1472325241.9239893,14.87,637020992.0,659,1342.5306806518
2018-01-07,49042436.044678256,553,2254162147.596463,22.77,258050000.00000003,538,1688.9647499999999
