date,txVolume(USD),adjustedTxVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),realizedCap(USD),generatedCoins,fees,activeAddresses,averageDifficulty,paymentCount,medianTxValue(USD),medianFee,blockSize,blockCount
2018-03-02,,,0,,,,,0.0,0.0,0,,0,,,0,0
2018-03-03,,,5405,,,,,18995946.71793951,6.05442323,24614547,16786.7117194166,2228,,0.000288,5112950050,6610
2018-03-04,,,8875,,,,,900.46011706,5.49512874,19448,568843.275126498,15061,,0.000288,10045126,577
2018-03-05,,,4884,,,,,898.19169164,2.16795791,11788,467466.232526715,19501,,0.0001,6623724,575
2018-03-06,,,3908,,,,,904.4535007000001,2.13093114,14222,534188.965928077,15875,,0.0001,27697542,579
2018-03-07,,,5967,,,,,832.4537448,5.76167348,38815,529249.490944444,17543,,0.000288,146436387,533
2018-03-08,,,3388,,,,,898.38933636,0.99609019,9061,435645.884793975,18069,,8.657e-05,5256464,575
2018-03-09,,,3602,,,,,885.8501316200001,1.89001061,10213,416773.828121437,22413,,0.0001,5373847,567
2018-03-10,5995066.492221379,4400417.968116442,2435,0.0,65.82,290526.0,,904.6569644,0.5754569900000001,6992,360217.370167486,21092,118.34916551819998,0.0001,4229047,579
2018-03-11,4527840.657663775,2649518.654890681,2460,0.0,62.04,298409.0,,876.53061223,0.87115972,6558,346232.847133648,22941,96.604404138,0.0001,4774504,561
2018-03-12,7331100.189726898,5655029.445334457,3078,0.0,76.82,732879.0,,895.20653151,0.89753291,8138,379043.873821268,19470,143.154461782,2.44e-05,4673530,573
2018-03-13,9183683.721870756,7343510.0236112075,2835,0.0,68.05,1210660.0,,881.22549556,0.6641290400000001,9327,357240.73113382,15947,149.709231035,1.552e-05,5860582,564
2018-03-14,5593673.763587812,4630831.504180941,3007,0.0,47.24,761219.0,,881.17518435,0.7185028800000001,7694,241687.192256209,16898,146.08831114400002,1.054e-05,4255129,564
2018-03-15,2325534.9717733483,2126168.888447898,2419,0.0,41.69,596990.0,,895.2615969,0.42797219000000003,5942,228615.532215691,15778,88.5787692647,1.1230000000000001e-05,3864377,573
2018-03-16,2042633.1587163368,1910392.7190469143,2215,0.0,38.49,541483.0,,887.4677706800001,0.32538575000000003,5760,238378.794452939,17616,73.045656123,1.36e-05,3798188,568
2018-03-17,1535396.6602938124,1457652.697809028,2043,0.0,36.93,492844.0,,901.5354779,0.36209397,5000,198931.990228428,17014,68.1429305889,1.408e-05,3741537,577
2018-03-18,1187769.6977732738,1114122.7776544557,2001,0.0,28.49,661798.0,,901.4882443,0.40525483,4895,192941.528441058,17888,47.0729925281,2.436e-05,3718204,577
2018-03-19,1073435.207070761,966790.734455275,2036,0.0,30.7,618000.0,,892.1460216400001,0.4428168,5020,193478.297532997,18006,52.399393955,1.553e-05,4157992,571
2018-03-20,1156277.084973851,1053100.082409365,1998,0.0,34.41,620125.0,,892.15825341,0.42295267000000003,4824,204195.735627732,17242,55.043265547199994,1.987e-05,3757181,571
2018-03-21,2108032.926935483,1884692.8559843625,1916,0.0,34.54,557110.0,,898.38708809,0.2990565,4741,212219.982240834,15780,60.2804535124,2.2460000000000002e-05,3588107,575
2018-03-22,1002175.9632621654,866473.9421915564,1720,0.0,32.27,365000.0,,892.16203169,0.50961858,4279,190797.286237173,16028,51.324580813100006,2.838e-05,3426301,571
2018-03-23,1931892.566516257,1461394.4835844464,1727,0.0,30.13,618909.0,,895.28163613,0.19369694,4216,199072.258545038,18080,47.1596420163,5.457e-05,3517127,573
2018-03-24,836539.1707382125,758382.5273344516,1591,0.0,30.55,403460.0,,890.55458925,0.23181725,3835,171444.388148838,15755,47.7567464595,4.021e-05,3315660,570
2018-03-25,654164.2844937214,612338.0954680832,1589,0.0,28.19,354274.0,,887.4826241100001,0.21017635,3687,175780.6646823,16878,44.075033145300004,7.239e-05,3454972,568
2018-03-26,745233.5137816548,680936.8296311756,1618,0.0,28.84,470057.0,,899.95596744,0.28334074,3777,177678.826482135,16046,45.226370610400004,0.0001,3615583,576
2018-03-27,1468513.7808139774,1059714.1046286444,1753,0.0,26.13,443011.0,,887.47440654,0.3073991,4051,173539.338395475,17943,40.9530269226,8.35e-05,3739136,568
2018-03-28,759198.1635600326,714307.2896346073,1783,0.0,25.93,402676.0,,912.44502751,0.2367823,3948,159995.850133489,17160,40.8074544443,4.9160000000000004e-05,3941030,584
2018-03-29,1457242.5107628964,1046555.9348062839,1594,0.0,28.15,296954.0,,884.34718764,0.22176787,3521,180954.895928812,17297,43.993917286999995,0.0001,3635466,566
2018-03-30,670248.85746269,641102.7296607781,1500,0.0,24.2,392420.0,,909.33395445,0.24101153,3365,172672.357644269,17326,37.861146356,0.0001,3449201,582
2018-03-31,1118504.064081743,768570.1464420554,1556,0.0,24.29,256142.0,,870.28678443,0.16314373000000001,3416,175772.422383035,16430,37.970691527999996,0.0001,3410510,557
2018-04-01,637185.957460514,598282.760371626,1496,0.0,24.2,203537.0,,909.36218146,0.41189372,3230,163802.870273156,17427,37.82127613,0.0001,3591945,582
2018-04-02,366418.73113244335,319600.93808103376,1485,0.0,22.69,198008.00000000003,,903.07449794,0.23539123,3165,163369.789067045,16280,35.4532277857,0.0001,3433431,578
2018-04-03,527365.1342372868,472274.8781576056,1511,0.0,23.24,383172.0,,878.09569887,0.27484925,3226,154379.785579617,13120,36.4934366468,0.0001,3366825,562
2018-04-04,462986.1661733175,419268.99122163875,1495,0.0,22.99,316896.0,,902.97194868,0.54502946,3216,147810.759026669,14844,36.1100447015,0.0001,3634037,578
2018-04-05,1126027.4238442504,1105916.9876228408,1434,0.0,20.24,223586.0,,876.46202769,0.23380834,3126,144777.760871583,14988,31.6366031872,0.0001,3353750,561
2018-04-06,711137.6344274576,692013.4007464909,1496,0.0,20.11,130238.0,,899.9646961,0.50062045,3059,155261.235386351,16698,31.421875,0.0001,3686268,576
2018-04-07,675307.6568563419,653215.6610947091,1509,0.0,18.91,315307.0,,895.27945801,0.40344654,3123,139667.174211491,16110,30.413309264400002,0.0001,3551769,573
2018-04-08,691878.2616313847,614208.5502865891,1669,0.0,17.26,372790.0,,890.55534802,0.35438193,3316,119915.294908426,17492,27.0124958152,0.0001,3955690,570
2018-04-09,536455.6663209822,495824.29237017606,1617,0.0,14.63,286241.0,,887.47292106,0.37477075,3198,113222.879041671,15608,22.861603880500002,0.0001,3568059,568
2018-04-10,384713.8877832744,369362.04220959416,1490,0.0,14.43,251160.00000000003,,903.0405184800001,0.24745584,2971,115520.726206756,15204,22.748998463099998,6.713e-05,3479479,578
2018-04-11,287837.93744343123,273804.5567576018,1453,0.0,15.26,274936.0,,871.8199325300001,0.38888613,2911,104119.349237944,14336,23.850611659,0.0001,3357694,558
2018-04-12,1164608.7004998592,806108.0930753599,2092,306850763.9729364,15.04,1069420.0,,938.87496518,0.74682448,4089,121713.477164653,15094,35.5636271648,3.5000000000000004e-05,4134562,601
2018-04-13,9612356.880212747,7229288.296895798,2627,615330708.6142755,30.16,944433.0,,891.99771037,0.74606015,5585,162057.651886256,17776,66.975181,0.0001,5905742,571
2018-04-14,1088561.2250884501,941186.1949118425,2065,545761533.9129529,26.75,698411.0,,874.89612213,0.70580703,4232,150072.087910872,18948,43.489120125,0.0001,4693945,560
2018-04-15,687008.5492505275,592665.9434250799,1832,494765348.17321956,24.25,650749.0,,906.12996936,0.52560435,3634,135433.73407272,17281,37.9046415,0.0001,3893815,580
2018-04-16,656251.5786873729,535947.884987944,1708,556671288.7688066,27.28,389245.0,,892.09982984,0.3263186,3516,146392.830710653,18796,42.6330533288,0.0001,3628026,571
2018-04-17,1057427.46097362,564180.9679392984,1671,517864366.20828104,25.38,444854.0,,887.39119464,0.39517243,3388,144803.994455413,16507,45.7241760324,6.81e-05,3399940,568
2018-04-18,933079.5332176195,895097.3339253518,1790,489564364.12136626,23.99,603318.0,,896.64610345,1.71574433,4122,146835.424940289,15946,58.931743991199994,0.0001,4714672,574
2018-04-19,2223083.0915397718,2060217.3196808281,2067,565561940.1823361,27.72,1039730.0,,897.59838628,3.37188224,6243,154490.86916608,17799,68.83442901720001,0.0001,6306978,575
2018-04-20,1757862.1666384416,1424756.295479088,1876,646475906.239378,31.68,763061.0,,877.93763857,0.80867501,3790,161126.483241999,14824,64.722003984,0.0001,4419482,562
2018-04-21,2479627.545769625,2256027.8422699496,2902,736403816.9733503,36.09,1700190.0,,927.9835572000001,1.5931001200000001,5314,205122.011178923,16393,87.9712401312,0.0001,6263449,594
2018-04-22,9191047.501619171,6006394.2963154195,2956,958932371.4902807,47.0,2375430.0,,904.4012668400001,1.26721238,5755,249544.226230197,15227,140.9999013,0.0001,6156829,579
2018-04-23,3436998.658891418,3079508.589657168,2942,957798481.4735277,46.94,1763280.0,,876.4850364700001,1.36647338,5712,259995.241306652,16919,88.4734442284,5.244e-05,5677973,561
2018-04-24,4681540.473199364,4336224.93373086,2963,1099577482.302959,53.89,2184500.0,,874.90451474,0.84883336,6209,231535.193660192,17831,125.2614843411,2.886e-05,6183035,560
2018-04-25,3678015.629570125,2454925.8811629503,2436,1049419357.8408779,51.43,1286150.0,,903.07777854,0.6954377700000001,4662,215278.266593549,16582,80.6661081487,5.0350000000000004e-05,4692716,578
2018-04-26,4583515.69940992,4308590.123132173,2193,908161054.3923137,44.48,1196900.0,,881.19896248,0.55072254,4234,225820.419195866,13897,69.50030424319999,0.0001,4366893,564
2018-04-27,3997314.6658101096,3819016.530178661,2275,1024045680.4726077,50.16,1547370.0,,874.88833651,0.91800018,4261,210691.355219188,14846,80.0599461288,0.0001,4606292,560
2018-04-28,3480079.4243516,3197401.60376,2185,816713344.582125,40.0,2031560.0,,887.3679276500001,0.99811991,4605,169182.260799013,16598,109.14351359999999,0.0001,4581340,568
2018-04-29,77531695.54583308,77444676.38095433,2605,757160405.948335,37.08,1125860.0,,893.60463727,1.1938242700000001,4673,144389.256649771,16677,115.3699959852,0.0001,11659012,572
2018-04-30,1919284.8559884818,1817008.3013920013,2192,709944464.5097848,34.77,1731620.0,,902.7965966200001,1.64670354,4761,155919.870543724,16424,55.0530190002,0.0001,5997294,578
2018-05-01,2683828.516722619,2360890.041143181,2262,844646091.6252197,41.36,1078310.0,,862.38186166,0.6528779,4678,181463.288805761,16184,67.66775304080001,0.0001,4524101,552
2018-05-02,1157240.6403099417,1015613.1685508476,2084,796858189.8335005,39.02,798812.0,,903.05655362,0.46695291,4229,163352.065869187,17562,60.964848,0.0001,4387313,578
2018-05-03,8961608.29484737,6695854.164059193,3206,814981228.5461924,39.9,2594300.0,,901.3431880200001,1.96286248,6964,158103.746857225,15770,140.974089879,0.0001,5830732,577
2018-05-04,11896310.036078246,10630369.310304686,2585,845888551.188486,41.42,1640510.0,,874.82592483,1.12687894,6097,140753.557182606,16479,112.44892339100001,0.0001,5218280,560
2018-05-05,10536984.929494394,8380773.609365381,2320,738135030.6878982,36.14,1490330.0,,893.5762975,2.47362617,5958,150340.896400901,17339,71.0338635266,0.0001,5736002,572
2018-05-06,1882127.464986671,1602964.8970770908,2132,654590488.9565891,32.05,867677.0,,910.6772942700001,0.97106029,3852,141416.707228477,19076,56.6709122395,0.0001,4495405,583
2018-05-07,1703907.120052627,1277236.8873359659,1983,659864038.7827586,32.3,959594.0,,874.80826878,0.59129387,3578,144281.675381341,16700,62.33988275899999,0.0001,3952393,560
2018-05-08,2234858.790944032,2012328.4452652864,1897,595481344.4312363,29.15,1022310.0000000001,,882.71379237,0.72080991,3617,118051.74376745,16303,54.759477146,0.0001,4006887,565
2018-05-09,1762163.5859849215,1247061.048277616,2086,552368743.6041666,27.04,1652960.0,,909.2939958000001,0.5810492700000001,3905,131206.581044332,16801,42.3570413552,0.0001,4330996,582
2018-05-10,2822559.556427026,2165825.305681835,1801,626859420.8476535,30.68,952536.0,,896.7971840700001,0.60167846,3540,138950.266708753,15928,70.1668863636,0.0001,4244553,574
2018-05-11,1466927.253820017,1175834.0430699633,1662,569837384.0033098,27.89,552912.0,,892.14402284,0.89962263,3162,128531.187353278,18384,47.302349214,0.0001,4029264,571
2018-05-12,615791.1066512436,418133.020489128,1640,492829787.886373,24.12,784428.0,,889.0009907900001,0.47656172,2922,125561.752921178,16495,47.6266508316,6.257e-05,3646185,569
2018-05-13,593973.8271282086,455248.13034312153,1649,497083059.9859649,24.33,784311.0,,898.3004716400001,0.6584420400000001,3296,120488.845050766,17104,51.0625524648,0.0001,4253218,575
2018-05-14,1367308.950416149,987896.6938843239,1609,525040925.6430666,25.7,728059.0,,887.49302836,0.68498439,3210,121673.076060367,16580,79.50391477800001,0.0001,4140369,568
2018-05-15,1051696.4532467916,871450.2787246061,1651,486875324.28822786,23.83,705934.0,,889.05241167,0.77942351,3351,112104.047037603,14996,38.762026937499996,0.0001,4335842,569
2018-05-16,631459.38353568,528544.14719904,1682,490446451.2332324,24.0,520817.0,,904.68640427,0.51440348,3017,106977.976559969,16206,45.1016976,0.0001,3901470,579
2018-05-17,1459617.800701134,991724.8888912117,1701,472234273.5844327,23.11,606420.0,,885.9375,0.57796744,3059,106031.864187988,15050,36.1329472,0.0001,4239340,567
