date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses,medianTxValue(USD)
2017-07-13,,1,,,,2,
2017-07-14,,1,,,,2,
2017-07-15,,,,,,,
2017-07-16,,,,,,,
2017-07-17,,,,,,,
2017-07-18,,,,,,,
2017-07-19,,,,,,,
2017-07-20,,2,,,,2,
2017-07-21,,1,,,,2,
2017-07-22,,,,,,,
2017-07-23,,,,,,,
2017-07-24,,422,,,,365,
2017-07-25,,1120,,,,848,
2017-07-26,,5069,,,,2963,
2017-07-27,,1288,,,,888,
2017-07-28,,674,,,,452,
2017-07-29,,261,,,,191,
2017-07-30,,133,,,,106,
2017-07-31,,304,,,,204,
2017-08-01,,236,,,,165,
2017-08-02,,458,,,,301,
2017-08-03,,1243,,,,787,
2017-08-04,,1669,,,,964,
2017-08-05,,604,,,,374,
2017-08-06,,885,,,,582,
2017-08-07,,842,,,,613,
2017-08-08,6406119.52561709,652,46831994.90163222,0.11095,7543670.000000001,421,1109.38905
2017-08-09,1827569.4049643222,506,47972508.7576194,0.113652,5319330.0,370,907.909002
2017-08-10,2401169.296271741,472,43397367.66337386,0.102813,9412790.0,322,1025.5082685
2017-08-11,12268588.03941918,1489,47736133.0742528,0.113092,28319900.0,1054,1461.606775692
2017-08-12,3022424.7466328014,566,75747955.25324506,0.179455,14449400.000000002,433,1615.2028704005
2017-08-13,17736311.407388307,3682,91854866.58822745,0.144317,26199000.0,2548,939.1544993480101
2017-08-14,23703969.83456637,3384,118083963.88652143,0.181307,61300700.0,2132,1113.17489575432
2017-08-15,24256955.751041185,1635,217378869.2646137,0.33015,33235400.0,1253,1980.9
2017-08-16,9839764.357361464,1186,184038134.96636826,0.277113,20149800.0,933,1563.4470214995001
2017-08-17,37994474.03185998,1588,200780617.28275797,0.300867,17016300.0,1341,3008.369133
2017-08-18,10023043.587443316,1349,187744289.03923577,0.280177,19448900.0,931,1540.9735
2017-08-19,3647250.045949272,836,153947543.33792266,0.229741,20150200.0,612,1275.50263037255
2017-08-20,2055242.5980627502,507,151521140.8925009,0.22612,19136800.0,418,773.9138823092
2017-08-21,8660398.783098396,677,145374773.27777243,0.216171,18912500.0,553,1071.127305
2017-08-22,2179053.750860685,568,119211775.2745181,0.176904,20542100.0,455,926.623152
2017-08-23,3200988.2820658735,715,125218915.77308644,0.185124,21797700.0,580,922.8431400000001
2017-08-24,2687322.39908999,589,137667487.3250926,0.202427,8670120.0,429,958.491845
2017-08-25,27030181.126715545,3060,125499413.2380119,0.184535,9366220.0,2904,1806.45916570925
2017-08-26,1217259.1521935102,401,122278591.15161361,0.179665,7509990.0,338,654.5878677
2017-08-27,1947040.5070036533,446,124478264.21120298,0.182897,11480300.0,377,914.485
2017-08-28,6493036.235721503,648,123430650.76179709,0.180416,11391400.0,520,1048.7104879679998
2017-08-29,1705183.3145669631,461,118259554.46316576,0.172808,9879820.0,415,784.029896
2017-08-30,116045127.11170566,1148,113484487.17321382,0.165639,16132100.0,1020,1654.73361
2017-08-31,2992305.4629033613,520,95858795.56139669,0.139913,21798500.0,441,1132.6432354635
2017-09-01,5341561.95334121,508,117030726.87800114,0.170815,10602100.0,391,1126.2474509651472
2017-09-02,5159065.914149147,658,100704045.17828985,0.146985,13028900.0,465,1374.8117497078124
2017-09-03,3849662.0555773596,754,86977436.25995044,0.12695,10973300.0,567,998.6775650000001
2017-09-04,9386987.921895484,2768,72261169.29299562,0.10547,15506699.999999998,2222,777.581509031
2017-09-05,7255359.326913616,3302,41956164.84972678,0.061238,7891520.0,2683,415.58857366008
2017-09-06,17768631.974131335,6534,33565786.477422915,0.048992,2617590.0,5447,187.993071388272
2017-09-07,7460702.709503547,4799,39812901.00977199,0.05811,890057.0,3964,203.1281538
2017-09-08,15116753.91772108,7198,31341079.266327925,0.045745,3627010.0,5637,143.5203126805
2017-09-09,8865409.37463506,4550,33168801.65647328,0.048412,835800.0000000001,4284,265.28078530043996
2017-09-10,5596901.19489737,1870,44895470.80175617,0.045487,835852.0,1693,129.2042132602
2017-09-11,2224787.835284311,1823,44623948.1439625,0.045212,847176.0000000001,1621,110.56006844
2017-09-12,1603652.490966688,1374,44646517.19209404,0.045235,5085.0,1239,116.6851333266785
2017-09-13,2022088.617083609,1615,42910269.16935545,0.043476,560776.0,1492,173.8577284932
2017-09-14,2937613.399031027,1267,38922838.148445435,0.039436,532320.0,1148,123.26096442
2017-09-15,2095994.7627332683,1426,39003454.26733007,0.039517,405219.0,1422,197.58499999999998
2017-09-16,1371245.283562472,895,44590881.717684835,0.045178,142071.0,869,122.296846
2017-09-17,880503.4506341487,843,44817796.88175759,0.045408,135199.0,786,129.73065599999998
2017-09-18,976695.7875922262,769,43948583.46981907,0.044527,175066.0,756,88.06381302669999
2017-09-19,860791.6371179284,704,50117470.08033344,0.050778,84345.0,660,87.22841713922699
2017-09-20,250057.31455861166,501,47439168.0,0.048064,43725.0,471,57.959007776
2017-09-21,907760.3032186059,693,45299574.88018637,0.045896,128745.0,648,68.7705664
2017-09-22,625114.8745503963,874,61279234.02207676,0.062086,174161.0,639,123.55114
2017-09-23,4139674.0031904886,1066,68647543.38783632,0.069552,144667.0,1024,1363.730097502332
2017-09-24,827542.8947662719,998,72408294.0,0.073362,392543.0,838,126.27404758916171
2017-09-25,1465713.8777192654,985,107843568.0,0.109264,209318.0,901,375.989164198272
2017-09-26,822582.939663767,663,105488586.0,0.106878,100199.0,627,463.33109292000006
2017-09-27,536360.9226245829,495,99096774.0,0.100402,142389.0,454,234.338268
2017-09-28,885162.2076063367,420,98720727.0,0.100021,146314.0,349,216.19489139499998
2017-09-29,8821945.90738507,614,102869088.00000001,0.104224,152087.0,585,464.96476541119995
2017-09-30,934349.8030196755,788,108184083.0,0.109609,140640.0,670,154.33489983768
2017-10-01,587624.6780499164,321,105518196.0,0.106908,234758.0,244,320.724
2017-10-02,487858.60581347527,283,108204810.00000001,0.10963,103832.0,261,290.7905565111654
2017-10-03,484351.025232176,246,101509989.0,0.102847,138255.0,223,370.86628199999996
2017-10-04,428439.6601399411,220,100142588.25061251,0.101462,110372.0,211,420.2602306672
2017-10-05,471758.1053572047,225,97527037.07797366,0.098812,134367.0,194,435.36567199999996
2017-10-06,364039.6844927071,208,94762265.14404792,0.09601,100707.0,191,479.95399
2017-10-07,382614.2573167174,259,93862819.09421907,0.095099,123146.0,200,488.51823745600007
2017-10-08,395893.5313284815,249,88074834.34900238,0.089235,123010.0,206,368.36208
2017-10-09,351745.8221477056,155,78833269.02967024,0.079872,76588.0,175,399.36
2017-10-10,658897.2309546825,324,79224873.7134598,0.080268,300982.0,223,668.2868260590001
2017-10-11,271797.32722643286,244,65552253.36155932,0.066416,96426.0,223,351.5581524
2017-10-12,385505.5130495649,259,76466466.02234134,0.077474,145498.0,246,434.4143083004825
2017-10-13,469389.4980103999,295,81159428.75033556,0.082228,129340.0,280,575.5959999917771
2017-10-14,958466.8360895254,447,81359312.92399782,0.082431,177569.0,384,400.3609907923422
2017-10-15,600958.4576665176,341,96637661.74911252,0.097911,108221.0,349,574.617335292
2017-10-16,593929.6748056302,305,96415789.42928837,0.097686,164060.0,261,487.90894287599997
2017-10-17,1074878.311760119,424,97898089.11950406,0.099187,248093.00000000003,350,919.6854186738494
2017-10-18,700449.9834957392,377,91990967.42308103,0.093203,180520.0,350,465.66082859999995
2017-10-19,694754.4605157723,436,92136867.75618877,0.09335,142962.0,392,368.21394075
2017-10-20,537524.942889278,324,87290379.38770646,0.08844,147662.0,309,380.104715034
2017-10-21,739301.9967652466,282,86359539.0,0.087497,58840.0,267,305.49577550000004
2017-10-22,497841.75017856946,231,80392714.8340116,0.081452,67630.0,240,413.09295202728
2017-10-23,321677.04356145766,276,77545933.0932057,0.078567,101585.0,252,392.75673548295
2017-10-24,387656.5007882539,243,75385187.38808511,0.076378,163303.0,239,281.4507303059622
2017-10-25,297907.40701758687,232,73677576.0,0.074648,151472.0,213,319.63376704280006
2017-10-26,823694.0518782893,429,72440373.85793021,0.073394,114657.0,399,179.8833068804
2017-10-27,708107.2457790298,527,72159740.14778848,0.07311,393531.0,478,390.77295
2017-10-28,439198.7795413944,322,83658681.07074524,0.084761,161536.0,278,420.63078531100007
2017-10-29,872578.9606537352,345,77578104.68876313,0.0786,259818.0,312,235.8
2017-10-30,631757.1799676315,457,80352839.80010258,0.081411,342569.99999999994,383,325.644
2017-10-31,818440.9659336952,378,86746942.29466288,0.087889,292197.0,367,439.445
2017-11-01,451574.1272441401,233,86515282.78871375,0.087655,279181.0,264,541.9657897755
2017-11-02,864385.8793009386,357,83288277.83126117,0.084385,551671.0,414,547.36431512
2017-11-03,949237.6050422897,448,89574198.0,0.090754,804364.0,542,565.9483920671623
2017-11-04,1872554.3341685024,1352,112722309.0,0.114207,627612.0,1403,171.3123240571005
2017-11-05,1719095.5007698056,477,116314002.0,0.117846,489051.0,513,830.6988109082154
2017-11-06,1486656.7300025302,402,108645012.0,0.110076,375120.0,429,1099.1088599999998
2017-11-07,1254056.093844054,438,102462444.0,0.103812,562314.0,446,629.7235919948093
2017-11-08,1304011.6337131867,458,115081238.99999999,0.116597,732200.0,486,593.10121806325
2017-11-09,2010404.6521381428,503,126829499.99999999,0.1285,557149.0,532,730.20734197683
2017-11-10,1396406.8048356099,440,125313468.0,0.126964,401483.0,431,844.745527253737
2017-11-11,1228668.585945108,391,114510753.00000001,0.116019,650400.0,393,676.62164781
2017-11-12,1011498.1355930922,351,128760071.99999999,0.130456,570455.0,377,782.7359999999999
2017-11-13,1645433.4399959925,506,117129264.0,0.118672,586754.0,487,1186.7199999881327
2017-11-14,1372009.0144565003,409,113109213.0,0.114599,637770.0,384,451.5510361097
2017-11-15,1019410.6080249057,442,109224381.0,0.110663,627420.0,398,506.6703573729
2017-11-16,1114250.541082155,415,106904931.0,0.108313,677778.0,365,852.8890559
2017-11-17,1451443.5802745624,415,111171732.0,0.112636,491313.00000000006,386,572.641424
2017-11-18,438144.66046225216,258,106899009.0,0.108307,453563.0,295,467.561319
2017-11-19,537104.7866114641,247,114212679.0,0.115717,439347.0,291,531.7027434614
2017-11-20,489060.3094916608,288,113772477.0,0.115271,479031.0,343,587.76250057395
2017-11-21,511162.1018358952,310,114041928.0,0.115544,600951.0,344,576.5645599999999
2017-11-22,587821.703974425,294,107753751.0,0.109173,667485.0,366,576.5347358394393
2017-11-23,759654.1756258418,356,116087979.0,0.117617,824948.0,446,588.085
2017-11-24,799674.4034457505,374,112931553.0,0.114419,859158.0,437,572.095
2017-11-25,2655940.8872907856,452,106472625.0,0.107875,538207.0,523,630.71677545
2017-11-26,3942356.1753124725,1011,105320796.0,0.106708,749140.0,1041,1074.39590048
2017-11-27,2124408.518564078,863,103223421.00000001,0.104583,2102660.0,917,978.583131
2017-11-28,4930919.153868034,1020,126456414.00000003,0.128122,1252560.0,1008,1093.095456533
2017-11-29,2784956.739478221,814,126417921.0,0.128083,1524000.0,777,818.35492895255
2017-11-30,2656808.4777670777,507,109402041.0,0.110843,2036189.9999999998,456,1044.362746
2017-12-01,4958150.7706692815,450,106403535.0,0.107805,2021419.9999999998,432,741.1714222033597
2017-12-02,1275712.7007697602,485,114386391.0,0.115893,1912110.0,445,929.8651676284106
2017-12-03,1500653.6641671883,539,112966098.0,0.114454,2515190.0,525,1101.7370262399236
2017-12-04,1357793.9768350122,421,118457766.0,0.120018,2762190.0,397,960.144
2017-12-05,1321375.6245423176,280,121383234.0,0.122982,2660210.0,398,563.6733436947
2017-12-06,3191782.713787557,1005,122779839.0,0.124397,8304510.0,1535,900.261089
2017-12-07,8083013.595954118,1419,192930864.0,0.195472,4717310.0,1852,1744.9690049664
2017-12-08,8114442.602189234,1575,163112606.99999997,0.165261,2722610.0,1919,1648.478475
2017-12-09,8557118.68524426,1787,172174254.0,0.174442,1424510.0,2055,1409.8025819547559
2017-12-10,5942585.116291829,1111,161055699.0,0.163177,1265330.0,1378,1630.9541149999998
2017-12-11,9893736.639095373,1676,153624576.0,0.155648,1094120.0,1939,1569.3752500146177
2017-12-12,5923926.182903892,903,163765014.0,0.165922,2590350.0,988,1659.2199999999998
2017-12-13,3911851.9278315124,810,174228201.0,0.176523,2259650.0,871,1184.7113783376
2017-12-14,6660277.327962211,1384,172841466.0,0.175118,4609020.0,1422,342.99487070000004
2017-12-15,8334959.7344669625,1058,217746017.99999997,0.220614,3434420.0,983,1338.1127512467694
2017-12-16,8137637.098832181,1598,212892939.0,0.215697,4182410.0,1501,102.64450317435723
2017-12-17,5243899.062035125,1001,240174606.0,0.243338,6284440.0,1144,1327.165452
2017-12-18,19574964.31950384,1515,278588646.0,0.282258,11652600.000000002,1608,2137.257576
2017-12-19,14734959.609607568,1620,391770897.0,0.396931,12780100.0,1673,1984.72364921645
2017-12-20,24869328.58744941,2446,381009636.0,0.386028,19471600.0,2258,2059.335465012
2017-12-21,23147762.031560827,2276,449689044.0,0.455612,19370400.0,2197,1942.1445393886197
2017-12-22,11375319.40397957,1082,414166914.0,0.419622,11857600.0,1010,2517.732
2017-12-23,16522032.70886096,1624,332912139.0,0.337297,8250570.0,1531,2887.6989382166735
2017-12-24,10761527.979486605,1063,351074913.0,0.355699,6493070.0,1012,2709.66518410443
2017-12-25,16575323.812589975,1212,327022710.0,0.33133,9554590.0,1093,3208.5831535
2017-12-26,15405205.175524265,1431,379418592.0,0.384416,11689600.0,1305,2828.2677962847997
2017-12-27,21709710.892494056,1576,411449703.0,0.416869,10264400.0,1428,4118.4220183826
2017-12-28,8912079.983599791,840,387922584.0,0.393032,13967700.000000002,711,2292.4945002208
2017-12-29,6557601.325057486,700,357007770.0,0.36171,12630800.0,584,1779.6131999819142
2017-12-30,3945467.4008691804,687,370072689.0,0.374947,13880600.0,572,1989.6022630945051
2017-12-31,4143856.8207804463,1069,321134268.0,0.325364,13214400.0,959,847.50012372376
2018-01-01,5438646.970846159,588,352657074.0,0.357302,14426400.0,499,1786.5099999821348
2018-01-02,6612214.679188502,875,362684007.0,0.367461,21608200.0,687,1676.357082
2018-01-03,7980317.696962799,780,375105402.0,0.380046,28385299.999999996,681,2051.2226368437
2018-01-04,7147436.01938228,886,424843293.0,0.430439,39705000.0,819,1902.090140806
2018-01-05,8432378.560296139,1066,503485479.00000006,0.510117,52703000.0,1058,1550.5516332000002
2018-01-06,7929600.409087021,921,513012003.0,0.519769,49606099.99999999,875,1974.082662
2018-01-07,8300137.848749874,962,575035083.0000001,0.582609,53089900.0,958,1803.1763115225
2018-01-08,7451640.211358029,1180,575428896.0,0.583008,38719900.0,1008,1000.5476395478217
2018-01-09,12813921.466405647,962,543096750.0,0.55025,36810400.0,883,2655.45972875
2018-01-10,5182266.909704061,722,551787285.0,0.559055,40342000.0,685,2162.6707241720474
2018-01-11,8777468.650624448,812,567653310.0,0.57513,53791100.0,800,1515.16618188
2018-01-12,8141905.856989289,1014,514280298.0,0.521054,45092300.0,943,2138.9464961047
2018-01-13,9658099.67171244,774,613082946.0,0.621158,40008300.0,771,1786.6053558631
2018-01-14,5567664.752001905,735,670508580.0,0.67934,39919900.0,732,2086.848513576
2018-01-15,6253989.752458447,781,578295144.0,0.585912,34862400.0,778,1919.447712
2018-01-16,16597799.304359352,1427,520366140.0,0.52722,42643200.0,1259,1111.2677362944
2018-01-17,9028679.46345906,1189,326094930.0,0.33039,41490200.0,999,1651.2892200000001
2018-01-18,9098180.124273505,840,363245610.00000006,0.36803,38867000.0,800,1473.5118894600002
2018-01-19,4973713.5437069,669,337009175.99999994,0.341448,30176000.0,658,937.41793256088
2018-01-20,3232888.978713296,635,369254466.0,0.374118,23459400.0,571,1367.4951562062001
2018-01-21,8226714.255296289,589,434491218.0,0.440214,17124800.0,562,2320.5741021948
2018-01-22,3761271.407768647,626,356565594.0,0.361262,22923800.0,613,3795.0874753770004
2018-01-23,3562175.570044436,434,343780983.0,0.348309,21135300.0,422,1392.3652274825845
2018-01-24,3321747.152039692,1222,349497687.0,0.354101,31788400.0,1181,586.9897575102
2018-01-25,4496033.792470234,591,391907103.0,0.397069,32813200.0,520,1459.228575
2018-01-26,3862239.362544114,615,436941939.0,0.442697,32301600.000000004,573,1588.839533
2018-01-27,3198922.6215859572,490,440216805.0,0.446015,22111100.0,461,1199.0224144097501
2018-01-28,2825051.4833161007,517,432381999.0,0.438077,26914000.0,461,1314.231
2018-01-29,4641652.769610433,613,420313950.0,0.42585,21266700.0,536,1055.94140748
2018-01-30,3243938.417168407,525,409718505.0,0.415115,17302100.0,449,1328.368
2018-01-31,8794234.251046184,586,368184558.0,0.373034,22362000.0,470,1350.291019498691
2018-02-01,7194770.3345499495,558,379695939.0,0.384697,21235600.0,505,2144.685774980765
2018-02-02,6840521.11660531,700,345930668.99999994,0.350487,16831000.0,560,3210.110433
2018-02-03,5387844.398209679,423,327248733.0,0.331559,14233099.999999998,347,2199.30047439
2018-02-04,5347649.8369282875,571,350154042.0,0.354766,14943799.999999998,436,2742.6404960742
2018-02-05,3015261.1043814104,639,300806016.0,0.304768,13813500.0,532,1920.0384
2018-02-06,5782705.6086497735,831,246943451.99999997,0.250196,16925100.0,695,1028.712879088
2018-02-07,2858250.527633898,656,288157611.0,0.291953,15598700.0,586,729.8825
2018-02-08,1596718.4935799744,456,269959305.0,0.273515,13066600.0,385,421.88266472000004
2018-02-09,2020140.9751692344,665,289972704.0,0.293792,17166800.0,548,361.33184288
2018-02-10,2070340.467134695,465,346511025.0,0.351075,14931999.999999998,437,473.9266747500001
2018-02-11,1833386.8010865087,416,349262781.0,0.353863,11753200.0,392,355.27137474
2018-02-12,1130970.8950201583,316,350379078.0,0.354994,11965000.0,316,392.18849635
