date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses,medianTxValue(USD)
2018-03-10,,2,,,,3,
2018-03-11,,,,,,,
2018-03-12,,,,,,,
2018-03-13,,,,,,,
2018-03-14,,,,,,,
2018-03-15,,,,,,,
2018-03-16,,,,,,,
2018-03-17,,,,,,,
2018-03-18,,,,,,,
2018-03-19,,,,,,,
2018-03-20,,,,,,,
2018-03-21,,,,,,,
2018-03-22,,,,,,,
2018-03-23,,,,,,,
2018-03-24,,,,,,,
2018-03-25,,,,,,,
2018-03-26,,,,,,,
2018-03-27,,10121,,,,10119,
2018-03-28,,1881,,,,1871,
2018-03-29,,1761,,,,1858,
2018-03-30,,138,,,,210,
2018-03-31,,46,,,,76,
2018-04-01,,99,,,,133,
2018-04-02,,23,,,,42,
2018-04-03,,28,,,,49,
2018-04-04,,36,,,,60,
2018-04-05,,43,,,,65,
2018-04-06,,180,,,,193,
2018-04-07,,23,,,,38,
2018-04-08,,96,,,,112,
2018-04-09,,171,,,,124,
2018-04-10,,301,,,,36,
2018-04-11,,34,,,,47,
2018-04-12,,87,,,,111,
2018-04-13,,92,,,,123,
2018-04-14,,106,,,,124,
2018-04-15,,29,,,,50,
2018-04-16,112616.50998963023,32,0.0,0.817342,28409300.000000004,56,28.60697
2018-04-17,274196.20423800923,142,0.0,0.84306,37356500.0,241,21.0765
2018-04-18,1723315.5703701344,229,0.0,1.01,48279500.0,304,15.15
2018-04-19,981461.5229196413,84,96569622.07299268,1.18,48380200.0,151,23.599999999999998
2018-04-20,1026953.3918267442,129,112261473.44029851,1.37,51033600.0,193,13.700000000000001
2018-04-21,2128360.8176911483,290,109155543.02325583,1.34,46757600.0,341,6.7
2018-04-22,4546028.5560643375,90,105347346.51492538,1.29,48457600.0,134,135.45000000000002
2018-04-23,1540808.4874959928,184,109266432.42500001,1.34,50573399.99999999,237,67.0
2018-04-24,42679811.20253749,169,168081833.14285716,1.6,77297504.0,226,239.91840000000002
2018-04-25,84391214.03673281,82,261577940.79861113,1.75,48124100.0,111,280.0
2018-04-26,5172155.289052871,224,216751005.69182387,1.45,46230600.0,211,611.046646
2018-04-27,2599272.1137660965,164,239126345.97402596,1.6,17370600.0,162,780.8000000000001
2018-04-28,789329.4552000057,301,228204957.52380952,1.52,66764900.00000001,216,50.160000000000004
2018-04-29,3604475.235869267,212,253242291.61111113,1.69,90217000.0,204,1342.7219
2018-04-30,2877002.765046669,216,351478188.7438424,2.35,103586000.0,183,87.369005
2018-05-01,685700.86452927,195,306247427.71428573,2.04,89914096.0,193,81.6
2018-05-02,1566184.6826435672,180,314493029.39698493,2.1,186579008.0,186,1045.8
2018-05-03,928785.6823490376,152,297881413.89162564,1.99,131761000.0,142,1324.9412637
2018-05-04,1247984.3552462726,147,303257900.06796116,2.02,127653000.0,113,3632.2327
2018-05-05,1457863.1584254059,185,307985696.5595855,2.06,123465000.0,131,2472.0
2018-05-06,1575635.4731204808,169,289385434.7849462,1.93,112872000.0,141,3860.0
2018-05-07,571737.2307367986,131,278992947.0,1.86,94935800.0,115,1865.5800000000002
2018-05-08,1087112.7208654934,189,280877118.40782124,1.87,97971400.0,159,1010.4919000000001
2018-05-09,576738.5801901761,143,268611427.0055249,1.79,91524200.0,141,1544.83086
2018-05-10,993374.527086587,105,270388666.35087717,1.81,89252400.0,99,2628.2648
2018-05-11,1503472.6190403737,173,255856940.25000003,1.71,77504096.0,122,3584.8233090000003
2018-05-12,475407.33339995606,120,213466990.24444443,1.43,63130400.00000001,99,2080.4206459465
2018-05-13,1466652.6751478943,112,200963859.46575344,1.34,59402300.0,88,2060.92
2018-05-14,335005.72861923947,101,216612496.6766467,1.45,59256700.0,102,1610.1235000000001
2018-05-15,695188.2982071225,2688,246729251.1801242,1.65,65950800.0,2699,1.385175
2018-05-16,245833.10001882524,1571,241773293.47500002,1.61,65309300.0,1584,1.3829900000000002
2018-05-17,377518.56049758405,104,240352474.7712418,1.6,70628400.0,97,1783.7363582560001
2018-05-18,516473.768015046,70,229309619.63225806,1.53,61662200.0,85,675.495
2018-05-19,443658.0666085445,347,232278648.31658295,1.55,80593600.0,363,9.3
2018-05-20,4010818.435022991,391,294381539.4475138,1.96,81296704.0,380,259.46676
2018-05-21,3257686.8655780177,4271,273208489.94219655,1.82,77110496.0,4270,1.540448
2018-05-22,841562.1796050409,313,259758117.13815787,1.73,72662400.0,326,5.1899999999999995
2018-05-23,672487.999987424,91,226987345.3357664,1.51,71897504.0,107,15.1
2018-05-24,206450.79155896403,2072,205066675.5684932,1.37,74810600.0,2089,1.167103
2018-05-25,656409.4750952098,104,218187188.40540543,1.46,65560900.0,135,41.61
2018-05-26,555326.2247293277,96,220320517.1408451,1.47,64347500.0,119,42.63
2018-05-27,160210.870103904,65,212573688.41726622,1.42,47952600.0,83,28.4
2018-05-28,639787.00223347,37,208437224.5630252,1.39,38465600.0,49,190.0269
2018-05-29,459146.64305001876,50,176206229.08270675,1.18,36554000.0,53,708.0
2018-05-30,293490.64845140744,59,198793089.53488374,1.33,37990800.0,64,1831.3974980000003
2018-05-31,309103.340519661,72,193567959.459854,1.29,34623800.0,91,1116.52209
2018-06-01,538882.8069894235,83,205609621.99999997,1.37,35871500.0,100,68.5
2018-06-02,131862.04135951042,82,205099867.03571433,1.37,30737800.0,109,19.18
2018-06-03,634354.9878948099,49,210050793.4306569,1.4,30196700.0,77,152.460357
2018-06-04,169996.24916535238,57,206998824.32558137,1.38,27680299.999999996,71,886.4550059999999
2018-06-05,163014.4599077361,100,193547387.65384614,1.29,26475300.0,102,12.9
2018-06-06,37380.58372906,44,194626037.36434108,1.3,25084700.0,75,27.28375
2018-06-07,170448.03493907012,48,193734370.65354332,1.29,22373800.0,65,14.190000000000001
2018-06-08,113847.5716823667,73,190294719.86290324,1.27,20014100.0,83,12.7
2018-06-09,186004.5689507728,48,185901208.29268295,1.24,17290200.0,60,1039.70950344
2018-06-10,659107.9204791273,83,184244723.40595132,1.23,13736300.0,86,1187.219474796
2018-06-11,744172.0647664533,79,140545470.37476203,0.938268,13107900.0,81,1734.9385045284
2018-06-12,1341115.9449925043,63,138223986.57149842,0.92277,11569400.0,74,10068.804855
2018-06-13,346665.7620972516,83,127679795.80265124,0.852378,14365300.0,88,1522.82870157
2018-06-14,299895.0896232953,66,115539416.81699201,0.77133,13091500.000000002,75,1345.960745577
2018-06-15,203065.1663162835,22,118377234.2822712,0.790275,12930300.0,34,749.3864876099999
2018-06-16,127614.78812260964,18,118832154.8233848,0.793312,13386800.000000002,28,28.943915335295998
2018-06-17,294498.1779891782,17,116094996.4287792,0.775039,10173100.0,26,753.704084476018
2018-06-18,163658.72901094842,28,114230530.28367065,0.762592,10714300.0,43,308.22824752
2018-06-19,63869.1315319256,14,115482645.64854261,0.770951,17955200.0,22,1202.9730906480502
2018-06-20,575680.6860374337,64,120617231.42127107,0.805229,28197300.0,83,419.679432340705
2018-06-21,100918.13277037584,25,117254540.27808754,0.78278,22514900.0,39,285.7147
2018-06-22,147849.26984284216,31,117848916.97200775,0.786748,20166300.0,46,529.494778716
2018-06-23,162421.41853533845,54,94382130.72375539,0.630086,17654500.0,61,342.391019297137
