date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses,medianTxValue(USD)
2017-07-12,,4,,,,5,
2017-07-13,,1,,,,2,
2017-07-14,,16,,,,10,
2017-07-15,,6,,,,4,
2017-07-16,,8653,,,,8021,
2017-07-17,21742491.222224727,4820,54709219.538263924,0.161237,9750800.0,3579,806.185
2017-07-18,7569521.4969573645,1917,58127421.59803676,0.171311,7932920.0,1505,822.2927999999999
2017-07-19,4243593.062222863,1341,58941425.19927359,0.17371,3096710.0000000005,947,694.39756063
2017-07-20,2918760.136706339,959,48809987.45616536,0.143851,2553680.0,695,359.6275
2017-07-21,1655692.9938820861,634,52735456.79397654,0.15542,1299210.0,456,388.55
2017-07-22,832044.3564824589,991,51911274.36154046,0.152991,1828369.9999999998,457,152.838009
2017-07-23,1444508.5969488889,674,62768155.77051856,0.184988,1297280.0,473,230.25485442055975
2017-07-24,2615070.8923933106,974,62441400.60542432,0.184025,5167200.0,702,297.8206203645395
2017-07-25,1729506.373263421,696,69006517.18751833,0.203348,2490100.0,514,323.0441848409462
2017-07-26,1982234.454228358,614,58935572.41668207,0.173671,1086920.0,473,302.45333185472526
2017-07-27,2427048.4839011347,607,58979800.00000001,0.17347,1193380.0,498,208.0477676633411
2017-07-28,1170446.413665341,748,55226880.0,0.162432,1140120.0,487,349.5640472398195
2017-07-29,836791.8428565491,359,52046520.0,0.153078,617954.0,271,187.12506848497603
2017-07-30,487265.6085271505,440,56897980.0,0.167347,601016.0,318,167.429836765
2017-07-31,778749.4619826685,495,55617880.0,0.163582,633192.0,397,176.57204662
2017-08-01,362180.972079653,372,55378180.0,0.162877,965800.0,276,164.71614493257997
2017-08-02,855911.1491862235,461,58418120.0,0.171818,917333.0000000001,364,229.13274348710453
2017-08-03,641004.8583048985,522,54895380.0,0.161457,860385.0,379,161.456192715
2017-08-04,1645079.1280582286,674,59011080.0,0.173562,1658350.0,491,213.30517603219252
2017-08-05,1128732.1607069047,830,66318700.0,0.195055,2692140.0,602,195.054804945
2017-08-06,1503715.3661787936,1058,73802440.0,0.217066,1383270.0,501,216.848934
2017-08-07,1629674.2316356797,1173,70704700.0,0.207955,1543070.0,754,207.747045
2017-08-08,2097519.2545477967,763,67176860.0,0.197579,1775290.0,515,197.579
2017-08-09,560901.1646372996,624,69601060.0,0.204709,1663640.0,470,204.504291
2017-08-10,21861528.411778692,5781,75757100.0,0.222815,51701100.0,3089,450.08630000000005
2017-08-11,18976377.25528594,6089,154268540.0,0.453731,71905400.0,3717,453.277269
2017-08-12,10116501.24173542,2895,217032199.99999997,0.63833,30224400.0,1906,474.9111367
2017-08-13,6315738.081896561,2565,191635560.0,0.563634,25452100.0,1631,514.1751165
2017-08-14,16001421.49671327,3567,251244700.0,0.738955,23191200.0,1858,738.216045
2017-08-15,6945645.014633575,1915,219216020.0,0.644753,11123900.0,1263,644.108247
2017-08-16,6633139.475526712,1937,202020520.0,0.594178,11901600.0,1231,593.5838219999999
2017-08-17,5859280.841358883,2032,210596680.0,0.619402,11211700.0,1392,463.79920696709144
2017-08-18,5213907.95153082,2014,194143740.00000003,0.571011,10102400.0,1271,465.26503186681373
2017-08-19,3119312.5113703287,1605,166665619.99999997,0.490193,9626780.0,1111,338.93839066432366
2017-08-20,7335543.976175891,1893,188791120.0,0.555268,8170140.0,1106,554.712732
2017-08-21,5910354.676202333,1655,190642420.0,0.560713,6230230.0,1061,504.6417
2017-08-22,2211062.746195836,1305,167882480.0,0.493772,4403160.0,878,469.0834
2017-08-23,4152441.379187792,1436,166230080.0,0.488912,7812220.0,1055,438.309608
2017-08-24,13933155.713939754,1912,172506480.00000006,0.507372,8358530.0,1223,507.37200000000007
2017-08-25,2059017.5456616262,1082,180047000.0,0.52955,3269230.0000000005,801,297.9980423368585
2017-08-26,2422347.705933244,1174,171569780.0,0.504617,3825960.0,895,252.30849999999998
2017-08-27,2396549.8445042,1209,173955220.0,0.511633,3202900.0,858,460.4697
2017-08-28,2883416.8067562585,1321,175040159.99999997,0.514824,5596950.0,949,513.2795279999999
2017-08-29,7933187.905715669,1271,180190820.0,0.529973,6538249.999999999,947,270.25071708164086
2017-08-30,4472388.219687748,1511,183043080.00000003,0.538362,4372520.0,1129,424.8694549543079
2017-08-31,5080254.6215497935,1560,175619860.0,0.516529,5411070.0,1175,309.9174
2017-09-01,3109225.6378330896,1591,176971020.00000003,0.520503,5070740.0,1162,416.59080614299313
2017-09-02,3173515.501814134,1404,166577220.0,0.489933,4603280.0,980,420.0711246310349
2017-09-03,1592216.876713096,1086,149919260.0,0.440939,2665590.0,766,288.53705835197235
2017-09-04,3199239.4809611477,1839,147842880.0,0.434832,5168010.0,1264,434.397168
2017-09-05,3539780.887952873,1512,128046380.00000001,0.376607,4372530.0,1077,373.02546743000005
2017-09-06,2028932.8504136303,1230,144458520.0,0.424878,3002330.0,987,256.73771945794823
2017-09-07,2752711.550522545,1275,150332020.0,0.442153,2327450.0,934,265.28737847
2017-09-08,3029881.0340945697,1588,146947320.0,0.432198,3212060.0,1188,309.9384348372
2017-09-09,1564899.4735472023,1217,130275080.0,0.383162,1723970.0,932,216.7445021157889
2017-09-10,13354997.773223033,4299,136419220.0,0.401233,24241000.0,2482,397.22067
2017-09-11,3987527.956032853,1680,170101660.00000003,0.500299,8713800.0,1150,400.23920000000004
2017-09-12,2651116.6879397198,1201,154959760.0,0.455764,5117500.0,935,232.482992727444
2017-09-13,2087417.5765082443,1203,143808104.27488902,0.422965,3486050.0,917,281.69469
2017-09-14,1840351.2602209486,1207,134591723.87354282,0.395858,3020930.0,913,198.14688796243098
2017-09-15,4376131.195151557,1589,106014043.5222665,0.311806,2980950.0,1249,155.90300000000002
2017-09-16,1438436.09024766,1219,122033483.99683747,0.358922,1522100.0,975,150.74724
2017-09-17,1297710.258412428,1022,122520703.93283658,0.360355,1393970.0,815,170.0435766200283
2017-09-18,3929036.008479957,1522,124023926.5572692,0.364669,3767800.0,1107,217.70739300000002
2017-09-19,1521112.2796026196,1139,144314972.8837264,0.424331,1441530.0,941,236.41601665
2017-09-20,1188529.3989450575,932,132597847.59331694,0.389879,968361.9999999999,764,230.2235495
2017-09-21,2395578.6513794325,1087,128196273.58436488,0.376937,1596430.0,900,141.2303553580016
2017-09-22,799791.7527657337,837,111011020.7,0.326407,1159450.0,686,112.56330029730806
2017-09-23,601620.0675206552,775,115443883.80806048,0.339441,932345.0,655,103.2987224245659
2017-09-24,639828.4365145483,708,119216613.60374673,0.350534,915894.0,621,140.2136
2017-09-25,920516.415675481,976,117507801.26097582,0.345408,2400050.0,797,160.299313793472
2017-09-26,1259550.4732446258,868,138064386.17542407,0.405833,2015270.0,740,165.55145569
2017-09-27,2237664.018653565,1116,129729146.4,0.381332,3435760.0,914,150.2407994094161
2017-09-28,2609941.477533983,1368,147990401.79340872,0.43501,4003030.0,1039,338.06221473203914
2017-09-29,2180476.7846989185,824,142657426.58836263,0.419334,1794850.0,708,156.77457525661487
2017-09-30,2328849.970979955,912,134447720.4,0.395202,1742710.0,752,196.415394
2017-10-01,2588555.3494307674,799,137727928.5919561,0.404844,1352750.0,700,144.85149141765058
2017-10-02,1315736.9733851615,907,132203421.20543502,0.388605,1274070.0,793,144.42651434396953
2017-10-03,1579108.7787059762,875,127992424.97815819,0.376227,1683960.0,761,125.92026469609515
2017-10-04,1008619.4398211675,789,121478615.80238032,0.35708,1445990.0,702,123.8635450607396
2017-10-05,740160.3603916938,891,124112444.60423103,0.364822,916245.0,823,116.39641121711249
