date,txVolume(USD),adjustedTxVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),realizedCap(USD),generatedCoins,fees,activeAddresses,averageDifficulty,paymentCount,medianTxValue(USD),medianFee,blockSize,blockCount
2014-01-19,,,1151,,,,0.0,1812104.0,0.628,3691,0.274700923554381,680,,0.0,1272622,4138
2014-01-20,,,4239,,,,0.0,201357.0,1.6935,4476,3.604337089391,4215,,0.0,1189408,765
2014-01-21,,,2118,,,,0.0,16840.0,1.7975,2262,4.71770142771053,2118,,0.001,631205,454
2014-01-22,,,267,,,,0.0,2079.0,0.226,338,6.10650391352964,266,,0.001,94905,99
2014-01-23,,,188,,,,0.0,8729.0,0.158,238,6.10650391352964,187,,0.001,74541,79
2014-01-24,,,212,,,,0.0,10370.0,0.083,352,6.10650391352964,226,,0.0,84481,85
2014-01-25,,,235,,,,0.0,8784.0,0.083,329,6.10650391352964,234,,0.0,97265,72
2014-01-26,,,260,,,,0.0,7808.0,0.168,319,6.10650391352964,260,,0.001,83657,64
2014-01-27,,,607,,,,0.0,47000.0,0.298,710,1.56864320714523,607,,0.0,242059,327
2014-01-28,,,1290,,,,0.0,114048.0,0.5630000000000001,1452,1.22013582720094,1283,,0.0,555328,781
2014-01-29,,,861,,,,0.0,61396.0,0.405,984,1.75465005785162,861,,0.0,337240,428
2014-01-30,,,1633,,,,0.0,123956.0,0.8335,1783,1.63087770709094,1632,,0.0,677504,859
2014-01-31,,,860,,,,0.0,46920.0,0.503,971,3.16947263680842,860,,0.001,310053,345
2014-02-01,,,1037,,,,0.0,78372.0,0.526,1179,2.35114846179651,1037,,0.001,421177,558
2014-02-02,,,1214,,,,0.0,114600.0,0.651,1540,2.45937514060174,1214,,0.001,520902,821
2014-02-03,,,1079,,,,0.0,100451.0,0.63,1209,4.45853563840375,1079,,0.0,637790,776
2014-02-04,,,1050,,,,0.0,79096.0,0.532,1433,5.98929705853602,1050,,0.0,502434,644
2014-02-05,,,1690,,,,0.0,97417.0,0.638,1912,6.88633340778242,1684,,0.0,705684,817
2014-02-06,,,2277,,,,0.0,80040.0,1.182,2541,13.0919073079267,2269,,0.0,868338,820
2014-02-07,,,2174,,,,19910.81,42044.0,1.599,2581,17.2681276687936,2165,,0.001,779152,493
2014-02-08,,,3110,,,,146969.48,78780.0,2.15800691,4760,18.1526187690417,3094,,0.001,1313248,951
2014-02-09,,,1318,,,,219848.4,32240.0,1.182,1865,49.5712549657441,1297,,0.001,766208,728
2014-02-10,,,321,,,,224963.52,2400.0,0.482,598,94.4437462187788,303,,0.001,307518,96
2014-02-11,,,2016,,,,285104.11,32159.0,1.67606502,2576,37.7281167035924,2004,,0.001,964971,613
2014-02-12,,,2698,,,,320453.64,32235.0,2.30654024,3429,34.341398195111,2684,,0.001,939719,567
2014-02-13,,,3421,,,,323076.4,33849.0,3.35501,4237,31.229888815724,3407,,0.001,1104139,575
2014-02-14,53161.409128842985,31434.875355965105,3663,705486.8534773169,0.213899,15421.999999999998,340084.35,33235.0,3.7390351600000002,4558,31.4530138955507,3644,7.497960353641029,0.001,1241911,565
2014-02-15,78550.2272195603,54982.05727697249,3236,1100630.5677290265,0.331111,21119.0,360501.99,30944.0,5.23855816,3916,38.0124093594692,3206,11.09550283636454,0.001,1337727,596
2014-02-16,82677.65100687888,49051.506494971785,2766,1091569.1240761126,0.32584,28017.0,375040.71,20713.0,2.47301,3858,60.0304840003696,2746,7.823581320000001,0.001,1115416,588
2014-02-17,325760.2841127423,272593.18846882397,2631,1363387.1131779312,0.406039,178618.0,694892.2,15940.0,2.82708248,3608,87.5899947219461,2571,7.79832111940101,0.001,1755856,599
2014-02-18,846556.542731382,711897.4261109665,2551,3965447.865384615,1.18,160779.0,812821.78,13548.0,2.3635103,3724,137.328598112553,2487,21.7884519168,0.001,1354561,579
2014-02-19,199690.73123506003,173067.6890896408,2354,3528852.2344360463,1.04,60551.0,813951.56,13647.0,2.01676346,3263,129.01187847751,2315,17.415379384,0.001,908175,577
2014-02-20,256291.00132236697,231518.13885130102,2058,3207708.538369811,0.941944,93281.0,872451.7,13649.0,1.96045798,3006,149.531457366914,2022,16.614652797182,0.001,856185,585
2014-02-21,116947.4181988875,100631.6505546135,2086,3586556.548672567,1.05,83008.0,955405.87,13145.0,1.7273869,3175,185.359284583975,2046,17.442085668000004,0.001,952680,581
2014-02-22,376515.8820427536,354267.66434933443,2308,3851624.0000000005,1.12,101024.0,1040743.4,12638.0,1.7293708300000001,3435,226.250231567446,2256,16.981733216000002,0.001,898532,575
2014-02-23,426748.711727014,396906.90690412995,2275,3965893.9999999995,1.15,115234.0,1194849.73,12845.0,1.84767328,3737,189.637526272023,2211,19.379345888,0.001,1200378,565
2014-02-24,1248609.5365120124,976543.2154495659,2327,4080754.5524840746,1.18,109256.0,1172984.59,12904.0,3.3529301300000003,4079,215.154370414917,2219,23.5618019132,0.001,1448743,583
2014-02-25,771487.2993431361,489189.6812938335,2203,2913510.7194098663,0.839383,69493.0,1228632.55,12683.0,1.7752096,3498,182.643547772163,2126,14.26390796738606,0.001,1028023,557
2014-02-26,697623.3067772086,395891.9742460457,1991,2161386.7045432166,0.620399,49321.0,1462999.67,12851.0,2.51096324,3101,167.891674766457,1943,10.426393469739782,0.001,953617,556
2014-02-27,353628.0688620731,230317.70245630413,1748,2156608.8133292436,0.616643,15147.999999999998,1559348.23,13735.0,2.10231798,2742,138.422505216491,1704,10.366179649899461,0.001,770854,581
2014-02-28,202777.49350785266,192159.61074978704,1697,2172188.825175562,0.618662,60516.99999999999,1602059.93,13530.0,1.5122917900000001,2706,145.006994461203,1662,10.315005974442622,0.001,926064,579
2014-03-01,404139.48992932116,305544.73006477696,2202,1937041.3321925187,0.549616,252311.0,1751064.9,13223.0,2.61194146,3590,189.581721695156,2133,10.20466529940768,0.001,1280647,588
2014-03-02,1101462.9137244413,455618.00816524617,2373,3305853.7763417475,0.936036,148259.0,1952387.39,12131.0,2.7222833300000002,3770,258.850429990931,2346,14.8064500997478,0.001,1299194,566
2014-03-03,315294.760756712,285599.97269462975,2641,3644010.611570248,1.03,271197.0,2045490.03,12409.0,2.97333854,4247,276.655250390926,2573,16.480228505499998,0.001,1400701,585
2014-03-04,302910.7232774194,257134.5666823263,2250,4309158.610591591,1.21,90550.0,2073951.28,12457.0,3.05792366,3669,250.68421157505,2247,18.3932017357,0.001,1250881,575
2014-03-05,650713.3591957018,449368.50158300827,2319,3533872.288054369,0.987192,93138.0,2276460.66,11960.0,2.50435306,3694,278.858864510979,2338,15.766115615152561,0.001,1351719,563
2014-03-06,665765.2243093861,240298.2066221781,2342,3703491.5428571426,1.03,68896.0,2312007.09,12374.0,2.7824302800000003,3635,262.767493448408,2316,16.0729231322,0.001,1025556,576
2014-03-07,652222.8878236641,420327.51640532265,2192,3813086.277440108,1.06,112877.0,2336144.16,12112.0,3.3592683500000002,3411,263.214827579853,2261,15.5532047714,0.001,1018578,564
2014-03-08,220048.70157998876,197983.1679739016,2169,3291918.557841525,0.911867,70281.0,2413177.57,12289.0,2.22247301,3441,281.527891953658,2145,14.3465650026457,0.001,1065842,582
2014-03-09,77370.46831745941,58829.47270244232,2155,3307774.953398995,0.913189,48781.0,2421663.52,12138.0,2.21135685,3498,309.735511056357,2141,12.625741662493851,0.001,1072011,584
2014-03-10,216479.36999669948,202199.94487063325,1964,3169189.833758713,0.872114,45946.0,2409521.69,11735.0,1.82931886,3158,334.730208781604,1998,13.324454899730059,0.001,1011261,570
2014-03-11,208603.18403888535,192499.5000909337,2194,2944380.1670705713,0.807598,42234.0,2448380.49,11890.0,2.22846024,3444,293.929571710817,2206,11.677175251173301,0.001,1056566,566
2014-03-12,87125.93134168675,74635.97047432417,2117,3248816.754605421,0.888208,39530.0,2460015.43,11872.0,2.31378429,3434,340.071504459295,2195,11.473076219892,0.001,1119413,579
2014-03-13,101922.90366765627,91789.68051305976,2135,3175227.578629749,0.865569,31123.0,2491415.55,12427.0,2.05663358,3442,293.287448579966,2184,11.426931856561442,0.001,1037388,591
2014-03-14,76438.65720241347,62949.796245465244,2392,3057146.206860001,0.83338,26274.0,2496499.83,11931.0,2.29987776,3695,291.358632566139,2344,11.252237940039599,0.001,1129213,568
2014-03-15,42459.8669292737,34114.309071529664,1846,2999795.1947067743,0.812077,30817.000000000004,2502309.79,11900.0,1.97059852,3052,293.202281236421,1805,10.977706195315442,0.001,1005001,566
2014-03-16,237175.6617078162,105728.8474353183,1951,2934103.6663379087,0.791673,39429.0,2513088.55,12227.0,2.13373561,3212,285.78135857608,1909,11.757780081488159,0.001,1072794,578
2014-03-17,181156.6579442812,132390.66964800947,1845,2872259.52070595,0.772496,34416.0,2515091.77,11948.0,2.32474566,3020,299.014854056274,1798,11.36706853653792,0.001,985301,570
2014-03-18,161130.36776900085,115500.56072619268,1936,2906806.285957379,0.77927,39252.0,2522246.04,12033.0,1.79335379,3065,297.479179983496,1888,11.4661288365857,0.001,1043850,574
2014-03-19,160356.1323791515,126742.22441238277,1891,2809860.8376658745,0.750897,35742.0,2522318.28,11841.0,1.69461168,3016,314.660963770684,1850,10.520067247831891,0.001,1084036,571
2014-03-20,339225.30984051846,274867.1278648132,1757,2789965.6037148545,0.743256,42290.0,2486898.08,11703.0,1.41302348,2879,324.071428335484,1703,10.605311328664081,0.001,923424,568
