date,txVolume(USD),adjustedTxVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),realizedCap(USD),generatedCoins,fees,activeAddresses,averageDifficulty,paymentCount,medianTxValue(USD),medianFee,blockSize,blockCount
2016-02-08,,,1705,,,,0.0,1687121.7708312,84.46512,7235,35675.0194461916,1820,,0.05,791498,331
2016-02-09,,,8580,,,,0.0,7412.56853176,426.9427,15783,148829.140604156,4757,,0.05,2807946,359
2016-02-10,124724.00242458557,110402.46619089248,4053,0.0,0.953412,127148.99999999999,0.0,3280.34443101,235.42523003,5469,228174.595912554,1875,17.797814677283764,0.05,1317896,161
2016-02-11,69927.11658915007,59750.273992088645,6668,0.0,0.990628,44529.0,0.0,6006.83677288,369.59019,6910,149393.504022381,3683,17.9143564683896,0.060000000000000005,2220122,292
2016-02-12,90314.9033558332,73994.8345859434,3854,0.0,1.22,41599.0,0.0,7898.0552754400005,203.5009,6857,142203.528110116,2219,21.6370427468,0.05,1390380,371
2016-02-13,49414.25228026781,37732.291150363,1304,0.0,1.31,37094.0,0.0,6180.523341040001,64.88115,3004,215942.48707084,639,22.8669450575,0.05,526738,286
2016-02-14,59569.9486903363,52385.8838864113,1687,0.0,1.13,15138.0,0.0,5099.275816320001,97.94890000000001,3985,225406.918173243,845,21.0942704574,0.05,824362,238
2016-02-15,62681.264847018996,51318.136496825,1848,0.0,1.18,45922.0,0.0,5358.33006,100.9396,3650,176440.887917484,1333,22.0276452564,0.05,735240,250
2016-02-16,52903.171353632,43262.36047098241,1957,0.0,1.36,59303.0,0.0,8515.919512800001,109.72655,3014,160498.812249773,1609,23.551683461600003,0.05,829088,395
2016-02-17,42094.6245036684,33075.4043582992,1452,0.0,1.48,41295.0,0.0,6082.28557648,75.7706,3413,251283.064279077,686,24.5742952836,0.05,598848,282
2016-02-18,32299.943832685003,23600.437534691002,1236,0.0,1.58,31431.0,0.0,5833.6715828,62.33965,2568,275746.534238564,568,26.297527189000004,0.05,495654,270
2016-02-19,27812.7515834311,20927.7747895931,970,0.0,1.43,18000.0,0.0,5889.38944008,50.29595,2261,253105.096076938,532,23.5952650362,0.05,439069,272
2016-02-20,107357.187584749,96436.81882485049,5184,0.0,1.45,23922.000000000004,0.0,6396.827534720001,110.6219,6611,220949.518225201,4557,25.616137044499997,0.01,1960729,298
2016-02-21,38238.113980033,29225.9937564795,2977,0.0,1.55,27627.0,0.0,6808.72100669,151.2717,7603,246628.295112913,624,26.934224480999998,0.05,1126081,311
2016-02-22,274919.8771392744,226489.149048734,3333,1552418.6436781608,1.66,61298.0,0.0,6706.36962645,184.43445,10371,259035.408179392,570,29.9817909012,0.05,1734508,236
2016-02-23,492949.89583042916,212585.12565416642,5539,1642815.989528796,1.74,90550.0,0.0,8192.11293721,281.4661,17464,213318.348511174,705,28.0158218322,0.05,2481311,291
2016-02-24,335873.0776850188,211290.6929270002,5946,1824929.172284644,1.91,133621.0,0.0,10253.6407022,301.89140401000003,18857,243747.169014844,1205,31.4626432328,0.05,2716204,349
2016-02-25,819101.4637948767,558557.2707592438,2784,2575458.539748954,2.67,138725.0,0.0,8462.28408567,156.231951,7902,302787.204074434,739,42.089871402600004,0.05,1798238,283
2016-02-26,382368.98166517174,355987.87218393484,2069,2358286.0,2.43,48828.99999999999,0.0,7763.59092024,107.5343,7346,306046.977308553,617,37.511906014800005,0.05,1337046,261
2016-02-27,340850.40912421833,318130.1031369249,1426,2375569.1198156686,2.43,46765.0,0.0,7884.78790149,78.02550000000001,6165,269200.256402956,731,36.61845766020001,0.05,1173992,261
2016-02-28,144384.1893131785,51400.6143347025,2333,2142948.625,2.17,29047.0,0.0,9515.78535448,120.852196,10258,253340.2539789,873,32.701358346300005,0.05,1670609,319
2016-02-29,81284.14943689601,68189.19050746881,2578,2235377.5533980583,2.24,39208.0,0.0,8362.15700931,112.10443004,8778,263915.4903619,1715,34.8633527872,0.05,1694038,283
2016-03-01,397948.63361504924,177720.98978119,2589,2076250.046511628,2.06,69219.0,0.0,8787.73083042,119.92925001,8330,267529.830302503,1624,32.809920904200006,0.05,1779293,296
2016-03-02,292328.486770072,196756.033750828,1187,1719714.0,1.7,40583.0,0.0,7769.34821852,67.35760003,5446,271623.747905259,968,27.98620087,0.05,1116834,261
2016-03-03,5726621.147318916,2842244.706158907,3062,1738580.2298850573,1.7,37621.0,0.0,9614.88521881,144.82320103,10602,263438.238540392,1555,29.546316659,0.05,1997527,322
2016-03-04,806516.6506946436,755685.5163268233,1225,1770680.6896551724,1.72,17233.0,0.0,7838.469114,47.45740002,4819,268855.750757206,1113,28.905281997200003,0.05,1027372,260
2016-03-05,192279.9131275824,53805.5435818926,2532,1814129.1479289941,1.74,27323.0,0.0,8960.768709850001,136.877051,11988,256794.912212925,753,28.902962572200003,0.05,1959833,298
2016-03-06,353734.8213612159,149647.9043327544,2292,1795345.0049261085,1.71,37126.0,0.0,8570.88071123,104.28184565000001,9077,255788.69168174,1198,28.027500808499997,0.05,1571610,286
2016-03-07,466304.0261289876,194499.36923322003,2055,2160351.5,2.04,34234.0,0.0,8595.95733679,90.68955004,7458,265021.365183431,1507,34.0195418604,0.05,1496456,288
2016-03-08,587930.2976564311,292684.3429683509,2534,2309912.8454935625,2.17,29222.0,0.0,8671.55253374,99.99215002,7493,269827.064221034,1074,37.1419098967,0.05,1678260,289
2016-03-09,884200.4392104346,354188.39028251916,1538,2481771.7862903224,2.31,82285.99999999999,0.0,8084.26728006,55.064050120000005,5794,257551.220982332,1102,37.5443721576,0.02,1220647,272
2016-03-10,738819.0646538872,706243.0979975808,2712,2689892.4482758623,2.48,35050.0,0.0,10057.99738981,97.99185007,12873,259474.039149407,1384,37.6691141464,0.022000000000000002,2193468,343
2016-03-11,2329236.8550216886,1142146.8065348743,1008,2529707.6999999997,2.32,51701.0,0.0,7683.754717440001,40.722717,5565,314383.382514012,710,35.886547361599995,0.05,1092775,257
2016-03-12,346860.29489143647,154885.6231453439,2676,2523716.5964912283,2.29,51006.00000000001,0.0,8395.93863181,103.24930101,10736,296778.001278202,1353,37.3519059484,0.05,1924459,281
2016-03-13,68429.5548844536,44936.28194032079,1523,2530662.050420168,2.28,22474.0,0.0,8065.17039583,67.95180007,9172,278768.674280844,1088,39.1942696164,0.05,1552478,272
2016-03-14,1077866.0584335222,550811.2964232144,1964,2663321.297520661,2.38,48534.0,0.0,8917.32209986,76.88260111,7972,257883.887306825,681,37.473431724399994,0.05,1451199,301
2016-03-15,484153.879525443,226624.2347985939,2749,2735845.992277993,2.43,41795.0,0.0,9690.23800373,93.90068602,10545,271195.057850421,1245,36.2258067177,0.015000000000000001,2074621,322
