date,txVolume(USD),adjustedTxVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),realizedCap(USD),generatedCoins,fees,activeAddresses,averageDifficulty,paymentCount,medianTxValue(USD),medianFee,blockSize,blockCount
2014-01-10,,,0,,,,0.0,4248000.0,0.0,59,0.000244140625,0,,,11218,59
2014-01-11,,,6,,,,0.0,90576000.0,0.54,290,0.000262558415777992,6,,0.0,274266,1258
2014-01-12,,,2365,,,,0.0,31184000.0,3.66,3700,0.927893755831563,2345,,0.0,891579,1522
2014-01-13,,,6286,,,,0.0,22656000.0,5.00000002,7175,4.57664853246637,6263,,0.0,1892876,1416
2014-01-14,,,8606,,,,0.0,23552000.0,8.76,9611,6.17734192020632,8562,,0.0,2522440,1472
2014-01-15,,,6187,,,,0.0,12160000.0,10.3390368,7123,8.83333755942676,6158,,0.0,1957150,1488
2014-01-16,,,5629,,,,0.0,11272000.0,10.8201,6437,10.1396201509929,5599,,0.0,1810118,1409
2014-01-17,,,6250,,,,0.0,11920000.0,19.0401,7268,12.3599573990923,6237,,0.0,2028079,1490
2014-01-18,,,9221,,,,0.0,11312000.0,21.50492317,10274,15.2810158608933,9196,,0.0,2627194,1414
2014-01-19,,,14605,,,,0.0,12120000.0,72.02139797,15987,18.6538315189094,14509,,0.0,4499740,1515
2014-01-20,,,12180,,,,0.0,10440000.0,40.97361633,13750,19.1711254107483,12053,,0.0,4088364,1305
2014-01-21,,,13006,,,,0.0,11400000.0,38.73024572,14538,10.0829886954412,12944,,0.0,4034164,1425
2014-01-22,,,14876,,,,0.0,11448000.0,46.92,16061,10.7719748353425,14827,,0.0,4443950,1431
2014-01-23,,,16246,,,,0.0,12064000.0,60.50298813,17691,14.1491489581915,16131,,0.0,5459267,1508
2014-01-24,,,14846,,,,0.0,11448000.0,52.31190942,16323,23.5701781383794,14759,,0.0,4884995,1431
2014-01-25,,,13893,,,,0.0,11728000.0,50.743199520000005,15555,22.377470008461,13823,,0.0,4601741,1466
2014-01-26,,,14273,,,,0.0,11024000.0,49.36861888,15770,22.8990186822412,14192,,0.0,4635464,1378
2014-01-27,,,12040,,,,0.0,11504000.0,47.12460878,13443,18.2562338666535,11996,,0.0,3729389,1438
2014-01-28,,,9323,,,,0.0,11120000.0,42.88065545,10779,20.2543668063892,9229,,0.0,3244427,1390
2014-01-29,,,8935,,,,0.0,11856000.0,24.90907026,10397,18.0347625219729,8878,,0.0,3041331,1482
2014-01-30,,,6422,,,,0.0,10776000.0,23.99996983,7662,17.8169740594089,6347,,0.0,2488166,1347
