date,txVolume(USD),adjustedTxVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),realizedCap(USD),generatedCoins,fees,activeAddresses,averageDifficulty,paymentCount,medianTxValue(USD),medianFee,blockSize,blockCount
2013-12-08,,,4665,,,,0.0,1240744202.0,4245.6959,6990,0.494418205329848,4655,,1.0,1707027,2486
2013-12-09,,,9339,,,,0.0,761942868.0,7641.85360106,10863,2.37690357416775,9367,,1.0,2759110,1526
2013-12-10,,,9450,,,,0.0,710930177.0,5478.65050542,12132,3.36173338858855,9561,,1.0,2971715,1417
2013-12-11,,,28951,,,,0.0,770966106.0,2863.19016957,43044,5.09298051533336,28074,,0.0001,8431778,1575
2013-12-12,,,44036,,,,0.0,698818257.0,954.04911307,61432,7.2774356145889,40245,,0.0001,13549784,1460
2013-12-13,,,50657,,,,0.0,787422756.0,2052.73151398,64759,9.75423077792435,48925,,0.0001,14896480,1590
2013-12-14,,,80424,,,,0.0,776751325.0,1724.45333574,98292,17.8385246487139,78988,,0.0001,24502291,1555
2013-12-15,15152060.78867321,2621350.032585595,128955,3677207.0469798665,0.000559,0.0,0.0,834560247.0,399098.33602844,157712,36.8633035943708,124968,3.62134450722837,0.0001,40722710,1670
2013-12-16,21465162.907144807,784465.9633753585,94694,2201055.6829268294,0.000299,0.0,0.0,791014644.0,3890423.27864672,127087,81.5244964710672,89664,0.30870794695,0.0001,30370178,1545
2013-12-17,2575472.1562002203,648366.7801720093,92528,1669611.2118959108,0.000207,0.0,0.0,707277501.0,374.49340192,131166,107.799270953519,90932,0.24463057996979998,0.0001,26736025,1444
2013-12-18,3789441.18208407,1052711.3151482767,95216,2352065.6933701653,0.000267,0.0,0.0,739786847.0,5188.43440385,134838,135.952246647061,94616,1.22310146754027,0.0001,29189764,1493
2013-12-19,10919230.699903477,2100675.5407175366,192523,3790347.594664372,0.000395,0.0,0.0,771582898.0,4689.41557583,248993,215.996910788667,198885,3.3455629617500002,0.0001,60808521,1581
2013-12-20,50441971.013759345,3403902.1873011244,199950,11826700.555397727,0.001143,0.0,0.0,758765431.0,1412.57905471,255225,332.268261524573,314334,30.73617786653199,0.0001,62215562,1494
2013-12-21,27934092.8902176,2339533.421538218,167414,7746754.314720813,0.0007,0.0,0.0,726686334.0,1842.71322368,226438,349.595069608834,166880,57.317354069626006,0.0001,49588061,1418
2013-12-22,14860540.091523597,1252195.4600152308,158224,4600880.863492063,0.000391,0.0,0.0,700004797.0,1341.83389603,210197,327.980727774866,157774,43.59528155556362,0.0001,45628001,1393
2013-12-23,12741031.267385125,1007073.925425902,149008,3917561.4390243907,0.000313,0.0,0.0,734348244.0,1234.36398376,197803,321.19565515417,156423,39.207708784621644,0.0001,41837129,1480
2013-12-24,14600987.681335434,1918051.4092571165,126443,5953603.644314869,0.00045,0.0,0.0,727433683.0,1089.82450371,176977,398.555517275934,122691,45.0,0.0001,38892970,1458
2013-12-25,24691477.81221833,2495243.498969838,131133,9576516.75979557,0.000686,0.0,0.0,730638124.0,855.74549395,244147,441.602329732199,194036,86.72731959059378,0.0001,39518980,1470
2013-12-26,18865055.903974906,1703473.0548219332,125828,8631118.186046511,0.000588,0.0,0.0,713324497.0,14802.29089914,286503,431.825575617995,1097171,64.3782339424308,0.0001,68392091,1429
2013-12-27,19117491.397790905,1891399.3943578112,133542,9260559.793103449,0.000603,477422.0,0.0,683197526.0,47260.01284438,173620,426.648824875547,131932,42.98786870951368,0.0001,37771678,1373
2013-12-28,16034986.498339573,1671592.7499691024,113776,8418418.466230938,0.000524,341581.0,0.0,718112583.0,38676.29200181,149526,437.552363115589,112068,79.29723085618801,0.0001,31799281,1444
2013-12-29,13280687.822318448,1511904.082085266,116612,7718799.786343613,0.000459,360974.0,0.0,717340085.0,37271.63104249,160057,385.165456286842,126795,65.57974653951882,0.0001,33037206,1423
2013-12-30,14113717.685644131,1600446.0885754717,122836,7899723.519230769,0.000452,276660.0,0.0,708484813.0,58368.51241573,157988,364.304787636885,120288,69.74207741195575,0.0001,33722860,1412
2013-12-31,12408014.506325409,1601593.2455569315,108639,7616771.236966825,0.000418,273400.0,0.0,703929399.0,53396.48107472,141755,345.960671629448,108630,73.26827256339668,0.0001,30123830,1422
2014-01-01,13560793.973272279,1638544.1146141698,110500,8012970.71590909,0.000423,307917.0,0.0,743166326.0,56073.071405660005,142092,357.264060712663,107165,68.3418674839301,0.01013265,30408529,1453
2014-01-02,13560046.066020265,2064233.9903943653,112216,8821599.668555241,0.000449,318037.0,0.0,691044881.0,68795.79339604,145633,360.239390928392,109122,70.07375097986927,1.0,32327474,1416
2014-01-03,11918570.057597378,2123150.765780449,111309,7179985.049504951,0.000353,303106.0,0.0,699428419.0,62019.13783282,144028,330.871448709859,106927,59.730557276318436,1.0,31682793,1439
2014-01-04,9983915.159272127,1480312.1014785871,111888,6408011.495016611,0.000305,313907.0,0.0,678663575.0,64029.344483810004,146684,298.350095170874,109666,56.32574223335664,1.0,33116011,1406
2014-01-05,9446157.166711083,1350326.5928673828,92521,6513259.040590406,0.0003,245107.0,0.0,707058677.0,60034.45484618,121672,279.247259982159,90219,70.84307650021499,1.0,26818969,1404
2014-01-06,7611900.33878019,1010288.5888497784,93503,6069520.047058823,0.000271,265529.0,0.0,704199226.0,63194.5514422,120514,269.962668554052,90308,55.45837519349079,1.0,26852610,1375
2014-01-07,7442420.767362581,1013528.9727256991,93175,5891285.4,0.000255,212892.0,0.0,711509001.0,62060.104142050004,120383,258.509994476003,90703,52.48112281255051,1.0,26232959,1429
2014-01-08,6140822.574043965,740196.5163899205,86764,5303932.74122807,0.000223,174256.0,0.0,684762013.0,53667.00910112,111999,256.55162174935,85851,47.52647770905375,1.0,24665550,1391
2014-01-09,7555226.817994423,899196.0792486098,91501,5569158.94308943,0.000227,314644.0,0.0,743974639.0,68836.34716115,119043,267.258567395939,89663,48.23564211623,1.0,28635723,1515
2014-01-10,7265708.695888137,890486.2333875569,96897,6226102.375335121,0.000246,570553.0,0.0,703304146.0,75218.04777811,124631,326.237358198449,94598,43.15254922957987,1.0,28482139,1456
2014-01-11,11566512.379362019,1763427.6842560275,96967,9706663.86797753,0.000373,986660.0,0.0,710307257.0,69939.94576026,127327,406.816929857199,95049,72.1876940226754,1.0,30035935,1450
2014-01-12,11889414.43984265,1226685.7595329888,89093,9581000.324637681,0.000359,296158.0,0.0,677405238.0,104057.26646425,115599,408.277388593779,88329,73.68513939515144,1.0,25615290,1343
2014-01-13,11584689.635091027,1466346.3566479788,93710,9406694.848920865,0.000344,391890.0,0.0,716739626.0,115912.41799112,122339,371.906402257284,92089,71.91298117887553,1.0,28281716,1423
2014-01-14,9503947.012066852,1227325.084850711,100358,7807964.087719297,0.000278,577691.0,0.0,734150583.0,112231.80888472,129205,363.60050684976,98119,59.672742171799364,1.0,28718059,1485
2014-01-15,19502898.48540013,1580807.2304352848,99304,9880432.997578692,0.000342,1259190.0,0.0,756097987.0,120506.90401528,135236,445.970954332996,96899,74.677564424628,1.0,30903234,1496
2014-01-16,18126446.995415993,1491267.599392563,88080,12228751.463541666,0.000413,483679.00000000006,0.0,704298657.0,99756.37578988,118916,470.052980485527,84269,90.33435756012892,1.0,25031661,1410
2014-01-17,17534903.368566204,1479335.1501364512,113775,11623381.127710843,0.000384,716054.0,0.0,759774182.0,203021.88116888,145967,509.30947718576,109876,85.94619494681857,1.0,31541054,1467
2014-01-18,18512453.99811677,2397332.008875724,113071,12927221.931972789,0.000416,2998020.0,0.0,738702172.0,190861.82260902,149155,596.824570439361,106806,80.347934701424,1.0,36283635,1460
2014-01-19,33660983.553909644,3465257.315208219,125425,18702623.13916786,0.000588,3509460.0,0.0,740013410.0,206182.69170973002,164827,689.646265723024,117892,109.9732728220476,1.0,38312760,1492
