date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses,medianTxValue(USD)
2017-12-01,,6483,,,,5635,
2017-12-02,,1036,,,,729,
2017-12-03,3501682.605972791,1177,0.0,0.260317,1142060.0,894,363.09249445300003
2017-12-04,55948406.477922924,763,0.0,0.27027,592937.0,619,751.3506
2017-12-05,2037589.4976380593,504,0.0,0.243052,461626.0,432,550.790831488
2017-12-06,765500.110353503,305,54590040.61731573,0.228964,327862.0,262,634.0664670319171
2017-12-07,810559.4793448256,387,55658886.66927831,0.233447,431774.0,313,501.91105
2017-12-08,3847611.7319240845,1243,84842446.9874892,0.35585,1560460.0,990,462.605
2017-12-09,2804474.3897420685,908,105555591.76749587,0.442726,758682.0,761,464.8623
2017-12-10,1373845.1490411856,728,102495923.20163533,0.429893,443550.0,660,429.89300000000003
2017-12-11,2102414.5424864,789,95202833.87753119,0.399304,621039.0,696,399.304
2017-12-12,2232156.4280982935,751,90699758.81478882,0.380417,985551.0000000001,640,397.1467624792229
2017-12-13,2294341.292412764,823,109764453.89068118,0.460379,736731.0,718,453.85727108599997
2017-12-14,1270327.4671517073,562,103780301.68396759,0.43528,539000.0,489,436.80348
2017-12-15,1668080.3535122965,799,102685944.89473836,0.43069,499531.0,689,412.38257128849006
2017-12-16,1947048.6800232704,789,99243847.72653084,0.416253,591577.0,666,363.388869
2017-12-17,5423979.365066338,1914,130848106.36791855,0.548809,2841200.0,1486,413.798693146
2017-12-18,7468801.704835406,2655,174528485.6401856,0.734299,4383170.0,2004,451.593885
2017-12-19,15187681.637595354,2467,278655383.04950494,1.17,4642800.0,1992,747.4726414371937
2017-12-20,9851310.549779935,1323,235378245.35821027,0.987234,2862170.0,1171,971.6966089270979
2017-12-21,5118431.525949519,1177,233773665.4725141,0.980504,1137010.0,1120,392.20552201600003
2017-12-22,6713403.8645689385,1206,226957898.37721053,0.951917,1351870.0,1092,606.80028174111
2017-12-23,4870315.614006792,1285,191197705.94968018,0.80193,2173300.0,1109,508.2484689265574
2017-12-24,2983073.867634329,906,208610614.01627424,0.874964,1570190.0,749,651.84818
2017-12-25,3218056.387062541,850,204693341.79936212,0.858534,1934050.0000000002,717,535.6342113960001
2017-12-26,5993028.266392723,996,201839907.7687302,0.846566,2233780.0,901,660.3214800000001
2017-12-27,6155804.132867082,1075,219876765.71454316,0.922217,2234530.0,968,525.66369
2017-12-28,4007079.68371206,1061,202336302.69863176,0.848648,2505870.0,902,643.187773256
2017-12-29,6126810.075024927,1312,215223485.0328898,0.9027,3421320.0,1136,579.5206719299999
2017-12-30,4636804.035739038,998,214315574.52078342,0.898892,2259960.0,889,494.98386872
2017-12-31,6455366.4942990905,1866,202499058.8452138,0.847427,6452750.0,1537,593.1989
