date,value
2012-12-10,99.0282
2012-12-11,98.9237
2012-12-12,98.8642
2012-12-13,98.8607
2012-12-14,98.8094
2012-12-15,98.75982499999999
2012-12-16,98.71025
2012-12-17,98.660675
2012-12-18,98.6111
2012-12-19,98.5801
2012-12-20,98.6884
2012-12-21,99.0366
2012-12-22,99.05898
2012-12-23,99.08136
2012-12-24,99.10374
2012-12-25,99.12612
2012-12-26,99.1485
2012-12-27,99.1852
2012-12-28,99.1204
2012-12-29,99.05158
2012-12-30,98.98276
2012-12-31,98.91394000000001
2013-01-01,98.84512000000001
2013-01-02,98.7763
2013-01-03,98.883
2013-01-04,99.1861
2013-01-05,99.17165
2013-01-06,99.15719999999999
2013-01-07,99.14274999999999
2013-01-08,99.1283
2013-01-09,99.0741
2013-01-10,98.7107
2013-01-11,98.6
2013-01-12,98.5926
2013-01-13,98.5852
2013-01-14,98.5778
2013-01-15,98.5704
2013-01-16,98.6347
2013-01-17,98.5721
2013-01-18,98.8909
2013-01-19,98.8713
2013-01-20,98.8517
2013-01-21,98.8321
2013-01-22,98.8125
2013-01-23,98.8521
2013-01-24,98.9207
2013-01-25,99.1051
2013-01-26,99.07352499999999
2013-01-27,99.04195
2013-01-28,99.01037500000001
2013-01-29,98.9788
2013-01-30,98.9258
2013-01-31,98.8594
2013-02-01,98.7576
2013-02-02,98.80284999999999
2013-02-03,98.84809999999999
2013-02-04,98.89335
2013-02-05,98.9386
2013-02-06,99.0898
2013-02-07,99.37
2013-02-08,99.3882
2013-02-09,99.410375
2013-02-10,99.43254999999999
2013-02-11,99.454725
2013-02-12,99.4769
2013-02-13,99.4542
2013-02-14,99.5477
2013-02-15,99.6255
2013-02-16,99.638525
2013-02-17,99.65155
2013-02-18,99.664575
2013-02-19,99.6776
2013-02-20,99.8127
2013-02-21,100.1986
2013-02-22,100.2648
2013-02-23,100.335825
2013-02-24,100.40684999999999
2013-02-25,100.477875
2013-02-26,100.5489
2013-02-27,100.3534
2013-02-28,100.4037
2013-03-01,100.7206
2013-03-02,100.69107500000001
2013-03-03,100.66155
2013-03-04,100.632025
2013-03-05,100.6025
2013-03-06,100.6976
2013-03-07,100.6519
2013-03-08,100.726
2013-03-09,100.6654
2013-03-10,100.6048
2013-03-11,100.54419999999999
2013-03-12,100.4836
2013-03-13,100.5745
2013-03-14,100.5953
2013-03-15,100.2657
2013-03-16,100.365025
2013-03-17,100.46435
2013-03-18,100.56367499999999
2013-03-19,100.663
2013-03-20,100.5479
2013-03-21,100.479
2013-03-22,100.3575
2013-03-23,100.36135
2013-03-24,100.3652
2013-03-25,100.36905
2013-03-26,100.3729
2013-03-27,100.5942
2013-03-28,100.4108
2013-03-29,100.4483
2013-03-30,100.40665
2013-03-31,100.36500000000001
2013-04-01,100.32335
2013-04-02,100.2817
2013-04-03,100.248
2013-04-04,100.5591
2013-04-05,100.2798
2013-04-06,100.2436
2013-04-07,100.2074
2013-04-08,100.1712
2013-04-09,100.135
2013-04-10,100.1178
2013-04-11,99.8652
2013-04-12,99.9601
2013-04-13,99.961125
2013-04-14,99.96215000000001
2013-04-15,99.963175
2013-04-16,99.9642
2013-04-17,100.2526
2013-04-18,100.2978
2013-04-19,100.3347
2013-04-20,100.378625
2013-04-21,100.42255
2013-04-22,100.466475
2013-04-23,100.5104
2013-04-24,100.5763
2013-04-25,100.1607
2013-04-26,100.0199
2013-04-27,99.89015
2013-04-28,99.7604
2013-04-29,99.63065
2013-04-30,99.5009
2013-05-01,99.567
2013-05-02,99.7403
2013-05-03,99.6308
2013-05-04,99.627625
2013-05-05,99.62445
2013-05-06,99.621275
2013-05-07,99.6181
2013-05-08,99.2661
2013-05-09,99.3776
2013-05-10,100.3464
2013-05-11,100.37515
2013-05-12,100.4039
2013-05-13,100.43265
2013-05-14,100.4614
2013-05-15,100.8695
2013-05-16,100.7747
2013-05-17,101.2454
2013-05-18,101.19075000000001
2013-05-19,101.1361
2013-05-20,101.08144999999999
2013-05-21,101.0268
2013-05-22,101.3534
2013-05-23,101.282
2013-05-24,101.3433
2013-05-25,101.417425
2013-05-26,101.49154999999999
2013-05-27,101.565675
2013-05-28,101.6398
2013-05-29,101.6022
2013-05-30,101.5142
2013-05-31,101.7132
2013-06-01,101.636025
2013-06-02,101.55885
2013-06-03,101.481675
2013-06-04,101.4045
2013-06-05,101.3749
2013-06-06,100.955
2013-06-07,100.7412
2013-06-08,100.79775000000001
2013-06-09,100.8543
2013-06-10,100.91085
2013-06-11,100.9674
2013-06-12,100.6378
2013-06-13,100.5
2013-06-14,100.3233
2013-06-15,100.41567500000001
2013-06-16,100.50805
2013-06-17,100.600425
2013-06-18,100.6928
2013-06-19,100.6282
2013-06-20,102.2948
2013-06-21,102.5873
2013-06-22,102.563125
2013-06-23,102.53895
2013-06-24,102.514775
2013-06-25,102.4906
2013-06-26,102.5513
2013-06-27,102.3894
2013-06-28,102.4225
2013-06-29,102.44385
2013-06-30,102.46520000000001
2013-07-01,102.48655000000001
2013-07-02,102.5079
2013-07-03,102.5932
2013-07-04,102.8766
2013-07-05,103.16
2013-07-06,103.1274
2013-07-07,103.09479999999999
2013-07-08,103.0622
2013-07-09,103.0296
2013-07-10,102.8456
2013-07-11,102.0439
2013-07-12,102.0998
2013-07-13,101.97732500000001
2013-07-14,101.85485
2013-07-15,101.73237499999999
2013-07-16,101.6099
2013-07-17,101.6333
2013-07-18,101.7916
2013-07-19,101.591
2013-07-20,101.51514999999999
2013-07-21,101.4393
2013-07-22,101.36345
2013-07-23,101.2876
2013-07-24,101.4498
2013-07-25,101.4295
2013-07-26,101.3113
2013-07-27,101.367875
2013-07-28,101.42445000000001
2013-07-29,101.481025
2013-07-30,101.5376
2013-07-31,101.7108
2013-08-01,101.9354
2013-08-02,101.7122
2013-08-03,101.64529999999999
2013-08-04,101.57839999999999
2013-08-05,101.5115
2013-08-06,101.4446
2013-08-07,101.3964
2013-08-08,100.9772
2013-08-09,100.9761
2013-08-10,101.1375
2013-08-11,101.2989
2013-08-12,101.4603
2013-08-13,101.6217
2013-08-14,101.5362
2013-08-15,101.6568
2013-08-16,101.5775
2013-08-17,101.616225
2013-08-18,101.65495
2013-08-19,101.693675
2013-08-20,101.7324
2013-08-21,102.2143
2013-08-22,102.4438
2013-08-23,102.1058
2013-08-24,102.22185
2013-08-25,102.33789999999999
2013-08-26,102.45394999999999
2013-08-27,102.57
2013-08-28,102.5811
2013-08-29,102.7917
2013-08-30,102.9049
2013-08-31,102.96045
2013-09-01,103.01599999999999
2013-09-02,103.07155
2013-09-03,103.1271
2013-09-04,102.7502
2013-09-05,103.0869
2013-09-06,102.4423
2013-09-07,102.3645
2013-09-08,102.2867
2013-09-09,102.2089
2013-09-10,102.1311
2013-09-11,101.906
2013-09-12,101.7781
2013-09-13,101.8566
2013-09-14,101.74334999999999
2013-09-15,101.6301
2013-09-16,101.51685
2013-09-17,101.4036
2013-09-18,101.4423
2013-09-19,100.5506
2013-09-20,100.7555
2013-09-21,100.80205
2013-09-22,100.8486
2013-09-23,100.89515
2013-09-24,100.9417
2013-09-25,100.952
2013-09-26,101.1841
2013-09-27,101.1642
2013-09-28,101.158725
2013-09-29,101.15325
2013-09-30,101.147775
2013-10-01,101.1423
2013-10-02,100.96
2013-10-03,100.93
2013-10-04,100.8166
2013-10-05,100.84575
2013-10-06,100.8749
2013-10-07,100.90405
2013-10-08,100.9332
2013-10-09,101.2422
2013-10-10,101.0073
2013-10-11,101.012
2013-10-12,100.97995
2013-10-13,100.9479
2013-10-14,100.91584999999999
2013-10-15,100.8838
2013-10-16,100.8033
2013-10-17,100.1519
2013-10-18,100.1196
2013-10-19,100.111425
2013-10-20,100.10325
2013-10-21,100.09507500000001
2013-10-22,100.0869
2013-10-23,100.1867
2013-10-24,100.2778
2013-10-25,100.2432
2013-10-26,100.280675
2013-10-27,100.31815
2013-10-28,100.355625
2013-10-29,100.3931
2013-10-30,100.3986
2013-10-31,100.8446
2013-11-01,101.2765
2013-11-02,101.29365
2013-11-03,101.3108
2013-11-04,101.32795
2013-11-05,101.3451
2013-11-06,101.2264
2013-11-07,101.5311
2013-11-08,101.7888
2013-11-09,101.81909999999999
2013-11-10,101.8494
2013-11-11,101.8797
2013-11-12,101.91
2013-11-13,101.639
2013-11-14,101.578
2013-11-15,101.4382
2013-11-16,101.381575
2013-11-17,101.32495
2013-11-18,101.26832499999999
2013-11-19,101.2117
2013-11-20,101.4142
2013-11-21,101.7334
2013-11-22,101.5837
2013-11-23,101.611325
2013-11-24,101.63895
2013-11-25,101.666575
2013-11-26,101.6942
2013-11-27,101.8721
2013-11-28,101.84725
2013-11-29,101.8224
2013-11-30,101.8703
2013-12-01,101.9182
2013-12-02,101.9661
2013-12-03,102.014
2013-12-04,102.0792
2013-12-05,101.6708
2013-12-06,101.5619
2013-12-07,101.49776
2013-12-08,101.43362
2013-12-09,101.36948
2013-12-10,101.30534
2013-12-11,101.2412
2013-12-12,101.5808
2013-12-13,101.5164
2013-12-14,101.501625
2013-12-15,101.48685
2013-12-16,101.472075
2013-12-17,101.4573
2013-12-18,101.5888
2013-12-19,101.9221
2013-12-20,101.9082
2013-12-21,101.89855
2013-12-22,101.8889
2013-12-23,101.87925
2013-12-24,101.8696
2013-12-25,101.9176
2013-12-26,101.9656
2013-12-27,101.8902
2013-12-28,101.853225
2013-12-29,101.81625
2013-12-30,101.779275
2013-12-31,101.7423
2014-01-01,101.8675
2014-01-02,101.9927
2014-01-03,102.037
2014-01-04,102.0831
2014-01-05,102.1292
2014-01-06,102.17530000000001
2014-01-07,102.2214
2014-01-08,102.3966
2014-01-09,102.5032
2014-01-10,102.1592
2014-01-11,102.16097500000001
2014-01-12,102.16275
2014-01-13,102.164525
2014-01-14,102.1663
2014-01-15,102.491
2014-01-16,102.7122
2014-01-17,102.748
2014-01-18,102.778175
2014-01-19,102.80835
2014-01-20,102.838525
2014-01-21,102.8687
2014-01-22,103.0401
2014-01-23,103.0506
2014-01-24,103.0727
2014-01-25,103.079825
2014-01-26,103.08695
2014-01-27,103.094075
2014-01-28,103.1012
2014-01-29,103.0869
2014-01-30,103.3579
2014-01-31,103.4174
2014-02-01,103.38165000000001
2014-02-02,103.3459
2014-02-03,103.31015
2014-02-04,103.2744
2014-02-05,103.2436
2014-02-06,102.934
2014-02-07,102.9786
2014-02-08,102.950775
2014-02-09,102.92295
2014-02-10,102.89512500000001
2014-02-11,102.8673
2014-02-12,102.8542
2014-02-13,102.7638
2014-02-14,102.5186
2014-02-15,102.50217500000001
2014-02-16,102.48575
2014-02-17,102.469325
2014-02-18,102.4529
2014-02-19,102.6468
2014-02-20,102.9352
2014-02-21,102.9118
2014-02-22,102.8836
2014-02-23,102.8554
2014-02-24,102.8272
2014-02-25,102.799
2014-02-26,103.0947
2014-02-27,103.0052
2014-02-28,102.7398
2014-03-01,102.805375
2014-03-02,102.87095
2014-03-03,102.936525
2014-03-04,103.0021
2014-03-05,102.808
2014-03-06,102.3192
2014-03-07,102.5876
2014-03-08,102.6246
2014-03-09,102.66159999999999
2014-03-10,102.6986
2014-03-11,102.7356
2014-03-12,102.8149
2014-03-13,102.5381
2014-03-14,102.6056
2014-03-15,102.61874999999999
2014-03-16,102.6319
2014-03-17,102.64505
2014-03-18,102.6582
2014-03-19,102.765
2014-03-20,103.4348
2014-03-21,103.2975
2014-03-22,103.23315
2014-03-23,103.1688
2014-03-24,103.10445
2014-03-25,103.0401
2014-03-26,102.9435
2014-03-27,102.7648
2014-03-28,102.7968
2014-03-29,102.72815
2014-03-30,102.65950000000001
2014-03-31,102.59085
2014-04-01,102.5222
2014-04-02,102.7169
2014-04-03,102.927
2014-04-04,102.6317
2014-04-05,102.48939999999999
2014-04-06,102.3471
2014-04-07,102.2048
2014-04-08,102.0625
2014-04-09,102.0719
2014-04-10,101.9259
2014-04-11,102.0482
2014-04-12,102.13297499999999
2014-04-13,102.21775
2014-04-14,102.302525
2014-04-15,102.3873
2014-04-16,102.3773
2014-04-17,102.3161
2014-04-18,102.3872
2014-04-19,102.42505
2014-04-20,102.4629
2014-04-21,102.50075000000001
2014-04-22,102.5386
2014-04-23,102.6038
2014-04-24,102.6016
2014-04-25,102.6466
2014-04-26,102.612475
2014-04-27,102.57835
2014-04-28,102.544225
2014-04-29,102.5101
2014-04-30,102.381
2014-05-01,102.3614
2014-05-02,102.3055
2014-05-03,102.2003
2014-05-04,102.0951
2014-05-05,101.98989999999999
2014-05-06,101.8847
2014-05-07,101.8819
2014-05-08,101.8083
2014-05-09,102.0938
2014-05-10,102.0958
2014-05-11,102.0978
2014-05-12,102.0998
2014-05-13,102.1018
2014-05-14,102.0091
2014-05-15,102.1253
2014-05-16,102.0303
2014-05-17,102.046425
2014-05-18,102.06255
2014-05-19,102.078675
2014-05-20,102.0948
2014-05-21,102.1768
2014-05-22,102.1123
2014-05-23,102.1234
2014-05-24,102.1618
2014-05-25,102.2002
2014-05-26,102.2386
2014-05-27,102.277
2014-05-28,102.3157
2014-05-29,102.1186
2014-05-30,102.2024
2014-05-31,102.27782499999999
2014-06-01,102.35325
2014-06-02,102.428675
2014-06-03,102.5041
2014-06-04,102.5714
2014-06-05,102.4195
2014-06-06,102.336
2014-06-07,102.367425
2014-06-08,102.39885
2014-06-09,102.430275
2014-06-10,102.4617
2014-06-11,102.3843
2014-06-12,102.2183
2014-06-13,102.3196
2014-06-14,102.371325
2014-06-15,102.42304999999999
2014-06-16,102.474775
2014-06-17,102.5265
2014-06-18,102.495
2014-06-19,102.1894
2014-06-20,102.2035
2014-06-21,102.18755
2014-06-22,102.17160000000001
2014-06-23,102.15565000000001
2014-06-24,102.1397
2014-06-25,102.0298
2014-06-26,101.9788
2014-06-27,101.8205
2014-06-28,101.754375
2014-06-29,101.68825
2014-06-30,101.622125
2014-07-01,101.556
2014-07-02,101.6799
2014-07-03,101.7479
2014-07-04,101.7446
2014-07-05,101.7413
2014-07-06,101.738
2014-07-07,101.73469999999999
2014-07-08,101.7314
2014-07-09,101.629
2014-07-10,101.718
2014-07-11,101.824
2014-07-12,101.869575
2014-07-13,101.91515
2014-07-14,101.960725
2014-07-15,102.0063
2014-07-16,102.0249
2014-07-17,102.0941
2014-07-18,102.0989
2014-07-19,102.085775
2014-07-20,102.07265000000001
2014-07-21,102.05952500000001
2014-07-22,102.0464
2014-07-23,101.9971
2014-07-24,102.0872
2014-07-25,102.2203
2014-07-26,102.271925
2014-07-27,102.32355
2014-07-28,102.375175
2014-07-29,102.4268
2014-07-30,102.7183
2014-07-31,102.833
2014-08-01,102.8743
2014-08-02,102.920175
2014-08-03,102.96605
2014-08-04,103.011925
2014-08-05,103.0578
2014-08-06,102.994
2014-08-07,103.0281
2014-08-08,102.9669
2014-08-09,102.945675
2014-08-10,102.92445000000001
2014-08-11,102.903225
2014-08-12,102.882
2014-08-13,102.8111
2014-08-14,102.6968
2014-08-15,102.6209
2014-08-16,102.65325
2014-08-17,102.6856
2014-08-18,102.71795
2014-08-19,102.7503
2014-08-20,102.9189
2014-08-21,103.0052
2014-08-22,103.1269
2014-08-23,103.14257500000001
2014-08-24,103.15825000000001
2014-08-25,103.173925
2014-08-26,103.1896
2014-08-27,103.0064
2014-08-28,103.0349
2014-08-29,103.0683
2014-08-30,103.156875
2014-08-31,103.24545
2014-09-01,103.334025
2014-09-02,103.4226
2014-09-03,103.2116
2014-09-04,103.6003
2014-09-05,103.5531
2014-09-06,103.7119
2014-09-07,103.8707
2014-09-08,104.0295
2014-09-09,104.1883
2014-09-10,104.1792
2014-09-11,104.2404
2014-09-12,104.4032
2014-09-13,104.35825
2014-09-14,104.3133
2014-09-15,104.26835
2014-09-16,104.2234
2014-09-17,104.2869
2014-09-18,104.527
2014-09-19,104.7282
2014-09-20,104.768075
2014-09-21,104.80795
2014-09-22,104.847825
2014-09-23,104.8877
2014-09-24,105.0177
2014-09-25,105.2662
2014-09-26,105.5741
2014-09-27,105.66025
2014-09-28,105.7464
2014-09-29,105.83255
2014-09-30,105.9187
2014-10-01,105.938
2014-10-02,105.6909
2014-10-03,106.3541
2014-10-04,106.22645
2014-10-05,106.09880000000001
2014-10-06,105.97115000000001
2014-10-07,105.8435
2014-10-08,105.9041
2014-10-09,105.5605
2014-10-10,105.8078
2014-10-11,105.797375
2014-10-12,105.78694999999999
2014-10-13,105.77652499999999
2014-10-14,105.7661
2014-10-15,105.7127
2014-10-16,105.6599
2014-10-17,105.6812
2014-10-18,105.66447500000001
2014-10-19,105.64775
2014-10-20,105.631025
2014-10-21,105.6143
2014-10-22,105.8265
2014-10-23,105.9812
2014-10-24,105.8641
2014-10-25,105.801975
2014-10-26,105.73984999999999
2014-10-27,105.677725
2014-10-28,105.6156
2014-10-29,105.4152
2014-10-30,105.8358
2014-10-31,106.5307
2014-11-01,106.644825
2014-11-02,106.75895
2014-11-03,106.873075
2014-11-04,106.9872
2014-11-05,107.2755
2014-11-06,107.6017
2014-11-07,107.5143
2014-11-08,107.48848000000001
2014-11-09,107.46266
2014-11-10,107.43684
2014-11-11,107.41102
2014-11-12,107.3852
2014-11-13,107.5954
2014-11-14,107.615
2014-11-15,107.58937499999999
2014-11-16,107.56375
2014-11-17,107.53812500000001
2014-11-18,107.5125
2014-11-19,107.7518
2014-11-20,107.7697
2014-11-21,107.803
2014-11-22,107.80565
2014-11-23,107.8083
2014-11-24,107.81094999999999
2014-11-25,107.8136
2014-11-26,107.7466
2014-11-27,108.20155
2014-11-28,108.6565
2014-11-29,108.7752
2014-11-30,108.8939
2014-12-01,109.01259999999999
2014-12-02,109.1313
2014-12-03,109.2572
2014-12-04,109.1007
2014-12-05,109.7828
2014-12-06,109.724775
2014-12-07,109.66675000000001
2014-12-08,109.608725
2014-12-09,109.5507
2014-12-10,109.7534
2014-12-11,110.204
2014-12-12,110.1715
2014-12-13,110.23282499999999
2014-12-14,110.29415
2014-12-15,110.355475
2014-12-16,110.4168
2014-12-17,110.373
2014-12-18,110.6071
2014-12-19,110.8753
2014-12-20,110.935825
2014-12-21,110.99635
2014-12-22,111.056875
2014-12-23,111.1174
2014-12-24,111.0503
2014-12-25,111.01931666666667
2014-12-26,110.98833333333333
2014-12-27,110.95734999999999
2014-12-28,110.92636666666667
2014-12-29,110.89538333333334
2014-12-30,110.8644
2014-12-31,111.0738
2015-01-01,111.37950000000001
2015-01-02,111.6852
2015-01-03,111.7893
2015-01-04,111.8934
2015-01-05,111.9975
2015-01-06,112.1016
2015-01-07,112.4336
2015-01-08,112.0596
2015-01-09,111.9052
2015-01-10,111.944425
2015-01-11,111.98365
2015-01-12,112.022875
2015-01-13,112.0621
2015-01-14,111.8773
2015-01-15,111.891
2015-01-16,112.0592
2015-01-17,112.14150000000001
2015-01-18,112.22380000000001
2015-01-19,112.3061
2015-01-20,112.3884
2015-01-21,112.605
2015-01-22,112.7187
2015-01-23,113.1599
2015-01-24,113.12412499999999
2015-01-25,113.08834999999999
2015-01-26,113.052575
2015-01-27,113.0168
2015-01-28,113.3483
2015-01-29,114.1466
2015-01-30,114.4698
2015-01-31,114.21875
2015-02-01,113.96770000000001
2015-02-02,113.71665
2015-02-03,113.4656
2015-02-04,113.6375
2015-02-05,113.3626
2015-02-06,113.9949
2015-02-07,114.03065000000001
2015-02-08,114.0664
2015-02-09,114.10215
2015-02-10,114.1379
2015-02-11,114.6429
2015-02-12,113.8115
2015-02-13,113.6873
2015-02-14,113.77431999999999
2015-02-15,113.86134
2015-02-16,113.94836
2015-02-17,114.03538
2015-02-18,114.1224
2015-02-19,114.0097
2015-02-20,114.2028
2015-02-21,114.25619999999999
2015-02-22,114.30959999999999
2015-02-23,114.363
2015-02-24,114.4164
2015-02-25,113.9131
2015-02-26,114.3377
2015-02-27,114.4668
2015-02-28,114.45580000000001
2015-03-01,114.4448
2015-03-02,114.43379999999999
2015-03-03,114.4228
2015-03-04,114.9886
2015-03-05,115.6148
2015-03-06,116.241
2015-03-07,116.4221
2015-03-08,116.6032
2015-03-09,116.7843
2015-03-10,116.9654
2015-03-11,117.3451
2015-03-12,116.9802
2015-03-13,117.7111
2015-03-14,117.619275
2015-03-15,117.52745
2015-03-16,117.435625
2015-03-17,117.3438
2015-03-18,117.1145
2015-03-19,116.843
2015-03-20,115.8666
2015-03-21,115.67415
2015-03-22,115.4817
2015-03-23,115.28925000000001
2015-03-24,115.0968
2015-03-25,114.9296
2015-03-26,115.2175
2015-03-27,115.5594
2015-03-28,115.690175
2015-03-29,115.82095
2015-03-30,115.951725
2015-03-31,116.0825
2015-04-01,115.6827
2015-04-02,115.2714
2015-04-03,114.4885
2015-04-04,114.62555
2015-04-05,114.76259999999999
2015-04-06,114.89965
2015-04-07,115.0367
2015-04-08,115.0087
2015-04-09,115.5787
2015-04-10,116.0151
2015-04-11,115.914725
2015-04-12,115.81435
2015-04-13,115.713975
2015-04-14,115.6136
2015-04-15,115.7307
2015-04-16,114.8323
2015-04-17,114.9071
2015-04-18,114.971525
2015-04-19,115.03595
2015-04-20,115.100375
2015-04-21,115.1648
2015-04-22,115.1654
2015-04-23,114.7529
2015-04-24,114.4818
2015-04-25,114.296
2015-04-26,114.1102
2015-04-27,113.9244
2015-04-28,113.7386
2015-04-29,113.1975
2015-04-30,113.9418
2015-05-01,114.2566
2015-05-02,114.16095
2015-05-03,114.06530000000001
2015-05-04,113.96965
2015-05-05,113.874
2015-05-06,113.3233
2015-05-07,113.8335
2015-05-08,113.5168
2015-05-09,113.536925
2015-05-10,113.55705
2015-05-11,113.57717500000001
2015-05-12,113.5973
2015-05-13,113.0492
2015-05-14,112.9183
2015-05-15,112.6878
2015-05-16,113.01079999999999
2015-05-17,113.3338
2015-05-18,113.6568
2015-05-19,113.9798
2015-05-20,114.2081
2015-05-21,114.0238
2015-05-22,114.4649
2015-05-23,114.69055
2015-05-24,114.9162
2015-05-25,115.14185
2015-05-26,115.3675
2015-05-27,115.5505
2015-05-28,115.573
2015-05-29,115.3926
2015-05-30,115.32820000000001
2015-05-31,115.2638
2015-06-01,115.1994
2015-06-02,115.135
2015-06-03,114.8379
2015-06-04,115.2072
2015-06-05,115.8773
2015-06-06,115.655925
2015-06-07,115.43455
2015-06-08,115.213175
2015-06-09,114.9918
2015-06-10,114.5567
2015-06-11,114.8503
2015-06-12,114.6791
2015-06-13,114.712875
2015-06-14,114.74665
2015-06-15,114.78042500000001
2015-06-16,114.8142
2015-06-17,114.8444
2015-06-18,113.8771
2015-06-19,114.233
2015-06-20,114.35815
2015-06-21,114.4833
2015-06-22,114.60845
2015-06-23,114.7336
2015-06-24,115.0215
2015-06-25,114.9359
2015-06-26,115.2106
2015-06-27,115.231975
2015-06-28,115.25335
2015-06-29,115.27472499999999
2015-06-30,115.2961
2015-07-01,115.7791
2015-07-02,115.6798
2015-07-03,115.85474
2015-07-04,116.02968
2015-07-05,116.20462
2015-07-06,116.37956
2015-07-07,116.5545
2015-07-08,116.2316
2015-07-09,116.3169
2015-07-10,115.9792
2015-07-11,116.05385000000001
2015-07-12,116.1285
2015-07-13,116.20315
2015-07-14,116.2778
2015-07-15,116.8023
2015-07-16,116.9618
2015-07-17,117.3229
2015-07-18,117.2875
2015-07-19,117.2521
2015-07-20,117.2167
2015-07-21,117.1813
2015-07-22,117.59
2015-07-23,117.5667
2015-07-24,117.8397
2015-07-25,117.765125
2015-07-26,117.69055
2015-07-27,117.61597499999999
2015-07-28,117.5414
2015-07-29,117.449
2015-07-30,118.298
2015-07-31,117.6531
2015-08-01,117.76747499999999
2015-08-02,117.88185
2015-08-03,117.99622500000001
2015-08-04,118.1106
2015-08-05,118.7498
2015-08-06,118.6193
2015-08-07,118.3321
2015-08-08,118.5088
2015-08-09,118.68549999999999
2015-08-10,118.8622
2015-08-11,119.0389
2015-08-12,118.6743
2015-08-13,119.1068
2015-08-14,119.1336
2015-08-15,119.22565
2015-08-16,119.3177
2015-08-17,119.40975
2015-08-18,119.5018
2015-08-19,119.677
2015-08-20,119.3772
2015-08-21,119.4312
2015-08-22,119.481325
2015-08-23,119.53145
2015-08-24,119.581575
2015-08-25,119.6317
2015-08-26,119.8356
2015-08-27,119.684
2015-08-28,119.8358
2015-08-29,119.7737
2015-08-30,119.7116
2015-08-31,119.6495
2015-09-01,119.5874
2015-09-02,119.917
2015-09-03,119.9793
2015-09-04,120.2373
2015-09-05,120.1747
2015-09-06,120.1121
2015-09-07,120.04950000000001
2015-09-08,119.9869
2015-09-09,120.1238
2015-09-10,119.8368
2015-09-11,119.8003
2015-09-12,119.7979
2015-09-13,119.7955
2015-09-14,119.7931
2015-09-15,119.7907
2015-09-16,119.2577
2015-09-17,119.2547
2015-09-18,118.9609
2015-09-19,119.313475
2015-09-20,119.66605
2015-09-21,120.018625
2015-09-22,120.3712
2015-09-23,120.826
2015-09-24,120.6309
2015-09-25,120.5414
2015-09-26,120.57702499999999
2015-09-27,120.61265
2015-09-28,120.648275
2015-09-29,120.6839
2015-09-30,120.4553
2015-10-01,120.1891
2015-10-02,119.8576
2015-10-03,119.70570000000001
2015-10-04,119.5538
2015-10-05,119.4019
2015-10-06,119.25
2015-10-07,118.888
2015-10-08,118.7178
2015-10-09,118.1129
2015-10-10,118.197125
2015-10-11,118.28135
2015-10-12,118.36557499999999
2015-10-13,118.4498
2015-10-14,118.1724
2015-10-15,117.669
2015-10-16,118.0282
2015-10-17,118.119625
2015-10-18,118.21105
2015-10-19,118.302475
2015-10-20,118.3939
2015-10-21,118.8468
2015-10-22,119.0979
2015-10-23,119.4649
2015-10-24,119.4836
2015-10-25,119.50229999999999
2015-10-26,119.521
2015-10-27,119.5397
2015-10-28,119.2766
2015-10-29,119.8739
