date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses,medianTxValue(USD)
2017-10-12,,6830,,,,6116,
2017-10-13,26778236.940966208,3485,0.0,0.613334,4043320.0,3815,1502.4658997800002
2017-10-14,4376052.676793998,1158,47366431.56831515,0.632935,1866780.0000000002,1160,1021.9402891029201
2017-10-15,5386225.331179492,618,51113853.02887484,0.68301,1433929.9999999998,681,683.01
2017-10-16,3998193.570364733,562,48000518.590793036,0.641408,1919029.9999999998,541,1023.3566267255039
2017-10-17,1644608.9801330294,459,44932460.03996182,0.600411,1389300.0,471,720.4932
2017-10-18,1578786.088000569,375,38567494.47327827,0.515359,1129090.0,369,1030.718
2017-10-19,927795.0300821009,322,37048020.81717524,0.495055,879049.0,293,750.008325
2017-10-20,622965.614554237,292,36985308.06929314,0.494217,1160220.0,314,937.035432
2017-10-21,783680.5460096945,167,35170306.67013068,0.469964,558247.0,174,690.7530872
2017-10-22,527013.2800916453,195,31819965.335880432,0.425195,605007.0,235,624.951611
2017-10-23,369998.72132234316,168,30456450.32274734,0.406975,447621.00000000006,194,737.0870735999999
2017-10-24,317596.9211962652,198,28711795.12479068,0.383662,793814.0,206,639.4398638499999
2017-10-25,641891.4678572619,317,31607131.841293328,0.422351,1262400.0,332,844.702
2017-10-26,231369.79257935437,182,34046940.5067274,0.454953,622219.0,205,408.547794
2017-10-27,765829.0126967834,161,34583890.04133509,0.462128,413008.0,187,791.4404127999999
2017-10-28,198121.35114351832,113,31914259.380340148,0.426455,405700.0,127,509.103258365
2017-10-29,1056401.3912379355,129,30438415.67435656,0.406734,495022.0,144,488.08079999999995
2017-10-30,295663.2196607693,151,29991717.7246907,0.400765,457524.0,171,523.559396
2017-10-31,305929.70421321894,121,29095779.08012035,0.388793,461916.00000000006,155,544.3102
2017-11-01,1632197.0946075665,241,28568483.80219088,0.381747,518933.0,264,2152.5186342
2017-11-02,811752.6077518399,196,26608599.566086035,0.355558,567884.0,214,522.01781107
2017-11-03,206290.21903810298,121,26637935.130053274,0.35595,500177.0,145,462.735
2017-11-04,136348.34683863746,63,27676361.798705492,0.369826,350618.0,73,766.6208213979999
2017-11-05,175651.59376514136,126,29799314.542517938,0.398194,420329.0,141,483.71412538
2017-11-06,128863.08694649854,103,27547494.047949687,0.368104,550690.0,121,533.7508
2017-11-07,209481.2406226279,144,27672769.54235361,0.369778,671402.0,168,357.975240907
2017-11-08,132694.46039568592,139,29184086.55869924,0.389973,834388.9999999999,154,389.463695262
2017-11-09,472890.1797567333,179,33046306.141570184,0.441582,1203220.0,183,628.624212486
2017-11-10,427702.462458018,144,38265530.69453455,0.511324,1027690.0,166,613.8782017550459
2017-11-11,212807.5529059702,76,32445446.356740113,0.433553,705945.0,104,416.34961696000005
2017-11-12,157214.40807912164,99,31364588.180052165,0.41911,784228.0,101,761.5120059856506
2017-11-13,295930.04057790816,123,29132598.665317282,0.389285,895470.0,147,389.28499999999997
2017-11-14,330189.6793413817,114,31143746.422517758,0.416159,838668.0,128,499.3908
2017-11-15,289172.12393087614,105,31596205.137110755,0.422205,817698.0,117,607.06745925
2017-11-16,132657.4429407393,105,28531215.014649007,0.381249,1041760.0,127,280.218015
2017-11-17,197891.51495513812,138,28999091.074151553,0.387501,1025230.0000000001,133,383.23848899999996
2017-11-18,133323.41510816215,101,29612972.603168335,0.395704,862576.0,125,633.2672229772814
2017-11-19,225631.55740648214,128,30064159.897850275,0.401733,929113.9999999999,150,463.182826501647
2017-11-20,493299.03001305443,110,29346330.90413863,0.392141,938760.0,123,564.3088642281791
2017-11-21,441895.52842886985,93,29112168.421600483,0.389012,1071540.0,129,601.9762303880001
2017-11-22,1735024.3739017139,573,32944528.93089048,0.440222,4851130.0,677,880.444
2017-11-23,1673738.0734353336,205,43385821.48151874,0.579744,1625850.0,260,1090.498464
2017-11-24,258192.520037339,122,39638699.50516698,0.529673,1381400.0,146,759.8496876564549
2017-11-25,367025.7604301918,131,38974153.69312897,0.520793,995884.0,141,700.285349036
2017-11-26,544950.696283211,164,36661267.43241581,0.489887,994404.0,181,695.5310365400983
2017-11-27,594307.1000699308,111,35639753.74993602,0.476237,849689.0,131,682.7479183790449
2017-11-28,302601.88620396197,164,36289930.71089631,0.484925,741542.0,195,480.044229875
2017-11-29,848455.7357889864,160,34961662.96010718,0.467176,1029849.9999999999,187,933.417648
2017-11-30,24576438.67772655,3897,47250809.655116044,0.63139,28777400.0,2480,1578.475
2017-12-01,1897495.445062283,535,53102924.14742709,0.709589,6898249.999999999,407,1559.676622
2017-12-02,755952.4818388934,276,47892081.603938594,0.639959,3742930.0,238,805.79797526
