date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees,activeAddresses,medianTxValue(USD),medianFee,averageDifficulty,paymentCount,blockSize,blockCount
2015-07-30,,,,,,39311.09375,,,,,121335493200.82637,,4449897,6911
2015-07-31,,,,,,36191.71875,,,,,602941851593.5538,,3994458,6863
2015-08-01,,,,,,27702.1875,,,,,887254173531.0215,,3044344,5293
2015-08-02,,,,,,28227.1875,,,,,1020253707547.483,,3112348,5358
2015-08-03,,,,,,27976.71875,,,,,1125837358847.0642,,3099953,5280
2015-08-04,,,,,,28478.4375,,,,,1216587344565.169,,3150854,5368
2015-08-05,,,,,,27528.59375,,,,,1327837857486.7214,,3030780,5235
2015-08-06,,,,,,27075.46875,,,,,1380846362251.6318,,2986060,5116
2015-08-07,,2050,,,,27437.65625,37.3184135112793,1086,,0.0013207788662355,1470838650662.2773,1977,3282693,5189
2015-08-08,,2881,,,,27943.4375,68.09997007185683,826,,0.001243194429666,1586123528941.2515,1973,3508878,5256
2015-08-09,,1329,,,,27178.28125,14.09894970320559,732,,0.001223010533325,1709479787484.6428,1213,3167541,5123
2015-08-10,,2037,,,,27817.34375,31.165144438378736,1001,,0.00122826248427035,1837695763267.6245,1451,3316883,5255
2015-08-11,,4963,,,,28027.8125,11.311448586019756,2342,,0.001217964866769,2036390797503.4668,3029,3653834,5280
2015-08-12,,2036,,,,27370.9375,32.58699240437774,906,,0.001244069511888,2207079742289.723,1479,3348157,5124
2015-08-13,,2842,,,,28268.125,24.929169109943118,1274,,0.001210095720036,2336979708057.8936,2486,3519008,5286
2015-08-14,,3174,,,,31106.71875,14.354834112827458,1594,,0.001210110728064,2671253150471.5117,3015,3832496,5809
2015-08-15,,2284,,,,28512.65625,8.83659302804685,1313,,0.0012097606616655,3378028425874.265,2170,3435520,5382
2015-08-16,,2440,,,,27094.53125,6.6772379249055565,1202,,0.001207801265937,3631632144442.7783,2340,3287835,5132
2015-08-17,,2512,,,,28118.90625,7.642811839634957,1249,,0.001210227972051,3908024035252.574,2410,3393782,5347
2015-08-18,,2494,,,,26162.8125,11.906071340176043,1294,,0.001205692772676,4377694725368.521,2324,3208720,4948
2015-08-19,,3246,,,,27282.03125,15.430950669480218,1350,,0.001214038858221,4419573021824.609,3147,3392043,5192
2015-08-20,,2303,,,,21057.03125,6.855566942706631,1167,,0.001184487761268,4469109431846.1045,2184,2615975,4024
2015-08-21,,3919,,,,26690.9375,7.855041724705319,1425,,0.00105,4415252643654.768,3809,3396674,5088
2015-08-22,,3579,,,,27550.46875,42.54717182958246,1414,,0.00115196162067,4828340997895.128,3455,3415807,5271
2015-08-23,,4190,,,,26255.625,8.049767672901801,1570,,0.00105,5138351075672.967,4025,3411809,5013
2015-08-24,,4432,,,,27333.28125,8.876285419798611,1436,,0.00105,5179118882691.484,4374,3486486,5184
2015-08-25,,4487,,,,26736.09375,8.259755825110537,1580,,0.00105,5173287673222.896,4296,3464583,5097
2015-08-26,,4156,,,,26137.96875,7.447729278556984,1527,,0.00105,5587304091731.815,4040,3345268,5003
2015-08-27,,5590,,,,24532.8125,8.67096304288794,1591,,0.00105,5925309861485.966,5441,3332930,4708
2015-08-28,,4758,,,,24225.15625,9.925148370505207,1531,,0.00105,6250868351996.001,4652,3214665,4653
2015-08-29,,4139,,,,22525.0,5.507451526061552,1375,,0.00105,6657649139909.963,4046,2952536,4329
2015-08-30,,4572,,,,21453.59375,5.634173742432617,1624,,0.00105,6780904668947.909,4490,2862531,4155
2015-08-31,,5196,,,,21293.4375,7.424533814378987,1515,,0.00105,7213764433229.347,5106,3011745,4122
2015-09-01,,5153,,,,20339.21875,7.843769855894397,1555,,0.00105,7641499013978.472,5000,2919171,3938
2015-09-02,,5195,,,,18391.09375,8.153735331051015,1514,,0.00105,8283953338039.258,4883,2740989,3577
2015-09-03,,4777,,,,17380.9375,6.970025674099679,1448,,0.00105,8354596884230.861,4527,2555486,3383
2015-09-04,,5642,,,,23081.875,9.733856361469304,1450,,0.00105,6469670080246.436,4924,3387151,4443
2015-09-05,,5519,,,,25629.0625,9.141228323603368,1486,,0.00105,6235386210268.605,5236,3704996,4921
2015-09-06,,5521,,,,26168.28125,8.055487734515996,1587,,0.00105,6305025872317.298,5340,3651161,4978
2015-09-07,,5702,,,,25460.46875,9.256422395866533,1632,,0.00105,6339141092888.281,5363,3638068,4834
2015-09-08,,5622,,,,25888.75,10.379926302044415,1545,,0.00105,6077004932538.928,5395,3738463,4923
2015-09-09,,5604,,,,26431.40625,9.84060106916306,1543,,0.00105,6202066849531.531,5304,3849882,5035
2015-09-10,,5341,,,,26444.21875,7.925807170796993,1539,,0.00105,6289587949042.918,5094,3651888,5003
2015-09-11,,6460,,,,27238.59375,8.876728152679961,1701,,0.00105,6561787910853.356,6226,3783308,5141
2015-09-12,,5596,,,,26402.34375,11.354833193505238,1544,,0.00105,6832639915711.834,5270,3826914,5026
2015-09-13,,6057,,,,26171.40625,9.578725673919106,1598,,0.00105,7022050607216.236,5737,3795663,4971
2015-09-14,,5572,,,,25588.125,9.901548419395162,1622,,0.00105,6626273317244.018,5247,3740946,4851
2015-09-15,,5409,,,,25615.3125,8.426997145283307,1486,,0.00105,6418523305692.0205,5168,3657282,4842
2015-09-16,,5872,,,,26318.125,15.146617077844793,1510,,0.00105,6179108814558.398,5679,3660494,4956
2015-09-17,,5368,,,,25435.625,8.556523791455506,1517,,0.00105,6040422718682.242,5102,3622311,4808
2015-09-18,,5802,,,,25894.21875,11.834821066198469,1462,,0.00105,5652727817263.363,5336,3836279,4889
2015-09-19,,5205,,,,27187.1875,7.982204372925468,1367,,0.00105,5548291301467.72,4938,3730754,5078
2015-09-20,,6402,,,,27982.65625,10.969645471755072,1466,,0.00105,6202288372044.08,6116,4063431,5305
2015-09-21,,6305,,,,26651.875,10.180741940942934,1521,,0.00105,6541475961494.76,5967,3952585,5075
2015-09-22,,6804,,,,26370.3125,11.404145175916604,1535,,0.00105,6624026779678.03,6552,4076071,5051
2015-09-23,,7404,,,,27080.3125,10.700267104792061,1737,,0.00105,6895375007164.623,7107,4049670,5165
2015-09-24,,6224,,,,26385.78125,10.319506266501325,1569,,0.00105,7029217239891.815,5981,3924670,5021
2015-09-25,,5851,,,,27003.4375,9.836594916126598,1536,,0.00105,6977082570624.799,5539,3931914,5126
2015-09-26,,5907,,,,25910.3125,9.289146478621033,1420,,0.00105,7226850619903.692,5687,3770114,4930
2015-09-27,,5760,,,,25011.09375,8.423870450444849,1417,,0.00105,7252906515025.066,5648,3459118,4773
2015-09-28,,6123,,,,24714.21875,9.27234660930711,1545,,0.00105,6747096187571.016,5882,3578200,4738
2015-09-29,,5738,,,,24364.6875,8.87732842074942,1532,,0.00105,6057282503508.37,5498,3536519,4640
