date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses,medianTxValue(USD)
2017-06-27,,1,,,,2,
2017-06-28,,317,,,,297,
2017-06-29,,122,,,,117,
2017-06-30,,97,,,,96,
2017-07-01,,50,,,,48,
2017-07-02,,108,,,,97,
2017-07-03,,80,,,,79,
2017-07-04,,58,,,,52,
2017-07-05,,316,,,,298,
2017-07-06,,453,,,,404,
2017-07-07,,263,,,,246,
2017-07-08,,202,,,,183,
2017-07-09,,223,,,,205,
2017-07-10,,84,,,,79,
2017-07-11,,88,,,,83,
2017-07-12,,88,,,,85,
2017-07-13,,416,,,,370,
2017-07-14,,871,,,,719,
2017-07-15,,608,,,,498,
2017-07-16,,742,,,,636,
2017-07-17,,236,,,,209,
2017-07-18,491764.9596477399,242,4578224.44098608,0.06865,61497.0,193,335.7980425360413
2017-07-19,296786.8872977683,216,3787978.8418743904,0.0568,69380.0,182,279.03568003124
2017-07-20,268624.23811577144,344,4481867.592833129,0.066124,64516.0,296,661.24
2017-07-21,66652.55791900188,126,3584257.3417337546,0.052881,34470.0,101,217.6581959952407
2017-07-22,102670.88372434462,91,4133007.2378725694,0.060978,23393.0,88,304.89
2017-07-23,65957.1137381922,92,4087961.8342929804,0.060313,29665.0,76,203.9047172221044
2017-07-24,78957.36350716364,110,3836524.986650988,0.056603,30338.0,87,296.07531018590004
2017-07-25,71397.87326416043,91,3114559.957543472,0.045952,12101.0,76,229.76
2017-07-26,120886.54110784072,611,3403345.6731380164,0.049604,14125.0,601,24.063112686270482
2017-07-27,52859.782789085686,97,3119496.2764771204,0.045467,23320.0,86,208.2448160633325
2017-07-28,31693.432245914963,54,2949035.5774889523,0.042982,23079.0,53,361.0487999926931
2017-07-29,31394.222195433464,70,2646890.202447318,0.038578,24330.000000000004,63,85.08467120227894
2017-07-30,29049.871156560166,99,2965267.0387417222,0.043219,34094.0,87,201.40480268997
2017-07-31,24554.01712647346,70,2907502.274511377,0.042377,21423.0,67,127.131
2017-08-01,16861.115710654118,48,2569622.493817198,0.037452,31951.0,59,182.6348175068274
2017-08-02,6122371.309105176,1544,2891909.2491696733,0.042149,26128.999999999996,1506,12.433829058788
2017-08-03,51518.712922867555,465,2871030.673930865,0.041845,35677.0,427,16.4588666214585
2017-08-04,51313.330176304626,273,3013864.7908343626,0.043927,27831.0,243,17.22978924282733
2017-08-05,70785.50434707686,245,3284529.0445650383,0.047872,78172.0,233,58.81020801466624
2017-08-06,217396.6269984274,524,5374697.531730807,0.067007,110909.0,413,64.57545045740444
2017-08-07,784482.920254345,1168,8090971.753227501,0.100639,618445.0,793,180.8986025
2017-08-08,2635233.782656764,560,12537464.618178045,0.177745,266988.0,410,346.0304111
2017-08-09,327823.5549271297,345,13018944.9543072,0.184571,222484.00000000003,245,239.757729
2017-08-10,533090.6089262202,484,12044289.752650192,0.170729,365852.0,289,330.74874010156674
2017-08-11,3125061.385723338,1174,15772305.892556502,0.223574,1337950.0,804,223.350426
2017-08-12,3259618.5068497313,1740,35352168.394265346,0.501224,2246300.0,1129,501.224
2017-08-13,5301583.530483147,1508,73576197.03281915,1.04,1902750.0000000002,1048,1021.2800000000001
2017-08-14,2276693.7841848824,767,53024526.3059419,0.749502,1201880.0,581,534.3519993747179
2017-08-15,3665744.3444597805,541,56833846.76991302,0.80329,975342.0000000001,420,584.9883163298257
2017-08-16,2075216.6507230261,727,50239362.302815005,0.709933,1380050.0,576,538.8391471135893
2017-08-17,5222352.412009829,1157,66819138.9705875,0.940835,2583040.0,845,823.87980115
2017-08-18,4155300.3189101154,845,82473999.98275861,1.17,1942910.0,608,966.4972176599999
2017-08-19,2261288.759061918,520,81354601.8,1.15,993767.0,419,1011.425
2017-08-20,3398275.220592863,719,87833476.93103448,1.24,856033.0000000001,576,818.1768000000001
2017-08-21,3533388.91898618,875,81826804.94545452,1.16,1001250.0,767,992.4541239999999
2017-08-22,2840210.9816287137,643,77771637.05882354,1.1,955650.9999999999,437,809.6
2017-08-23,1562242.45425132,437,72183454.8264701,1.02,707674.0,348,834.9149140068
2017-08-24,3036174.8488133275,547,69976149.393744,0.984311,1022480.0,410,931.0922198083977
2017-08-25,2673627.9218766587,437,75014178.7958604,1.06,589839.9999999999,348,1129.8116
2017-08-26,1986550.0880214921,386,68376910.58767818,0.966211,461536.0,304,676.0892730608948
2017-08-27,2811383.808132759,375,68921117.09938209,0.973901,493999.0,303,779.2220811364043
2017-08-28,1476976.2047807071,485,68389931.83719128,0.966395,675985.0,365,965.428605
2017-08-29,1024268.3774858511,476,59795854.50316043,0.844955,695080.0,376,570.3446250000001
2017-08-30,979272.2606638446,490,56059440.11471357,0.792157,592616.0,369,533.9740268988244
