date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses,medianTxValue(USD)
2017-06-27,,,0.0,0.01741,8783.0,,
2017-06-28,,,0.0,0.014053,28676.0,,
2017-06-29,,,0.0,0.018567,46736.0,,
2017-06-30,,,0.0,0.020367,177530.99999999997,,
2017-07-01,,,0.0,0.337854,109529.0,,
2017-07-02,,,73652585.9400377,0.019183,96684.0,,
2017-07-03,,,345600200.69138,0.090013,96913.0,,
2017-07-04,,,94387402.58029233,0.024583,323348.0,,
2017-07-05,,,72953641.11968416,0.019001,4821760.0,,
2017-07-06,,,87841020.48518011,0.022878,3178290.0,,
2017-07-07,645343305.7735618,5971,76429230.98526676,0.019907,1493760.0,2805,647.694152
2017-07-08,,,51650266.0982445,0.013453,825656.0,,
2017-07-09,,,49648507.92223412,0.012931,1276830.0,,
2017-07-10,,,47413923.68859105,0.012349,935060.0,,
2017-07-11,,,46881046.16226246,0.01221,2749220.0,,
2017-07-12,,,59454419.82004569,0.015485,1315430.0,,
2017-07-13,,,69089779.80620155,0.017995,826018.9999999999,,
2017-07-14,,,58158606.74545879,0.015147,363148.0,,
2017-07-15,510577.929505432,214,49267992.58011156,0.012832,292390.0,131,360.40247128
2017-07-16,804334.7251872767,329,39990470.56300638,0.010416,424292.99999999994,202,176.2199712
2017-07-17,633890.6046997934,216,42267010.48319751,0.011009,580590.0,160,164.584384865
2017-07-18,730796.2492559917,218,49527621.5323646,0.0129,557570.0,159,230.17730580000003
2017-07-19,621982.7699440162,214,50939490.57442915,0.013267,594138.0,165,313.1067850105157
2017-07-20,4149286.214131785,194,43985241.36271779,0.011456,518285.0,142,195.51539765836608
2017-07-21,426078.93389041704,167,47692962.58645277,0.012422,734587.0,129,235.87272572264146
2017-07-22,412454.47576686187,195,42792263.839036755,0.011145,604149.0,142,100.305
2017-07-23,605716.4715020144,216,44792485.886902586,0.011666,714335.0,175,129.01359841475
2017-07-24,785778.5272979389,285,52136868.039548025,0.013579,1074080.0,204,196.141105076
2017-07-25,4758936.35860267,205,50292671.10330993,0.013099,541693.0,154,209.58386901
2017-07-26,639742.690729299,193,42542054.81900453,0.01108,513288.0,152,207.943977591024
2017-07-27,587238.338952279,204,40848793.19544626,0.010639,431993.0,144,309.5693664
2017-07-28,846510.5056334353,218,41883963.05229626,0.010909,658726.0,137,183.5683789893969
2017-07-29,526551.999593959,207,43259979.9440076,0.011267,211392.99999999997,139,212.05620699999997
2017-07-30,136206.44772798475,96,44399947.18457985,0.011564,142368.0,77,457.4219835443791
2017-07-31,399039.15397728584,189,43735704.08541018,0.011391,442097.0,115,462.62431845997725
2017-08-01,510049.45188028796,133,44407943.94805611,0.011566,600151.0,112,209.64101982653335
2017-08-02,442612.11216338415,138,47908037.08404325,0.012478,335031.0,106,143.99602181498528
2017-08-03,146262.46079208585,173,46289615.072472505,0.012056,307817.0,119,108.504
2017-08-04,1012889.3603734497,184,50381436.35625281,0.013122,572205.0,149,269.9574477926214
2017-08-05,532079.4459716197,229,50263095.72914829,0.013091,523661.0,194,197.9964548419052
2017-08-06,675636.8272227985,345,56400439.414692074,0.01469,1868120.0,221,456.6531931
2017-08-07,1661251.9402240762,298,68491790.60266314,0.017839,897438.0,209,341.06223247173045
2017-08-08,381149.7367062374,347,65700895.23429792,0.017112,953548.0,227,176.3854992918931
2017-08-09,252983.1936222257,238,75009250.67225382,0.019536,566208.0,183,220.32623557664547
2017-08-10,1691881.5326874875,486,75859829.87496708,0.019758,2559630.0,348,245.4143665144446
2017-08-11,2907276.2538005295,816,102942438.9209624,0.026812,7417179.999999999,564,298.91344794
2017-08-12,1864333.5375990346,458,129038584.93621102,0.033608,2262110.0,329,244.11812411672318
2017-08-13,1107539.67154342,354,103875291.19042055,0.027055,1878590.0,274,243.2837680800599
2017-08-14,1629597.0789788717,345,115523915.3670604,0.030088,1356670.0,241,168.291646743698
2017-08-15,404546.2453028096,334,101652377.468423,0.026476,989449.9999999999,228,264.75986762
2017-08-16,1108193.845906438,396,94058443.82831523,0.024498,1100330.0,273,372.98204999999996
2017-08-17,952637.2795248019,481,98831319.75637046,0.025741,4157260.0000000005,355,257.40974259
