date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses,medianTxValue(USD)
2017-04-18,,11,,,,11,
2017-04-19,,,,,,,
2017-04-20,,,,,,,
2017-04-21,,,,,,,
2017-04-22,,,,,,,
2017-04-23,,,,,,,
2017-04-24,,1,,,,2,
2017-04-25,,1,,,,2,
2017-04-26,,,,,,,
2017-04-27,,,,,,,
2017-04-28,,,,,,,
2017-04-29,,,,,,,
2017-04-30,,,,,,,
2017-05-01,,,57041027.87600214,51.64,13582400.0,,
2017-05-02,7835605.154010463,1388,86156484.93150686,78.0,24464700.0,702,915.0011293800001
2017-05-03,4406246.604058656,789,99548317.3911491,90.12,8826750.0,342,1351.8000000000002
2017-05-04,3872874.9941406124,481,86864075.9594046,78.64,6149800.0,232,1297.7172799999998
2017-05-05,2696260.6775890547,310,97840409.63996774,88.58,4400090.0,181,1329.774577267
2017-05-06,1771318.134185628,559,95767953.30224858,86.7,7706590.0,283,1042.863512874
2017-05-07,4134828.8717328347,372,126954152.65832542,114.93,3392570.0,183,1086.4502111439
2017-05-08,3887369.812839367,631,115555082.24236253,104.61,4710080.0,390,1515.7989
2017-05-09,1534721.372634732,329,130132008.87376015,117.81,2728910.0,199,865.398413187
2017-05-10,957522.9863282429,285,110263223.24716511,99.82,1340590.0,172,498.10179999999997
2017-05-11,2156458.851776745,223,121103929.76604876,109.64,1502340.0,144,910.0120000000001
2017-05-12,7298126.778635805,151,121481666.00056417,109.98,966219.0,113,548.8002
2017-05-13,539672.087230083,184,117298524.99792866,106.19,596459.0,130,1272.2418486064
2017-05-14,1112424.011466306,156,123337421.68331109,111.66,686450.0,93,805.5768249564001
2017-05-15,1715343.7934604534,319,123519366.46383084,111.82,2149280.0,130,884.1607411181999
2017-05-16,1836951.4350176274,311,132573994.16303444,120.02,1782330.0,118,1161.114604853
2017-05-17,544772.6187956776,232,132849039.79473467,120.27,1145960.0,125,873.4007412027
2017-05-18,728922.0674659436,301,134602383.46938774,121.86,1741360.0,162,924.0631626185999
2017-05-19,2437583.063025609,557,151271782.4558293,136.95,5786480.0,198,967.4319201194999
2017-05-20,2015713.8137247872,430,185705747.76448223,168.12,2776440.0000000005,154,1129.118448708
2017-05-21,3524134.7680151085,589,197824686.24047408,179.09,4641290.0,209,1358.2969136659
