date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses,medianTxValue(USD)
2016-11-11,,695,,,,559,
2016-11-12,,97,,,,51,
2016-11-13,,257,,,,117,
2016-11-14,,304,,,,142,
2016-11-15,,229,,,,109,
2016-11-16,,199,,,,119,
2016-11-17,,122,,,,79,
2016-11-18,98547.12759223435,101,0.0,0.015051,7130.0,62,99.42446814478383
2016-11-19,88549.65555020735,76,0.0,0.013571,6058.0,52,90.58642499999999
2016-11-20,102362.13717297997,58,0.0,0.015023,5520.0,36,27.839825174825126
2016-11-21,155089.25790049028,87,0.0,0.014474,3502.0,38,31.20082590979554
2016-11-22,217865.8009008092,99,0.0,0.013233,5432.0,50,330.825
2016-11-23,276644.3441582657,87,0.0,0.013517,3195.0,49,67.557966
2016-11-24,52537.598777783285,25,0.0,0.010432,2005.0000000000002,26,83.435136
2016-11-25,46234.23134288807,88,0.0,0.011455,2647.0,29,98.11254065040644
2016-11-26,147299.69776796398,137,0.0,0.011125,4503.0,48,100.125
2016-11-27,101079.45574027312,84,0.0,0.01287,4344.0,50,516.0316792391122
2016-11-28,56346.20234946049,46,0.0,0.012357,5409.0,29,118.51148366626333
2016-11-29,84828.55561596234,56,8018442.280108663,0.011774,8551.0,36,161.04190805405457
2016-11-30,264742.37313163455,80,9032835.70762426,0.013264,17847.0,36,49.74019896
2016-12-01,20341.888394642465,65,9083767.856898827,0.013339,8438.0,45,13.339
2016-12-02,64780.35641656276,32,8778748.64625207,0.012891,11623.0,29,267.9771089475
2016-12-03,28179.85291271227,27,8641528.182249645,0.012689,8153.000000000001,23,126.89
2016-12-04,61173.44486137997,32,8609248.63846154,0.012642,6976.000000000001,29,189.63
2016-12-05,26401.129272167575,31,8669092.026671344,0.01273,10143.0,26,127.3
2016-12-06,44403.77624500026,40,7768456.420441812,0.011407,9546.0,31,86.2642782670471
2016-12-07,64728.65314002993,54,8129044.134632418,0.011937,11337.0,35,11.9310315
2016-12-08,137438.87840520105,36,6919998.9676581,0.010161,18659.0,24,261.830741166
2016-12-09,6587.993252145101,18,7070986.70761401,0.010383,16687.0,20,103.80659715886217
2016-12-10,31733.347801101685,43,6826001.405881287,0.010023,7327.0,30,250.57500000000002
2016-12-11,17245.70074920305,25,7505003.304347826,0.01102,10554.0,20,427.70988198
2016-12-12,27252.806153780315,35,7206993.719695659,0.010583,12717.0,28,102.46639378978823
2016-12-13,51062.31806344115,53,7880635.757383966,0.011572,27719.0,39,78.7210884353741
2016-12-14,131890.20891994814,51,7746859.271520112,0.011376,16963.0,34,245.91909873600002
2016-12-15,51379.15212929349,37,8820958.609540937,0.012953,9187.0,33,143.83616740600084
2016-12-16,2349.376603645058,14,7960658.343901175,0.011689,10131.0,17,159.18285002600678
2016-12-17,20618.19,5,7886287.004190541,0.01158,4715.0,10,1186.95
2016-12-18,20894.052427222403,26,7963522.354231973,0.011694,8249.0,23,36.543749999999996
2016-12-19,33892.53807618644,19,8256762.191054852,0.012124,5513.0,21,1818.6
2016-12-20,16052.068760577124,24,7291067.070910012,0.010706,15231.0,28,435.06754848118845
2016-12-21,53669.31706444054,32,8065189.171162945,0.011843,11776.0,27,94.0562310650411
2016-12-22,39558.67131068595,43,8203775.784116424,0.012046,10742.0,39,415.12473474999996
2016-12-23,37965.21590380139,28,8187227.0804578485,0.012022,7827.0,26,193.2078036583158
2016-12-24,1921.361825336568,7,8152513.761402508,0.011971,4192.0,7,52.236249124934425
2016-12-25,5039.444314245555,16,7173686.185945002,0.010534,9295.0,14,9.63175065111747
2016-12-26,7772.234180298491,13,7804766.684336922,0.011461,7225.999999999999,15,25.381072160000002
2016-12-27,13159.99403084064,54,7656583.860174244,0.011243,9281.0,28,109.25614063066907
2016-12-28,51369.72020563091,43,7897735.315019689,0.011597,9808.0,32,245.62446
2016-12-29,21183.780751193382,33,7258124.525126832,0.010658,7877.0,24,252.14317216955416
2016-12-30,47256.579620742355,59,7281348.736647534,0.010692,16833.0,23,323.5538196
2016-12-31,13356.406300547813,28,6996535.942874756,0.010274,11472.999999999998,24,157.9143846441425
2017-01-01,62845.65715368191,38,6628139.465139846,0.009733,22571.0,26,444.5489984645
2017-01-02,50313.67708668728,28,6722308.127344621,0.009871,5704.999999999999,27,74.65995967012799
2017-01-03,44550.1501839324,59,6717040.8617712585,0.009863,19084.0,39,158.518136
2017-01-04,25405.67141957931,48,7339233.7968365,0.010777,13233.0,38,54.235370491661186
2017-01-05,20639.48245349175,38,8581030.868761552,0.0126,10133.0,26,169.36575120000018
