date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses,medianTxValue(USD)
2016-09-30,,,0.0,0.198937,14652.000000000002,,
2016-10-01,,,0.0,0.267759,11963.0,,
2016-10-02,,,0.0,0.214882,8382.0,,
2016-10-03,,,0.0,0.146632,6347.000000000001,,
2016-10-04,,,0.0,0.183616,19235.0,,
2016-10-05,,,0.0,0.338671,16673.0,,
2016-10-06,,,0.0,0.535299,9085.0,,
2016-10-07,,,0.0,0.4227,13930.0,,
2016-10-08,,,0.0,0.444486,7462.999999999999,,
2016-10-09,,,0.0,0.34364,18183.0,,
2016-10-10,,,0.0,0.367009,7499.000000000001,,
2016-10-11,,,0.0,0.278657,11722.0,,
2016-10-12,,,0.0,0.2211,8531.0,,
2016-10-13,,,0.0,0.241055,7914.999999999999,,
2016-10-14,,,0.0,0.312134,5073.0,,
2016-10-15,,,0.0,0.233744,6558.0,,
2016-10-16,,,0.0,0.223679,6571.0,,
2016-10-17,,,0.0,0.275975,5968.0,,
2016-10-18,,,0.0,0.188626,7846.0,,
2016-10-19,,,0.0,0.185059,6795.0,,
2016-10-20,,,0.0,0.181,4673.0,,
2016-10-21,,,0.0,0.207384,3356.0,,
2016-10-22,,,0.0,0.220933,6967.0,,
2016-10-23,,,0.0,0.157829,2936.0,,
2016-10-24,53887200.0,1535,0.0,0.269436,6430.0,1530,49.38596473724935
2016-10-25,4328571.958303591,1700,39544197.0,0.454531,92887.0,989,237.31290775500003
2016-10-26,1115450.8362809827,952,16035492.0,0.184316,209376.99999999997,569,54.928011160000004
2016-10-27,479431.78838436626,559,14711178.0,0.169094,172953.0,376,41.91429815973624
2016-10-28,320845.68699687853,548,11972853.0,0.137619,108756.00000000001,395,12.12502202643176
2016-10-29,105443.29116143094,202,10779039.0,0.123897,97401.0,123,61.948499999999996
2016-10-30,141629.0118792382,390,9899208.0,0.113784,75031.0,255,56.77764708
2016-10-31,123094.86070354948,184,10808967.0,0.124241,70203.0,88,44.11873426214167
2016-11-01,79545.44937647156,150,10605213.0,0.121899,160741.0,90,29.2070004
2016-11-02,122186.06256118197,145,11897946.0,0.136758,70062.0,85,94.63653599999999
2016-11-03,110388.90949608044,196,11712723.0,0.134629,66036.0,127,20.020226712408892
2016-11-04,46599.62887457683,108,10888137.000000002,0.125151,48361.0,68,24.667262100000002
2016-11-05,31193.107919293892,101,10539789.0,0.121147,40596.0,65,20.04619409
2016-11-06,48199.193251202036,72,11103897.0,0.127631,46567.0,46,82.91292653
2016-11-07,53735.306708240016,69,10193964.0,0.117172,46640.0,45,58.468828
2016-11-08,37737.33600268608,126,10284096.0,0.118208,30534.0,80,67.74855104
2016-11-09,54978.72375004588,117,9418620.0,0.10826,71136.0,72,108.15173999999999
2016-11-10,15083.627548759345,57,9860493.0,0.113339,37158.0,44,46.12557283
2016-11-11,23442.058128502245,118,9587313.0,0.110199,43878.0,83,14.141837670000003
2016-11-12,97911.72250490183,219,10075296.0,0.115808,186628.0,160,20.400240831437568
2016-11-13,227813.3541410548,271,15206382.0,0.174786,147178.0,143,174.786
2016-11-14,160122.85267761396,247,14333163.0,0.164749,132463.0,134,82.03441306647632
2016-11-15,352284.21970838396,254,16030881.0,0.184263,149807.0,144,138.30312938491377
2016-11-16,148677.8757864391,131,17864232.0,0.205336,182937.0,87,108.85956210341338
2016-11-17,54883.60388876881,112,14589726.000000002,0.167698,74009.0,51,15.939694900000001
2016-11-18,77253.42777744096,93,14853161.999999998,0.170726,89012.0,60,170.555274
2016-11-19,57453.505866950465,94,15052653.0,0.173019,50539.99999999999,60,114.09076721842898
2016-11-20,50156.29625677528,91,14759724.0,0.169652,47422.0,43,14.76820427633339
2016-11-21,71568.3902426178,125,15158619.0,0.174237,117463.0,89,172.49463
2016-11-22,40944.14958785082,74,15695148.0,0.180404,66930.0,57,168.00059608870285
2016-11-23,50456.95582800679,123,15566649.0,0.178927,35698.0,50,3.1470272009626323
2016-11-24,55118.25147860139,106,15508794.0,0.178262,90454.0,47,8.454519662122852
2016-11-25,27603.397053364864,46,15196377.0,0.174671,38301.0,36,78.05173635
2016-11-26,24182.635311973063,32,14917803.0,0.171469,55140.0,24,181.0213449236221
2016-11-27,53436.709435151635,42,14100960.0,0.16208,53887.0,30,405.2
2016-11-28,29257.930950607148,54,14378229.0,0.165267,68097.0,34,104.614011
2016-11-29,58970.45135372673,88,15204990.0,0.17477,53043.00000000001,50,144.18525
2016-11-30,95612.73243971338,83,14650190.999999998,0.168393,76889.0,51,168.224607
2016-12-01,33719.814201769885,72,15441717.0,0.177491,40443.0,52,177.313509
2016-12-02,40888.73673834228,63,14747544.0,0.169512,114045.0,42,320.0850488271902
2016-12-03,46252.189041644175,60,15724380.000000002,0.18074,38666.0,44,313.17039372284876
2016-12-04,66578.42308256256,52,16128756.0,0.185388,49598.0,38,157.82207048880719
2016-12-05,47660.7653660269,72,15292164.000000002,0.175772,39495.0,54,76.53231262442002
2016-12-06,157498.80468813007,78,15136956.0,0.173988,113209.99999999999,47,263.1304826606335
2016-12-07,35960.54001174914,50,15577698.0,0.179054,86919.0,39,202.9589644027301
2016-12-08,40443.87126051627,72,15332445.0,0.176235,43799.0,57,88.998675
2016-12-09,56200.45591416205,55,15378642.0,0.176766,58674.99999999999,46,94.58417193169481
2016-12-10,43356.41793945723,59,16559493.0,0.190339,61594.00000000001,43,94.979161
2016-12-11,24891.37939001099,50,16872519.0,0.193937,62669.0,36,104.40869712862998
2016-12-12,115462.3063717263,129,17723988.0,0.203724,163716.0,82,203.724
2016-12-13,558120.064218121,116,19852791.0,0.228193,110976.0,71,113.28314940817
2016-12-14,96167.58492783141,103,19685577.0,0.226271,121156.0,58,90.4631458
2016-12-15,33811.87634035914,75,18765639.0,0.215697,46474.0,47,37.215274875714464
2016-12-16,76402.7027648257,66,18620958.0,0.214034,92182.0,46,85.39956600000001
2016-12-17,120249.60668994999,36,19030032.0,0.218736,39330.0,28,557.5580640000001
2016-12-18,61022.1746363407,67,18742758.0,0.215434,47817.0,41,224.14566395205392
2016-12-19,348608.36750635953,179,19750392.0,0.227016,235444.0,103,298.33932416738173
2016-12-20,533873.2784564473,317,25819773.0,0.296779,434289.0,169,148.3895
2016-12-21,377478.11386592436,207,28366350.0,0.32605,332063.0,118,243.7973331553784
2016-12-22,111290.5803038294,86,28201224.0,0.324152,186103.0,62,174.28788942896603
2016-12-23,211539.77412604395,159,25869624.0,0.297352,253068.0,100,29.7352
2016-12-24,118149.6850923173,66,25806810.0,0.29663,77824.0,56,449.39445
2016-12-25,106443.06127062056,77,25230609.0,0.290007,195498.0,53,83.12715116901
2016-12-26,525178.3857354292,92,29916690.0,0.34387,269639.0,70,361.6608847188
2016-12-27,1885713.1916324901,250,27577869.0,0.316987,489820.0,129,747.0511210077301
2016-12-28,283968.90193276,128,24526605.000000004,0.281915,232303.0,80,287.271385
2016-12-29,268206.1735880256,67,20077685.999999996,0.230778,243032.0,56,461.325222
2016-12-30,122571.13266263422,63,23089800.000000004,0.2654,188816.0,46,333.8260915
2016-12-31,66127.3024560849,49,27318000.0,0.314,126240.00000000001,44,191.47719999999998
2017-01-01,51622.70404558987,55,26770161.0,0.307703,198818.0,40,231.617337244325
2017-01-02,39577.47931106739,57,26759373.0,0.307579,104622.0,43,307.271421
2017-01-03,150303.78532141747,102,26368134.0,0.303082,200262.0,69,340.12235120757936
2017-01-04,293237.11528935813,114,30135669.0,0.346387,334070.0,90,401.8417730472867
2017-01-05,97450.81220509234,105,32410283.999999996,0.372532,239714.0,78,246.16914559999998
2017-01-06,103658.51009817801,57,28146501.000000004,0.323523,212100.00000000003,49,290.87566469772696
2017-01-07,573807.1457171338,84,26688381.0,0.306763,320547.0,57,287.5411560115667
2017-01-08,78620.31868477602,72,27917778.0,0.320894,146574.0,50,208.32538015997415
2017-01-09,170053.44741136706,112,30416853.0,0.349619,193212.0,81,262.4906870716895
2017-01-10,101630.6861434976,51,30063111.0,0.345553,125868.0,36,207.3318
2017-01-11,18589.837210233076,43,29063829.0,0.334067,104778.99999999999,31,100.1532866
2017-01-12,97797.66025408058,115,26103479.999999996,0.30004,145360.0,82,150.01999999999998
2017-01-13,183895.73912546824,93,28129274.999999996,0.323325,448483.00000000006,70,323.325
2017-01-14,182466.2097003396,107,31613973.0,0.363379,428672.99999999994,68,182.44832619675
2017-01-15,152417.92879885738,47,30863946.0,0.354758,49399.0,34,106.3564484
2017-01-16,286769.11813139974,119,31227606.0,0.358938,200107.0,75,353.48652862235997
2017-01-17,179084.6868809771,82,29939223.0,0.344129,146942.0,55,327.960098935
2017-01-18,77658.80140564626,64,32000688.0,0.367824,98808.0,50,205.75327877279997
2017-01-19,125203.46720916944,78,32603511.0,0.374753,114886.00000000001,65,172.73064464739744
2017-01-20,63057.15258013306,70,32359736.999999996,0.371951,172686.0,47,161.893076865025
2017-01-21,51148.54354626406,57,33666477.0,0.386971,256883.0,42,94.37835719
2017-01-22,25635.693990919604,72,34839411.0,0.400453,194194.0,37,139.14868962886726
2017-01-23,346794.3686881675,118,34461483.0,0.396109,292189.0,74,115.90423051319
2017-01-24,76699.54581084342,73,34694991.0,0.398793,274221.0,51,198.997707
2017-01-25,67127.64342603224,73,33313692.0,0.382916,115023.0,53,238.27331016
2017-01-26,99385.58363357857,83,32829450.0,0.37735,156016.0,65,190.67746986268602
2017-01-27,67294.51782914872,87,33576519.0,0.385937,72523.0,62,196.79374159108997
2017-01-28,85451.76192763213,71,33819771.0,0.388733,46543.0,52,194.3665
2017-01-29,48350.85784053458,87,34011258.0,0.390934,134521.0,56,92.41661386102
2017-01-30,92646.68704600257,72,34460439.0,0.396097,147226.0,50,112.34583975758
2017-01-31,46849.97575770256,79,33622455.0,0.386465,86496.0,54,180.02526937595846
2017-02-01,76505.48021593419,94,35095104.0,0.403392,165651.0,65,191.52069004949757
2017-02-02,92533.99728628607,89,36514509.0,0.419707,146868.0,68,88.33992936
2017-02-03,135584.37631485495,114,37462983.0,0.430609,422178.0,83,64.160741
