date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses,medianTxValue(USD)
2017-08-01,,6,,,,10,
2017-08-02,,5,,,,10,
2017-08-03,,9,,,,16,
2017-08-04,,9,,,,16,
2017-08-05,,11,,,,10,
2017-08-06,,11,,,,19,
2017-08-07,,7,,,,12,
2017-08-08,,7,,,,12,
2017-08-09,,15,,,,24,
2017-08-10,,6,,,,10,
2017-08-11,,6,,,,12,
2017-08-12,,14,,,,21,
2017-08-13,,3,,,,6,
2017-08-14,,23,,,,36,
2017-08-15,,32,,,,47,
2017-08-16,,19,,,,37,
2017-08-17,,68,,,,97,
2017-08-18,,102,,,,118,
2017-08-19,,96,,,,114,
2017-08-20,,122,,,,127,
2017-08-21,,75,,,,99,
2017-08-22,,443,,,,414,
2017-08-23,,267,,,,250,
2017-08-24,,200,,,,200,
2017-08-25,,301,,,,262,
2017-08-26,,143,,,,129,
2017-08-27,,103,,,,111,
2017-08-28,,253,,,,219,
2017-08-29,,2128,,,,2844,
2017-08-30,61140092.30100263,5535,0.0,0.118854,200829.0,5366,1331.045946
2017-08-31,24864649.246426653,5115,0.0,0.104805,66809.0,5434,1173.8055195
2017-09-01,36554475.29559975,5651,0.0,0.133504,8198750.0,4934,1565.7526279808
2017-09-02,8093807.281341451,1742,52536558.602559455,0.075317,2840680.0,1413,918.3222404905999
2017-09-03,6631962.476856111,4308,43333800.93339511,0.062124,9833750.0,2948,686.8594876212
2017-09-04,12520692.407374173,3678,58898678.42548783,0.084437,3792200.0,2862,1040.1794029999999
2017-09-05,5775443.367654251,2337,24852782.04806842,0.035629,2816840.0,1950,523.5116914306176
2017-09-06,5172994.230902883,2758,26042060.470085472,0.037334,2589559.9999999995,2332,481.722114027
2017-09-07,3258909.355391339,1791,30847275.933325484,0.044223,3608710.0,1666,428.80345496999996
2017-09-08,14517366.688772961,4048,40278976.400439665,0.057744,7482910.0,3167,772.29683928
2017-09-09,19454773.54796863,2613,33000172.582497165,0.047309,2811530.0,2373,767.00946284
2017-09-10,4159209.079192533,1727,33069507.215523537,0.047409,1592969.9999999998,1503,529.3831309227
2017-09-11,3619106.408545871,1363,31591639.39227387,0.04529,1042710.0,1193,679.8481899999999
2017-09-12,7492332.415602391,1254,31070620.00478959,0.044543,316986.0,1192,1150.278432
2017-09-13,8105323.292146123,525,35498787.508695744,0.050891,177864.0,470,507.38327
2017-09-14,2841583.79926162,348,33293172.465312548,0.04773,106673.99999999999,312,413.29407000000003
2017-09-15,329100.55742602324,348,28954159.076917402,0.041509,75715.0,317,366.62568347014997
2017-09-16,793324.2514183995,293,38137489.78067217,0.054674,64551.0,289,306.065052
2017-09-17,440462.8969642585,216,36078213.39642677,0.051722,41447.0,227,303.174373447
2017-09-18,442423.56241502584,283,33098604.9210024,0.047451,56476.99999999999,265,284.658549
2017-09-19,264610.42921845097,231,34093269.69107337,0.048877,45354.0,203,195.45912299999998
2017-09-20,127016.47775858299,180,32009177.164236724,0.045889,19235.0,174,91.77799999999999
2017-09-21,624520.2307309275,247,30607811.70300288,0.04388,52376.0,215,232.94509780000004
2017-09-22,242181.52811795656,243,27121733.00667469,0.038882,82930.0,212,195.1934723
2017-09-23,636042.4081429255,455,31712657.2394385,0.045464,154649.0,330,331.691522944
2017-09-24,462316.2184414046,252,42159340.72807314,0.06044,79280.0,237,508.1761958
2017-09-25,336394.86398921814,231,41283648.63463788,0.059185,72689.0,210,224.31115
2017-09-26,381419.45229880715,281,41139467.65595464,0.058978,51623.0,220,240.62522687
2017-09-27,384516.8468543578,289,41675302.36444167,0.059746,88026.0,244,266.14094684
2017-09-28,747762.5451225364,303,18399348.67230222,0.064295,271944.0,252,335.34844651000003
2017-09-29,1009531.0257237382,478,23127436.728149418,0.080817,356186.99999999994,361,468.2941065
2017-09-30,773836.8268164544,567,25003597.398693927,0.087373,702603.0,391,444.2654931
2017-10-01,3963631.6176197007,1594,35907847.545105144,0.125477,2094370.0,1013,704.553355
2017-10-02,2047491.3322101266,804,50293937.77147335,0.175748,1084100.0,574,878.7399999999999
2017-10-03,3271139.286269024,384,44827504.60618469,0.156646,634171.0,341,310.88956894108657
2017-10-04,1497192.2270749763,645,46513336.43670462,0.162537,966273.0,482,809.271723
2017-10-05,3290344.637571709,934,57690880.05988732,0.201596,2203710.0,570,984.1400309341839
