date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),fees,activeAddresses,medianTxValue(USD),medianFee,paymentCount
2016-04-06,,,0.0,2.04,222502.0,,,,,
2016-04-07,,,0.0,3.92,203863.0,,,,,
2016-04-08,,,0.0,5.01,468420.0,,,,,
2016-04-09,,,0.0,4.06,272260.0,,,,,
2016-04-10,,,0.0,2.44,242123.0,,,,,
2016-04-11,,,0.0,1.37,163666.0,,,,,
2016-04-12,,,0.0,3.14,117448.0,,,,,
2016-04-13,,,0.0,1.29,85572.0,,,,,
2016-04-14,,,0.0,1.0,114725.0,,,,,
2016-04-15,,,0.0,1.19,98647.0,,,,,
2016-04-16,,,0.0,1.2,57511.0,,,,,
2016-04-17,,,0.0,1.23,36480.0,,,,,
2016-04-18,,,0.0,1.66,48480.0,,,,,
2016-04-19,,,0.0,1.02,26391.0,,,,,
2016-04-20,,,0.0,1.85,64546.0,,,,,
2016-04-21,,,0.0,1.33,46650.0,,,,,
2016-04-22,,,0.0,1.65,38998.0,,,,,
2016-04-23,,,0.0,1.82,182681.0,,,,,
2016-04-24,,,0.0,1.27,54516.0,,,,,
2016-04-25,,,0.0,1.42,30326.0,,,,,
2016-04-26,,,0.0,0.773862,16705.0,,,,,
2016-04-27,,,0.0,0.729496,14912.999999999998,,,,,
2016-04-28,,,0.0,0.623713,6141.999999999999,,,,,
2016-04-29,,,0.0,0.739369,14024.0,,,,,
2016-04-30,,,0.0,0.765952,66785.0,,,,,
2016-05-01,,,0.0,1.27,19716.0,,,,,
2016-05-02,,,0.0,0.708871,38309.0,,,,,
2016-05-03,,,0.0,1.18,26812.0,,,,,
2016-05-04,,,0.0,0.725092,51102.00000000001,,,,,
2016-05-05,,,0.0,1.52,34428.0,,,,,
2016-05-06,,,0.0,1.42,15278.0,,,,,
2016-05-07,,,0.0,0.814081,13246.0,,,,,
2016-05-08,,,0.0,0.696016,13948.0,,,,,
2016-05-09,,,0.0,0.789914,10017.0,,,,,
2016-05-10,,,0.0,0.761222,10911.0,,,,,
2016-05-11,,,0.0,0.833497,34101.0,,,,,
2016-05-12,,,0.0,1.22,10514.0,,,,,
2016-05-13,,,0.0,0.816821,12820.0,,,,,
2016-05-14,,,0.0,0.788885,10083.0,,,,,
2016-05-15,,,0.0,0.824801,9419.0,,,,,
2016-05-16,,,0.0,0.829427,6305.0,,,,,
2016-05-17,,,0.0,0.784002,12167.0,,,,,
2016-05-18,,,0.0,0.750652,50865.0,,,,,
2016-05-19,,,0.0,1.89,46746.0,,,,,
2016-05-20,,,0.0,1.42,57689.00000000001,,,,,
2016-05-21,,,0.0,3.41,66490.0,,,,,
2016-05-22,,,0.0,4.08,105457.0,,,,,
2016-05-23,,,0.0,2.74,108656.0,,,,,
2016-05-24,366631099.1536903,11856,0.0,2.96,439909.0,5466.8,9130,3879.3052363012,0.0,11175
2016-05-25,23291469.63125455,9219,62129999.999999985,0.6213,7311180.0,4801.5,5098,131.695071471375,0.1,8175
2016-05-26,10029121.670993425,4785,26966400.0,0.269664,13981800.0,2356.5,2793,52.66176146058528,0.1,4245
2016-05-27,8162579.030258072,3106,51949300.0,0.519493,13013200.000000002,1540.2,1838,87.7000354622132,0.1,2722
2016-05-28,2168289.1751171253,1895,38812800.0,0.388128,7676530.0,1413.0,1100,94.85700897729888,0.1,1620
2016-05-29,981837.5227873684,1584,35364200.0,0.353642,4810200.0,847.3,1041,35.364200000000004,0.1,1263
2016-05-30,1576221.9922685337,2471,38014899.99999999,0.380149,2470160.0,1385.8,1402,48.240908100000006,0.1,2148
2016-05-31,1381422.2651937888,1152,35013999.99999999,0.35014,3073130.0,652.5,770,33.304161338,0.1,955
2016-06-01,1337847.0614331127,792,31452000.000000004,0.31452,2112400.0,453.0,470,27.20598,0.1,670
2016-06-02,572372.0802746379,640,33635100.0,0.336351,1258510.0,447.8,386,20.16787163692788,0.1,498
2016-06-03,668253.8219627979,935,33061700.0,0.330617,3187759.9999999995,284.9,459,66.1234,0.1,869
2016-06-04,1146382.5501185185,1035,41022000.0,0.41022,3251570.0,317.6,542,96.319656,0.1,966
2016-06-05,2147459.783826864,1787,44641800.0,0.446418,4247850.0,409.0,1139,78.04725894,0.1,1700
2016-06-06,1334066.1095171568,1363,48204200.0,0.482042,2878930.0,377.7,977,56.1337909,0.1,1197
2016-06-07,1127770.538843396,675,45222800.0,0.452228,2277500.0,328.6,389,90.40037720000001,0.1,576
2016-06-08,741624.3877979442,849,41946600.0,0.419466,2980240.0,412.1,554,1.2583980000000001,0.1,601
2016-06-09,988566.0862159162,577,47378100.0,0.473781,1844730.0,846.8,363,15.6678018843654,0.1,398
2016-06-10,485538.659053859,501,46116000.0,0.46116,1426460.0,250.1,348,20.7164295619848,0.1,421
2016-06-11,617634.9219785722,492,45748600.0,0.457486,1298720.0,230.1,298,70.99490461792006,0.1,451
2016-06-12,1665998.062077127,1184,45331700.0,0.453317,4868900.0,205.1,798,67.92955245,0.1,1141
2016-06-13,1236876.4732695578,775,42390700.0,0.423907,3322740.0,179.8,549,49.36397015,0.1,728
2016-06-14,445825.234276198,508,46595900.0,0.465959,2677630.0,172.6,344,58.2299450678933,0.1,466
2016-06-15,367467.57397170115,340,47022800.0,0.470228,1291530.0,77.8,205,84.34239409210954,0.1,318
2016-06-16,1233656.6760745985,647,46338900.0,0.463389,2348370.0,112.0,354,34.615158300000004,0.1,630
2016-06-17,810590.7324949126,546,45580900.0,0.455809,4509350.0,161.0,302,113.88387865,0.1,530
2016-06-18,452381.11364542367,481,43518500.0,0.435185,2777730.0,113.1,305,90.71551999624575,0.1,471
2016-06-19,595962.8079618755,1228,34812400.0,0.348124,1392140.0,326.7,988,42.6866139884142,0.1,1197
2016-06-20,352532.0768935606,554,36343200.0,0.363432,1692310.0,209.0,386,57.55727098799999,0.1,530
2016-06-21,611279.2753093968,642,32308100.0,0.323081,1779370.0,177.8,407,80.8994824,0.1,618
2016-06-22,580148.9823989751,713,32858800.0,0.328588,3608690.0,179.9,401,91.64319319671412,0.1,699
2016-06-23,559791.4696969413,652,34807100.0,0.348071,1644910.0000000002,201.4,366,69.4922663778125,0.1,634
2016-06-24,546564.829268425,543,36148300.0,0.361483,2135610.0,110.4,338,77.43843902207,0.1,534
2016-06-25,539101.0811826495,630,37901400.0,0.379014,1435150.0,99.1,377,71.24735058011929,0.1,621
2016-06-26,296600.66549367586,628,35712500.0,0.357125,750518.0,262.1,335,10.6780375,0.1,611
2016-06-27,395177.777867362,455,32318400.000000004,0.323184,973052.9999999999,113.6,277,52.020705100121766,0.1,446
