date,txVolume(USD),adjustedTxVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),realizedCap(USD),generatedCoins,fees,activeAddresses,averageDifficulty,paymentCount,medianTxValue(USD),medianFee,blockSize,blockCount
2011-10-07,,,,,,,0.0,,,,,,,,,
2011-10-08,,,0,,,,0.0,50.0,0.0,1,0.000244140625,0,,,215,1
2011-10-09,,,0,,,,0.0,,0.0,0,,0,,,0,0
2011-10-10,,,0,,,,0.0,,0.0,0,,0,,,0,0
2011-10-11,,,0,,,,0.0,,0.0,0,,0,,,0,0
2011-10-12,,,0,,,,0.0,50.0,0.0,1,0.000244140625,0,,,215,1
2011-10-13,,,92,,,,0.0,484100.0,0.001,9775,0.00373429952558128,52,,0.0,2188856,9682
2011-10-14,,,62,,,,0.0,56100.0,0.002,1530,0.0459976604278075,24,,0.0,295953,1122
2011-10-15,,,438,,,,0.0,38100.0,0.075,1503,0.0625,412,,0.0,310517,762
2011-10-16,,,1415,,,,0.0,45750.0,0.90707077,4844,0.0743073398974529,1348,,0.0,924909,915
2011-10-17,,,1578,,,,0.0,38650.0,0.35624793,3140,0.0903446288818814,1503,,0.0,764402,773
2011-10-18,,,1651,,,,0.0,41300.0,0.37451134,3739,0.0903446288818813,1619,,0.0,832340,826
2011-10-19,,,1388,,,,0.0,32150.0,0.31676977,2624,0.124429864463232,1357,,0.0,702517,643
2011-10-20,,,1851,,,,0.0,37950.0,0.31730384,3739,0.1260397534402,1813,,0.0,854828,759
2011-10-21,,,1681,,,,0.0,41550.0,0.30810998,3175,0.1355335671215,1651,,0.0,790725,831
2011-10-22,,,1505,,,,0.0,36400.0,0.48386862,2892,0.168004429871899,1474,,0.0,742599,728
2011-10-23,,,1562,,,,0.0,41400.0,0.434,3120,0.168004429871899,1538,,0.0,755129,828
2011-10-24,,,1443,,,,0.0,29800.0,0.3396925,2685,0.196395617119834,1415,,0.0,633027,596
2011-10-25,,,1260,,,,0.0,26150.0,0.233,2409,0.22023019406872,1242,,0.0,571751,523
2011-10-26,,,1310,,,,0.0,28850.0,0.32674311,4213,0.22023019406872,1283,,0.0,866683,577
2011-10-27,,,933,,,,0.0,21350.0,0.14011365,1873,0.22023019406872,911,,0.0,424367,427
2011-10-28,,,1388,,,,0.0,22550.0,0.27703041,2616,0.1997301507514,1355,,0.0,724373,451
2011-10-29,,,1522,,,,0.0,29000.0,0.6944783800000001,2930,0.187903202683715,1484,,0.0,784147,580
2011-10-30,,,1749,,,,0.0,36800.0,1.74799645,3196,0.187903202683715,1706,,0.0,772624,736
2011-10-31,,,1779,,,,0.0,33000.0,0.88913483,3724,0.193456086849855,1743,,0.0,857657,660
2011-11-01,,,1980,,,,0.0,43800.0,2.51915163,3927,0.202801184592865,1922,,0.0,999232,876
2011-11-02,,,2348,,,,0.0,61950.0,1.56227332,4539,0.252385487471509,2289,,0.0,1218456,1239
2011-11-03,,,2029,,,,0.0,45200.0,0.30882658,3605,0.38087350710487,1985,,0.0,924031,904
2011-11-04,,,2112,,,,0.0,46550.0,0.31720688,3926,0.422788039847742,2075,,0.0,986921,931
2011-11-05,,,1592,,,,0.0,29650.0,0.23354635,2842,0.618815153346422,1555,,0.0,691053,593
2011-11-06,,,1716,,,,0.0,31350.0,0.35811991,3003,0.618815153346422,1686,,0.0,749117,627
2011-11-07,,,1608,,,,0.0,29200.0,1.34509582,2792,0.618815153346422,1578,,0.0,707160,584
2011-11-08,,,1734,,,,0.0,26700.0,0.29268562,2996,0.640055890087709,1702,,0.0,729085,534
2011-11-09,,,1505,,,,0.0,27150.0,0.85764076,2641,0.642153740630058,1477,,0.0,721765,543
2011-11-10,,,1487,,,,0.0,26300.0,0.21606553,2635,0.642153740630057,1454,,0.0,663385,526
2011-11-11,,,2003,,,,0.0,28850.0,1.2396889500000001,3314,0.634049146687059,17803,,0.0,1335345,577
2011-11-12,,,1295,,,,0.0,29050.0,0.18343287,2413,0.601840372482571,1275,,0.0,582362,581
2011-11-13,,,1572,,,,0.0,27950.0,0.32351137,2861,0.601840372482571,11188,,0.0,1058427,559
