date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses,medianTxValue(USD)
2014-04-22,,12,,,,,
2014-04-23,,9,,,,,
2014-04-24,,35,,,,,
2014-04-25,,1942,,,,,
2014-04-26,,19,,,,,
2014-04-27,,14,,,,,
2014-04-28,288323.67199999996,32,6731717.112991936,0.014875,21809.0,,
2014-04-29,273122.10498,31,8464895.239429297,0.018705,16810.0,,
2014-04-30,61823.2751,17,7713303.773351821,0.017044,17926.0,,
2014-05-01,41183.674784999996,9,7193116.406327764,0.015895,10439.0,,
2014-05-02,35325.24611,6,6370669.403446351,0.014077,8614.0,,
2014-05-03,341.572694,1,6495246.572915902,0.014353,3089.0,,
2014-05-04,1694.900178,3,6160401.621651433,0.013613,13680.0,,
2014-05-05,14861.204601000001,18,5753428.553012681,0.012713,8647.0,,
2014-05-06,8293.483233,8,6036641.995358239,0.013339,730.0,,
2014-05-07,122865.56057500001,28,6025735.215629813,0.013315,17418.0,,
2014-05-08,42069.362256,11,6746466.749536942,0.014908,9497.0,,
2014-05-09,3852.671946,9,6596618.300419256,0.014577,13650.0,,
2014-05-10,23138.505256,13,6251737.237004906,0.013814,4405.0,,
2014-05-11,1786.516372,10,6359961.020144243,0.014054,6910.0,,
2014-05-12,9646.584499999999,8,5458522.283062995,0.012062,5542.0,,
2014-05-13,6928.9659,6,6007633.1560283685,0.013275,6080.0,,
2014-05-14,5144.83224,6,5741356.361352285,0.012687,879.0,,
2014-05-15,5188.7868,3,5888067.799765533,0.013011,2813.0,,
2014-05-16,2919.520377,6,5791182.097671264,0.012797,2095.0,,
2014-05-17,30511.224906,11,5998172.3757078145,0.013254,12887.0,,
2014-05-18,39203.302614,8,6398137.787658802,0.014138,6888.0,,
2014-05-19,0.0,0,5987528.705136005,0.01323,15966.0,,
2014-05-20,35204.858712,11,5209576.72883377,0.011512,2066.0,,
2014-05-21,12069.736499999999,6,5691056.3349871375,0.012575,6240.0,,
2014-05-22,18059.286721,12,4927756.689001929,0.010889,12989.0,,
2014-05-23,21698.254208000002,10,5166171.549081535,0.011416,15274.0,,
2014-05-24,16639.989883000002,6,7014205.355877946,0.015499,1220.0,,
2014-05-25,4188.107594,5,6644067.0488285525,0.014681,3954.0,,
2014-05-26,7670.741596,5,6210613.536967679,0.013724,2427.0,,
2014-05-27,11681.76462,6,6527211.260160803,0.014423,11397.0,,
2014-05-28,8077.2977710000005,4,6126333.202719054,0.013537,5516.0,,
2014-05-29,2009.684792,5,6363647.033452717,0.014062,4178.0,,
2014-05-30,11028.805413999999,9,5938985.071948641,0.013123,8219.0,,
2014-05-31,0.0,0,5779930.085883692,0.012772,21368.0,,
2014-06-01,33429.90131,6,7543996.8584532,0.01667,11695.0,,
2014-06-02,14395.197712,6,6524084.21557539,0.014416,9593.0,,
2014-06-03,5819.12032,4,6648039.79586355,0.01469,12815.0,,
2014-06-04,15837.656892,6,6739317.394371067,0.014892,11723.0,,
2014-06-05,18003.759345,7,6545099.991086105,0.014463,8960.0,,
2014-06-06,2628.98322,12,8037607.935570396,0.017761,6240.0,,
2014-06-07,21072.978981999997,4,8260527.481808454,0.018253,11484.999999999998,,
2014-06-08,0.0,0,8458568.717379875,0.018691,2477.0,,
2014-06-09,19603.297968,7,8606414.372301685,0.019018,8295.0,,
2014-06-10,11001.873429000001,5,8570890.261589404,0.018939,1822.0,,
2014-06-11,678.2720879999999,3,8065842.027748872,0.017823,4882.0,,
2014-06-12,2608.5249999999996,2,7817843.056795856,0.017275,4885.0,,
2014-06-13,1167.522997,6,7559071.302857475,0.016703,3453.0,,
2014-06-14,34030.200385000004,5,7784217.235180412,0.017201,10202.0,,
2014-06-15,5653.044684,6,7669599.39442231,0.016947,4319.0,,
2014-06-16,7404.7202879999995,3,7175543.210341335,0.015856,13530.0,,
2014-06-17,0.0,0,7606241.088916956,0.016807,12490.0,,
2014-06-18,5513.924196000001,5,7153592.116718392,0.015807,7829.0,,
2014-06-19,13801.528248,11,6711088.341661988,0.014829,3623.0,,
2014-06-20,3006.022307,7,6563132.337780647,0.014503,21763.0,,
2014-06-21,1415.11851,3,6318490.778211806,0.013962,2199.0,,
2014-06-22,7648.104807,7,6243865.7140113795,0.013797,1991.0,,
2014-06-23,93545.800432,11,6360992.256004259,0.014056,3104.0,,
2014-06-24,3731.44644,4,6804269.151479041,0.015035,2056.0,,
2014-06-25,3238.616069,5,6445522.091916696,0.014243,4395.0,,
2014-06-26,3710.2589369999996,5,6376727.481687015,0.014091,5826.0,,
