date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses,medianTxValue(USD)
2017-09-06,,4,,,,5,
2017-09-07,,,,,,,
2017-09-08,,,,,,,
2017-09-09,,,,,,,
2017-09-10,,,,,,,
2017-09-11,,,,,,,
2017-09-12,,,,,,,
2017-09-13,,,,,,,
2017-09-14,,,,,,,
2017-09-15,,,,,,,
2017-09-16,,4784,,,,3117,
2017-09-17,3151564.1687081754,1575,0.0,0.025794,688849.0,1424,309.528
2017-09-18,1392261.812006628,815,0.0,0.024788,378063.0,762,297.456
2017-09-19,1158205.9393261578,488,0.0,0.024657,181704.0,422,566.0754059999999
2017-09-20,1327882.653538606,340,0.0,0.018221,270725.0,321,401.020012512
2017-09-21,3235724.374253303,639,0.0,0.022643,388624.99999999994,506,893.2255925999999
2017-09-22,1180609.0494678835,334,0.0,0.019982,277907.0,280,793.2674162
2017-09-23,591175.3620647911,197,0.0,0.018566,235828.0,174,408.452
2017-09-24,754899.0205096727,321,0.0,0.018695,287243.0,279,737.4840989999999
2017-09-25,949796.5172048138,306,0.0,0.014452,430900.0,294,570.1053863999999
2017-09-26,1163338.2460537707,261,0.0,0.015623,383967.0,232,616.2992286
2017-09-27,1052110.8224711185,244,0.0,0.015235,311665.0,238,600.993327
2017-09-28,687309.6228524565,192,18067917.637902483,0.015718,334318.0,189,320.859393
2017-09-29,982114.4458086493,455,18719872.08621405,0.016285,323597.0,434,223.31641018008906
2017-09-30,522576.5560903426,486,16614989.07611732,0.014454,253371.0,483,229.39058795607602
2017-10-01,276096.11496801703,340,16458643.146769917,0.014318,251323.00000000003,332,286.36
2017-10-02,265637.98659718345,203,16030703.231907269,0.013945,357266.0,221,336.2439441982832
2017-10-03,365970.3574429266,226,15061490.020904927,0.013102,414285.0,220,516.847696
2017-10-04,272134.2271693081,114,16120804.193719152,0.014024,214878.0,138,439.7773299600029
2017-10-05,273019.97668145044,285,31842334.320564244,0.014004,240712.99999999997,202,98.028
2017-10-06,312910.48372377065,307,32890331.721135166,0.014465,282123.0,238,152.43217
2017-10-07,258842.22669748802,285,32749355.49699107,0.014403,203767.0,244,172.994433
2017-10-08,247628.67157101323,166,32748169.644785915,0.014403,199540.0,135,288.06
2017-10-09,426199.7743746912,201,32968490.85129374,0.014499,314901.0,172,324.1474250977402
2017-10-10,255125.74321830465,170,23044312.630387463,0.010135,233675.00000000003,153,148.70072
2017-10-11,319358.24992435804,128,26135029.833333332,0.011494,225843.0,118,182.65431485000002
2017-10-12,179817.56657790334,202,23654943.4061189,0.010404,290955.0,159,300.9221748
2017-10-13,829402.0979650104,306,22162037.285422023,0.009747,469195.0,244,584.82
2017-10-14,12088747.838138048,3795,41749264.44857845,0.018361,17462400.0,2185,724.3120724
2017-10-15,1201008.1744071983,422,44703339.470405206,0.019661,3427730.0,262,600.5011531775018
2017-10-16,1565734.6171980503,349,31320730.340807904,0.013775,1971230.0,216,261.725
2017-10-17,252895.29973742733,223,28106881.435761344,0.012362,925906.0,156,148.319276
2017-10-18,578840.5881666804,195,24846919.987569693,0.010928,557323.0,145,172.35372731749922
