date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses,medianTxValue(USD)
2017-06-29,,2,,,,3,
2017-06-30,,1,,,,2,
2017-07-01,,,,,,,
2017-07-02,,,,,,,
2017-07-03,,,,,,,
2017-07-04,,,,,,,
2017-07-05,,,,,,,
2017-07-06,,,,,,,
2017-07-07,,,,,,,
2017-07-08,,496,,,,259,
2017-07-09,4539318.322807543,130,25791762.850299403,1.22,2843520.0,84,2710.8277999999996
2017-07-10,2971626.009561281,135,35928260.0,1.7,6413810.0,83,1756.611893919
2017-07-11,2393460.4703443768,105,44238676.06811146,2.1,17349300.0,79,1049.979
2017-07-12,4668189.235372547,155,69347187.3027027,3.29,43670400.0,110,6580.0
2017-07-13,1166942.756221084,116,77004207.68882175,3.65,8436170.0,67,1700.4190277105
2017-07-14,1183930.5320324625,76,68608219.01544403,3.25,13049400.0,56,2453.75
2017-07-15,2891300.0393545064,52,54818949.372384936,2.6,1652160.0000000002,41,391.28700000000003
2017-07-16,1122806.073940914,39,50925610.84507043,2.42,498244.0,28,726.0
2017-07-17,574693.2161302372,74,44742524.41739131,2.12,1740580.0,52,604.0099567340001
2017-07-18,1123221.3126388686,81,72111282.12765957,3.42,1624240.0,61,342.0
2017-07-19,1983368.2963947218,54,70302075.08333333,3.33,1582240.0,39,673.0074299722501
2017-07-20,153691088.88829234,69,68102793.78502417,3.23,1406890.0,56,381.1553646901
2017-07-21,835675.6271288263,57,87096646.75925925,4.13,962166.0,44,723.7250163059
2017-07-22,919096.2006175781,59,79532650.84275183,3.77,640571.0,46,2229.3369083115
2017-07-23,554954.8549070655,39,85425909.72877358,4.05,526299.0,39,664.024549059
2017-07-24,423702.0575372,48,87746925.80674157,4.16,1170890.0,40,985.8784
2017-07-25,211301417.75596008,126,93466280.62773721,4.43,2000849.9999999998,68,693.5062299309999
2017-07-26,6108773.179799861,105,87076035.9516129,4.13,688758.0,65,346.92
2017-07-27,455842.47705708805,88,92814812.94403893,4.4,747201.0,69,378.823924512
2017-07-28,393383.9742731616,98,86940676.64957266,4.12,727796.0,55,301.94347
2017-07-29,1909998.9632232399,84,74471430.94147581,3.53,773633.0,58,922.5629441035
2017-07-30,2491081.8321952415,52,81867371.0989011,3.88,1298790.0,37,201.9583513424
2017-07-31,2495454.193997815,79,69250525.39660057,3.59,688906.0,52,351.0569702351
2017-08-01,331017.35229988187,42,69591865.94601542,3.61,1069850.0,38,645.1673970328
2017-08-02,496595.81901396834,63,74850413.0726257,3.88,680319.0,49,1163.9612
2017-08-03,142524.79952594888,50,69283461.54871795,3.59,396523.0,31,699.5310133014
2017-08-04,165095.694354745,85,74304262.16216215,3.85,577748.0,47,473.5115
2017-08-05,700301.8153846639,108,78525209.31009614,4.07,885587.0,64,1017.5000000000001
2017-08-06,738504.3102142784,142,80325749.51843818,4.16,884380.0,74,648.1842517696
2017-08-07,335296.7395818618,119,88394549.96062993,4.58,1179490.0,88,265.64
2017-08-08,3854994.9923855755,110,98314647.22874494,5.09,626820.0,86,765.0926676679
2017-08-09,485164.27877823624,71,95398898.33112583,4.94,494339.0,60,497.06395986260003
2017-08-10,418011.91079294553,114,89498321.71228069,4.64,1699689.9999999998,98,643.1068155752
2017-08-11,5022441.59160995,188,110242089.96143617,5.71,8651990.0,155,1281.09335691215
2017-08-12,2163940.2297075423,173,145098815.6659341,7.52,6038650.0,126,752.0
2017-08-13,1373670.5074864973,116,176472469.98715207,9.14,3063580.0,93,600.449087747
2017-08-14,1765618.21037668,126,180519855.83743843,9.35,2895710.0,103,1201.55227340225
2017-08-15,2287764.0132761304,87,152840932.0056101,7.92,1793580.0,68,1250.5877760023998
2017-08-16,1199069.119134838,123,138520896.50992686,7.18,1803970.0,94,758.936633221
2017-08-17,2206543.3785998123,210,183046612.512,9.48,8980110.0,163,625.7748804852
2017-08-18,1387746.225494631,171,193674513.34870315,10.03,4491210.0,126,901.3011397713999
2017-08-19,8094213.714401214,186,204901092.25074625,10.62,8207440.0,142,1939.3713
2017-08-20,1709705.8533718998,105,193079431.62393165,10.0,2761560.0,90,435.9431408
2017-08-21,1129877.1290042545,144,178355366.73202613,9.24,2593030.0,113,415.7076
2017-08-22,376243.6459677,122,177611148.26395938,9.2,1520480.0,90,717.5079999999999
2017-08-23,10268955.543434953,183,188472553.84905657,9.77,1220680.0,143,1299.4099999999999
2017-08-24,3233315.435279337,139,173875896.3016983,9.01,1562100.0,91,796.7649498200001
2017-08-25,680147.7038169109,188,194262423.53099176,10.07,961836.0000000001,128,461.20585403535006
2017-08-26,990484.9106501953,168,185908819.13681105,9.63,1025559.9999999999,128,454.37299583085
2017-08-27,1316393.3955956495,154,196072176.6458123,10.16,1262120.0,109,741.3725960936
2017-08-28,2340135.621814511,188,191809539.1298838,9.94,1806910.0,141,379.152653691
2017-08-29,328770.1979396084,180,182717271.1700535,9.47,2137900.0,138,407.21000000000004
2017-08-30,485791.3671462954,212,182843735.83953243,9.47,1099310.0,151,473.50000000000006
2017-08-31,795962.42305052,191,182189211.3569937,9.44,1511690.0000000002,150,471.9056
2017-09-01,3062026.82297885,340,184683945.69492808,9.57,11796600.0,258,451.06522312335
