date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses,medianTxValue(USD)
2017-07-24,,51,,,,50,
2017-07-25,,18,,,,20,
2017-07-26,,,,,,,
2017-07-27,,,,,,,
2017-07-28,,,,,,,
2017-07-29,,,,,,,
2017-07-30,,1,,,,2,
2017-07-31,,3,,,,4,
2017-08-01,,,,,,,
2017-08-02,,,,,,,
2017-08-03,,12,,,,18,
2017-08-04,,18,,,,22,
2017-08-05,,26,,,,32,
2017-08-06,,8,,,,13,
2017-08-07,,38,,,,36,
2017-08-08,,15,,,,17,
2017-08-09,,2,,,,2,
2017-08-10,,4,,,,3,
2017-08-11,,2,,,,4,
2017-08-12,,3,,,,6,
2017-08-13,,12,,,,15,
2017-08-14,,9,,,,17,
2017-08-15,,8,,,,10,
2017-08-16,,8,,,,7,
2017-08-17,,2,,,,4,
2017-08-18,,5,,,,9,
2017-08-19,,13,,,,17,
2017-08-20,,,,,,,
2017-08-21,,,,,,,
2017-08-22,,20,,,,20,
2017-08-23,888803.258344,21,162441645.99078342,4.58,995797.0,14,1449.1825319999998
2017-08-24,134378.307139,11,154983320.12249443,4.37,441121.0,12,151.639
2017-08-25,239000.119597,11,159519870.17206478,4.49,1231690.0,13,1295.5895
2017-08-26,427410.11354600004,11,175456914.48154658,4.94,1828830.0,18,1484.4206000000001
2017-08-27,93559.34403999998,7,201819154.9640288,5.68,1058870.0,7,373.0056
2017-08-28,666644.787314,10,196486131.00591713,5.54,1046260.0000000001,16,19175.325
2017-08-29,191122.07076300003,6,179856886.88588008,5.07,644801.0,10,3244.7896065
2017-08-30,20541.380409,7,183472015.66420662,5.17,277276.0,9,1051.41256
2017-08-31,347.49517000000003,1,192462281.46025878,5.42,934.0,2,347.49517000000003
2017-09-01,105.59718947368422,2,190245553.1320309,5.357543859649123,92150.94736842105,4,52.79859473684211
2017-09-02,1158300.5974491227,2,188028824.803803,5.2950877192982455,183367.8947368421,3,579150.2987245613
2017-09-03,520.6468421052632,1,185812096.47557512,5.232631578947369,274584.84210526315,2,520.6468421052632
2017-09-04,341227.7468133333,35,183595368.1473472,5.170175438596491,365801.7894736842,29,3994.888572807017
2017-09-05,713445.2611122808,33,181378639.81911933,5.107719298245614,457018.7368421052,30,3579.602054035088
2017-09-06,370782.1057568421,29,179161911.49089146,5.045263157894737,548235.6842105263,32,1375.0884917894737
2017-09-07,604414.705488772,28,176945183.16266355,4.98280701754386,639452.6315789473,19,5904.6599497368425
2017-09-08,712186.0227664211,46,174728454.83443567,4.920350877192982,730669.5789473684,37,2952.1367210526314
2017-09-09,1364199.9601510528,110,172511726.50620776,4.8578947368421055,821886.5263157894,74,968.9185213157895
2017-09-10,2413936.0161633333,228,170294998.1779799,4.795438596491228,913103.4736842104,196,971.3978499473684
2017-09-11,10847535.814100387,499,168078269.84975198,4.732982456140351,1004320.4210526316,385,1883.7270175438598
2017-09-12,1257515.4585647369,169,165861541.5215241,4.670526315789473,1095537.3684210526,147,934.1052631578947
2017-09-13,1199868.9615527368,84,163644813.19329622,4.608070175438597,1186754.3157894737,65,1382.421052631579
2017-09-14,564582.37194,60,161428084.86506832,4.545614035087719,1277971.2631578946,51,659.984065614035
2017-09-15,572425.3121234737,45,159211356.53684044,4.483157894736842,1369188.2105263157,50,452.3506315789474
2017-09-16,177962.25470101755,26,156994628.20861253,4.420701754385965,1460405.1578947369,27,495.13473205263153
2017-09-17,42704.51981242105,29,154777899.88038465,4.358245614035088,1551622.1052631577,30,435.82456140350877
2017-09-18,201840.9400943158,34,152561171.55215675,4.295789473684211,1642839.0526315789,35,1289.5880527894737
2017-09-19,107300.37595,18,150344443.22392887,4.233333333333333,1734056.0,21,1519.6396666666667
2017-09-20,59479.64214985964,23,148127714.895701,4.170877192982456,1825272.947368421,24,417.0877192982456
