date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses,medianTxValue(USD)
2017-07-06,,12,,,,8,
2017-07-07,,2,,,,2,
2017-07-08,,545,,,,316,
2017-07-09,,3307,,,,2066,
2017-07-10,,2747,,,,1948,
2017-07-11,,892,,,,637,
2017-07-12,,617,,,,399,
2017-07-13,,1023,,,,544,
2017-07-14,14286533.2823614,1218,0.0,0.534731,750697.9999999999,661,1171.94319615
2017-07-15,9965338.357997082,761,57654693.345219,0.586446,1552730.0,423,896.6055604800001
2017-07-16,9306797.560436156,1286,42380445.7190275,0.431081,1743630.0,574,666.7960908
2017-07-17,5882562.191755118,1206,37524126.42507541,0.381684,4273090.0,603,485.3710360815173
2017-07-18,9701371.017344093,1579,56453123.8479901,0.574224,8394650.0,735,887.3770583999999
2017-07-19,10016889.965631552,1126,74647336.38325019,0.75929,4236020.0,472,1030.835209270629
2017-07-20,4861050.845843868,720,58605665.172047175,0.596119,3376440.0,320,856.7733528674479
2017-07-21,4124116.555072372,691,65844871.271605976,0.669754,2140420.0,305,1242.641835972277
2017-07-22,8314301.439014487,899,72951257.9757859,0.742038,3596130.0,393,1483.333962
2017-07-23,8228383.098786574,1718,86214241.92510784,0.878973,15198100.000000002,798,878.973
2017-07-24,16537411.83519657,2178,148152300.9342105,1.51,12526000.0,992,1509.2450000000001
2017-07-25,7903754.307005362,1310,150765925.09756097,1.53,8132390.0,624,1529.2350000000001
2017-07-26,5963105.218013582,980,120503054.25619835,1.23,4740910.0,418,1229.385
2017-07-27,4355127.986986987,872,119157535.63043478,1.21,5379280.0,416,1209.395
2017-07-28,5206595.600654807,943,135802844.01680672,1.38,5438700.0,400,1380.0
2017-07-29,3636064.468967318,630,117167709.5859375,1.19,2651230.0000000005,314,1189.9881
2017-07-30,1584515.655383073,610,124348590.56198348,1.27,1749290.0,281,1009.1534300000001
2017-07-31,2840004.2760908683,567,117532264.3902439,1.2,2153100.0,284,782.21484
2017-08-01,1701358.2206420123,662,120249989.80451128,1.22,4360060.0,307,679.3353007750001
2017-08-02,6702471.788763314,835,131613056.05797103,1.34,3708080.0,413,1261.7250323536
2017-08-03,12755075.329110038,2009,135865792.68367347,1.38,18348800.0,981,1337.2199999999998
2017-08-04,28592341.08541474,4219,192036296.0326087,1.95,44051500.0,2157,1578.798301314
2017-08-05,81155983.85812311,6752,274466062.19667596,2.79,95593696.00000001,3358,1642.0738794655501
2017-08-06,42289000.77249012,3102,356339889.10545456,3.62,39669900.0,1772,2015.9479749959999
2017-08-07,24689853.69300137,2845,265808185.71428573,2.7,34417900.0,1455,1349.9730000000002
2017-08-08,29538657.285187885,4587,309762655.55401665,3.15,49778700.0,2136,1575.0
2017-08-09,23474788.195624888,2935,355739949.73913044,3.62,24783900.0,1214,1809.9638
2017-08-10,52118713.95913263,7673,334968683.54637444,3.41,234692992.00000003,3224,1046.8174860000001
2017-08-11,131200832.48394148,6679,585953440.6804979,5.96,200287007.99999997,3243,1156.054875844
2017-08-12,50955758.47871217,5276,707973505.0080775,7.2,87590304.0,2536,1468.779423012
2017-08-13,66440944.97965787,4979,607861587.112392,6.18,128909000.0,2337,1537.3457613708
2017-08-14,40939174.04278358,4382,675936763.8290598,6.88,85191296.0,2189,1371.4232095848
2017-08-15,37963955.13260611,3830,682552649.464873,6.94,67045700.0,1983,1387.3753968770002
2017-08-16,54108859.40901974,5940,655731589.2040586,6.67,204580000.0,3020,1192.85204098985
