date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses,medianTxValue(USD)
2018-09-10,,35,,,,16,
2018-09-11,,8,,,,9,
2018-09-12,,11,,,,13,
2018-09-13,,10,,,,13,
2018-09-14,,,,,,,
2018-09-15,,,,,,,
2018-09-16,,2,,,,3,
2018-09-17,,8,,,,11,
2018-09-18,,17,,,,22,
2018-09-19,,33,,,,32,
2018-09-20,,18,,,,21,
2018-09-21,,35,,,,35,
2018-09-22,,8,,,,10,
2018-09-23,,2,,,,3,
2018-09-24,,29,,,,25,
2018-09-25,,8,,,,12,
2018-09-26,,7,,,,8,
2018-09-27,6986932.254115751,26,0.0,0.997747,18084600.0,17,10875.4423
2018-09-28,4164492.8850562833,96,0.0,0.99694,14445200.0,65,29.9082
2018-09-29,626647.47951,40,0.0,1.0,12641400.0,37,996.96685
2018-09-30,7000754.944672,84,0.0,1.0,24168200.0,78,167.02765
2018-10-01,5599231.03,44,0.0,1.0,10192600.0,31,65263.0
2018-10-02,554540.0652843748,22,0.0,0.997961,3671040.0,20,1214.3788224599998
2018-10-03,3184266.37975,39,0.0,1.0,2526330.0,39,986.8483
2018-10-04,6711018.1038,42,0.0,1.01,3735650.0,38,592.668
2018-10-05,2882290.42391,27,0.0,1.0,11916300.0,22,123.6
2018-10-06,86911.6,3,0.0,1.0,12614100.0,4,25896.6
2018-10-07,94.65391,6,0.0,1.0,12880100.0,10,11.126955
2018-10-08,3765056.29992998,22,0.0,1.0,14762500.0,21,109.94
2018-10-09,5122886.0939196,44,13495851.267326733,1.02,12885600.0,39,2547.858
2018-10-10,753461.54097,34,13231884.158415841,1.0,4300970.0,36,108.53
2018-10-11,5607750.516140492,82,13446463.0,1.01,52747000.0,50,4234.323394
2018-10-12,37295737.9319192,96,21357075.0,1.01,31630200.0,51,15103.2067
2018-10-13,7625953.0891209,52,23975535.0,1.01,16169700.0,39,4331.181687
2018-10-14,1693052.5595391,33,23954210.598039214,1.01,25629000.0,26,4441.068677
2018-10-15,53101015.4629056,189,36458481.00000001,1.02,26404800.0,98,6915.6122399999995
2018-10-16,67192129.5453281,171,51346678.441176474,1.03,18049200.0,100,5898.9910637
2018-10-17,40875457.4459352,129,64472744.73267327,1.02,16751300.0,88,7192.6524
2018-10-18,20646887.94025179,124,41925778.0,1.01,20209700.0,79,12190.5485
2018-10-19,62160169.80038639,217,42006765.0,1.01,17583200.0,182,20.604
2018-10-20,23585393.254288476,462,41846453.0,1.01,10019600.0,437,10.403
2018-10-21,2199648.715408055,362,41978939.0,1.01,14796700.0,348,10.4636
2018-10-22,32700076.14218868,251,41809490.0,1.01,19751400.0,162,7008.3294
2018-10-23,40823810.0049226,128,79390775.0,1.01,19929900.0,88,6061.161499999999
2018-10-24,14144831.018685037,102,79373507.0,1.01,15514100.0,73,12625.0
2018-10-25,7006135.233948206,167,97179017.0,1.01,21052100.0,131,404.6363
2018-10-26,44705545.56557831,1580,96833851.0,1.01,18251500.0,1471,0.48682
2018-10-27,16029184.759590102,196,96716552.0,1.01,26526700.0,111,7109.0369040000005
2018-10-28,8218999.106749497,64,96787701.0,1.01,20093500.0,59,11965.8235
2018-10-29,25006710.96552111,207,107540393.0,1.01,24948600.0,118,15805.781283999999
2018-10-30,68803698.31895322,240,113148843.58,1.01,27944200.0,113,25250.0
2018-10-31,54142592.96128165,285,109682190.37013076,1.01,40036600.0,143,16348.716682
2018-11-01,40378629.80377213,427,111291357.03128415,0.998617,30620400.0,329,16.646945390000003
2018-11-02,73346622.4003636,452,133748373.21124788,1.01,44779500.00000001,207,16465.121
2018-11-03,12767102.85258952,231,133027642.91005704,0.99984,41278200.0,133,9054.430759248
2018-11-04,9582294.166990079,152,132719235.26741755,0.997522,56330100.0,82,10510.3724978518
2018-11-05,42298419.397485346,259,130804095.08850205,0.976401,50824900.0,133,15401.2729879521
2018-11-06,52490579.30518677,237,134316764.59326643,0.998211,56682400.0,132,14972.165790788998
2018-11-07,69791222.72753802,601,135726195.98790696,0.998879,58709200.0,396,103.2840886
2018-11-08,64463722.22592588,518,133990647.1490897,0.995461,50134300.0,152,14589.3508883679
2018-11-09,66023820.163032755,460,135302763.70172098,0.999493,46708600.0,140,16181.1755825148
