date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses,medianTxValue(USD)
2017-06-27,,,0.0,25.22,303595.0,,
2017-06-28,,,0.0,48.06,97388.0,,
2017-06-29,,,0.0,22.03,98291.99999999999,,
2017-06-30,,,0.0,42.68,50486.0,,
2017-07-01,,,0.0,39.41,47036.99999999999,,
2017-07-02,,,0.0,32.4,23087.0,,
2017-07-03,,,0.0,28.13,54180.0,,
2017-07-04,,,0.0,43.95,54173.00000000001,,
2017-07-05,,,0.0,53.52,81559.0,,
2017-07-06,,,0.0,63.43,57748.0,,
2017-07-07,11042591487.079273,7906,0.0,73.06,17115200.0,4567,72986.94
2017-07-08,33078422.200533826,5739,116481386.86363637,1.11,9172650.0,3674,867.0210000000001
2017-07-09,17437166.55845992,3635,116174053.6542766,1.11,5116090.0,2467,699.1890000000001
2017-07-10,11046555.879070286,2915,94454111.71823049,0.902474,4091090.0,2026,757.626923
2017-07-11,4965700.629765019,1919,73249310.53603531,0.69987,2728010.0,1294,482.32998879210004
2017-07-12,1830386.4790274072,1431,69341885.85206896,0.662536,2263570.0,989,331.26800000000003
2017-07-13,2139571.3660636665,1278,83731874.03969984,0.800027,1315660.0,966,435.0083299820335
2017-07-14,2127376.292882496,1444,75295858.24608001,0.719424,888570.0000000001,1048,452.87740799999995
2017-07-15,1784237.4076175764,920,70683016.05613637,0.67535,658322.0,741,512.59065
2017-07-16,2908472.0522731626,1490,62658947.1672895,0.598683,762642.0,1036,401.8511358328765
2017-07-17,2663609.088137215,1558,59503199.11972848,0.568531,1064690.0,1049,477.36705415
2017-07-18,4527285.182600087,1207,74222870.35866617,0.709172,1299010.0,789,435.77910228
2017-07-19,3571651.363292296,929,74153584.46008818,0.70851,892973.0,636,566.808
2017-07-20,2409388.556376328,844,65549378.044033304,0.6263,1104700.0,581,526.02937
2017-07-21,1653940.0948247905,858,73710448.28738728,0.704276,941278.0,601,624.1481479291687
2017-07-22,1262944.6292019815,782,70178547.8637781,0.67053,1105650.0,601,393.52278372108026
2017-07-23,2291917.245334221,1177,85817564.51051712,0.819955,1372810.0,751,474.753945
2017-07-24,9553556.490791406,2574,94526726.38334578,0.903438,6187510.0,1699,603.17586351
2017-07-25,3296609.072949171,1335,111987601.446364,1.07,3183140.0,917,850.4632059805
2017-07-26,1346782.9589261827,869,89010571.60708326,0.850463,1773700.0,630,374.0877256065689
2017-07-27,5417756.181884374,874,102010553.41463041,0.974673,1375970.0,634,642.25368747729
2017-07-28,1794078.11098555,743,101797358.33911125,0.972636,1532520.0,541,439.0988627318177
2017-07-29,1372484.569715457,658,93914058.48981604,0.897314,821267.0,458,439.23071643
2017-07-30,1441066.9561709482,739,97233705.87658206,0.929032,761095.0,474,597.595367883047
2017-07-31,3734234.1469991338,578,93312779.67458285,0.891569,927682.0,446,344.145634
2017-08-01,1250144.116587788,587,92762575.2314972,0.886312,1974540.0,428,423.77349990247995
2017-08-02,1655536.7894171248,720,98720105.66642399,0.943234,1214640.0,541,482.58980456558754
2017-08-03,2036375.981599358,899,96641533.52760395,0.92494,2287810.0,655,622.724010473462
2017-08-04,4752178.841450812,1905,105633844.21259843,1.01,6686840.0,1231,663.3764290358
2017-08-05,20382065.775799166,6498,130535115.29680365,1.25,20158400.0,3476,1035.2546368875
2017-08-06,28274867.880371828,5225,224550609.08287296,2.14,22959900.0,3068,1271.41252
2017-08-07,16046960.113553317,3049,193358017.5365854,1.85,17232100.0,1783,1109.9630000000002
2017-08-08,8254974.731853607,2126,216086184.11764708,2.06,11213800.0,1316,1033.502
2017-08-09,5743814.852890655,1977,230273259.43661976,2.2,8207280.0,1141,1100.0
2017-08-10,22069364.541984554,3827,224024621.33096087,2.14,36245500.0,1912,1070.0
2017-08-11,41701680.51917716,5717,300231093.6725664,2.87,72243200.0,3600,1148.0
2017-08-12,77508620.26270515,8355,472198379.07494646,4.51,144768992.0,5127,1639.7428497964256
2017-08-13,31501925.49122431,3715,497021558.6594911,4.75,63744900.0,2349,1423.1000000000001
2017-08-14,29966146.598112658,3229,533657302.0742358,5.1,40308400.0,2066,1305.09
2017-08-15,21832869.761299804,2831,478276708.3414044,4.57,32234900.0,1802,1371.0
2017-08-16,16969386.519158356,2475,434186072.05756927,4.15,38520100.0,1697,1203.5
2017-08-17,14720451.099192126,2779,492184497.3892774,4.7,27541400.0,1734,1410.3377059040001
2017-08-18,17123814.330236293,2794,448211300.5494506,4.28,27194300.0,1766,1284.0843673600002
2017-08-19,16589137.355716836,2998,381787101.572104,3.65,29938900.0,1704,1251.07499712525
2017-08-20,19224822.554242067,2367,436257699.40000004,4.17,21808800.0,1412,1251.08219904
2017-08-21,11876149.194152873,2490,422355717.92349726,4.04,17514800.0,1572,1048.9859999999999
2017-08-22,10547154.68079527,1986,381381591.8866856,3.64,15464100.000000002,1379,790.840146005
2017-08-23,7276355.307092576,2273,371875971.31578946,3.55,16820800.0,1483,710.0
2017-08-24,22231437.22387812,2498,380309947.6121884,3.63,13663200.0,1868,1361.23185
2017-08-25,304637271.0265556,1768,380004618.17241377,3.63,10738900.0,1275,732.6292028483999
2017-08-26,5130354.817996824,1793,368635825.38378376,3.52,13238500.0,1158,792.0
2017-08-27,6622019.80168648,1688,386213106.87499994,3.69,9396920.0,1145,738.0735778251
2017-08-28,9229548.949491074,2226,378686012.6366048,3.62,19053600.0,1340,1086.0
2017-08-29,22533954.821780004,3842,395280248.5531914,3.78,55100500.0,2182,1209.1475950848
2017-08-30,24519999.07114319,3582,441079932.7678161,4.21,38732600.0,2333,1382.9590607375499
2017-08-31,16344325.341799596,2274,453699264.0655738,4.34,18249400.0,1607,872.3796779725999
2017-09-01,12402903.711842509,2342,448004160.39000005,4.28,19597000.000000004,1619,795.3811945132001
2017-09-02,11380055.01788651,2243,419212736.6666666,4.0,17736200.0,1408,1035.4012
2017-09-03,13077057.803878546,2216,379011324.4815864,3.62,13885000.0,1379,1048.6271199999999
2017-09-04,32184180.873529024,4725,369788948.28,3.53,25177900.0,2898,1235.4647
2017-09-05,12422151.75801965,3588,289161994.80821913,2.76,15330600.0,2332,823.864968
2017-09-06,23682768.694185644,4373,306775345.67340064,2.93,13894900.0,3177,914.76230545
2017-09-07,11888286.26811145,3244,309338626.591195,2.96,10850500.0,2394,591.982536
2017-09-08,15879044.37489768,6921,333263072.7912088,3.18,11828700.0,5064,596.6703324
2017-09-09,9586856.713327017,3750,289210338.9213483,2.76,5556020.0,2657,509.77557115019994
2017-09-10,10462784.365009272,4431,280627645.89883274,2.68,5583990.0,3406,935.856
2017-09-11,4039390.3244366725,2422,272455553.88235295,2.6,3785739.9999999995,1757,415.571
2017-09-12,4433381.97032551,2414,267537938.21343878,2.56,6993150.0,1806,356.99199999999996
2017-09-13,9980409.701355116,1910,263013324.2961373,2.51,4374450.0,1482,326.035866425
2017-09-14,5845838.981248941,2435,244770936.62068963,2.34,5434480.0,1820,440.517016368
2017-09-15,6207034.364522593,3612,180671760.59009007,1.73,7176660.0,2633,346.0
2017-09-16,3403803.5844190526,2429,231871634.10138252,2.22,3924690.0,1902,392.73531600000007
2017-09-17,2384200.268609371,1492,225889550.5631068,2.16,1812480.0,1137,359.4558646224
2017-09-18,3031805.7698614527,2323,216036470.2477064,2.06,3764930.0,1747,256.3933482652
2017-09-19,5952120.323487263,1999,229547450.34848484,2.19,3948150.0,1661,315.07836599999996
2017-09-20,3112331.731483541,1311,207642743.99999997,1.98,3408460.0,1106,266.6307860172
2017-09-21,2028957.58876962,1478,196198039.85093167,1.87,3126050.0,1228,273.8184804069
2017-09-22,3157097.4051439944,2085,168575967.13930354,1.61,20251500.0,1611,244.77202909810003
