date,txVolume(USD),adjustedTxVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),realizedCap(USD),generatedCoins,fees,activeAddresses,averageDifficulty,paymentCount,medianTxValue(USD),medianFee,blockSize,blockCount
2016-01-30,,,192,,,,0.0,145751.0,0.009495400000000001,236,10.9647530239293,333,,3.74e-05,169423,344
2016-01-31,,,1097,,,,0.0,342250.0,0.12707451,1196,67.4139194689226,14727,,9.099000000000001e-05,1586306,1369
2016-02-01,,,1010,,,,0.0,340250.0,0.21612536000000002,1128,71.7907314364253,11683,,8.175000000000001e-05,2425551,1361
2016-02-02,,,725,,,,0.0,341500.0,0.17238578000000002,900,112.380197194003,8236,,8.868e-05,1936186,1366
2016-02-03,,,666,,,,0.0,338500.0,0.11885602,858,68.1294118303333,4440,,5.805e-05,1490463,1354
2016-02-04,,,778,,,,0.0,338250.0,0.10105215000000001,986,80.0642987470476,1837,,3.73e-05,1174990,1353
2016-02-05,,,617,,,,0.0,335500.0,0.09982895,840,91.9190054238271,1687,,3.776e-05,1282189,1342
2016-02-06,,,766,,,,0.0,332250.0,0.11007532,985,55.3641773788715,1156,,2.2970000000000002e-05,1332803,1329
2016-02-07,,,886,,,,0.0,344500.0,0.05766032,1113,44.256366282219,1140,,2.312e-05,838219,1378
2016-02-08,,,363,,,,0.0,340250.0,0.04415228,618,90.9443467415988,568,,5.218e-05,732754,1361
2016-02-09,,,826,,,,0.0,344500.0,0.08476412,1054,74.2047296943494,994,,2.332e-05,1070763,1378
2016-02-10,,,730,,,,0.0,338250.0,0.08957914,976,61.3562774593065,859,,2.347e-05,984305,1353
2016-02-11,,,294,,,,0.0,344000.0,0.05812131,513,59.0789011486465,301,,2.347e-05,777136,1376
2016-02-12,,,380,,,,0.0,341000.0,0.06865765,635,53.7727982144454,379,,3.8860000000000004e-05,781374,1364
2016-02-13,709.4457400321685,669.0884683825137,273,5685.013986013985,0.001156,641.0000000000001,585.944641604665,341000.0,0.09699493000000001,438,54.0534227943978,273,0.23119997281088,5.4120000000000004e-05,699307,1364
