date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses,medianTxValue(USD)
2018-01-29,,1,,,,2,
2018-01-30,,,,,,,
2018-01-31,,,,,,,
2018-02-01,,2808,,,,2597,
2018-02-02,24121269.000854865,1894,0.0,0.790528,1023190.0000000001,1779,286.1337528476846
2018-02-03,12745353.884723121,1822,0.0,0.884674,2760030.0,1443,223.19661553465377
2018-02-04,14425834.930019703,1716,0.0,1.3,2063750.0,1381,325.0
2018-02-05,7010868.103484418,943,0.0,1.06,738262.0,797,265.0
2018-02-06,4940020.788089875,1047,0.0,0.695512,841198.0,926,173.87800000000001
2018-02-07,2552922.7258218834,924,0.0,0.882117,736475.0,813,220.52925000000002
2018-02-08,2381196.66793398,724,0.0,0.789037,358548.0,624,239.47272949999999
2018-02-09,2504832.931993769,613,0.0,0.79667,125550.0,504,199.1675
2018-02-10,2133109.5930352057,618,0.0,0.85109,144515.0,507,212.7725
2018-02-11,3587054.364743017,446,0.0,0.767819,143034.0,410,191.95475000000002
2018-02-12,1526924.3841527852,675,175564745.5311778,0.732832,234201.0,523,293.13280000000003
2018-02-13,2058885.9488378374,626,203072440.7357965,0.847653,281850.0,526,252.91592034558462
2018-02-14,13281030.344586696,3958,191985832.16945344,0.800916,3180900.0,4022,200.22899999999998
2018-02-15,10455119.067441385,1173,245814304.28712872,1.03,2709260.0,1216,309.0
2018-02-16,2147425.7158207223,605,239570250.32237345,1.0,1243790.0,671,250.0
2018-02-17,3049892.801506513,961,238381706.77809078,0.995658,4000670.0,896,380.1893083831027
2018-02-18,10470938.625172498,1497,286706039.14285713,1.2,6227700.0,1330,607.752
2018-02-19,17704229.98008102,2014,332851853.91823894,1.39,10619600.0,2110,370.8130307698334
2018-02-20,7548061.01619013,1227,383323927.81954885,1.6,6522220.0,1236,462.5683200000001
2018-02-21,4687623.663256001,814,317123702.7619048,1.32,3777420.0,848,384.07005762993384
2018-02-22,3303714.589171506,718,301934592.8780488,1.26,3007610.0,676,453.0038992222162
2018-02-23,4475441.125120789,741,290374116.0833333,1.21,3370030.0,723,302.5
2018-02-24,1949199.6880215527,509,313599735.91056913,1.31,1872460.0,540,327.5
2018-02-25,6757705.132837912,470,293687546.25619835,1.23,1202500.0,525,350.20073539955297
2018-02-26,3138235.5514511457,529,293634068.0,1.23,1650060.0,559,307.5
2018-02-27,10203390.47484341,664,295311648.2181818,1.23,2789549.9999999995,707,311.03133
2018-02-28,1049667.2628794867,446,260658579.33962265,1.09,1839730.0,530,272.5
2018-03-01,1523617.9520195015,528,254511525.3786408,1.06,2033339.9999999998,589,394.390596
2018-03-02,1770065.1963094475,517,245721465.5940594,1.03,2565560.0,500,511.39500000000004
2018-03-03,986591.3185085942,516,241965952.6103102,1.01,1966270.0,601,252.5
2018-03-04,2458833.665345439,571,219287274.80823418,0.915336,1936570.0,599,457.668
2018-03-05,2334477.6853054883,546,204269333.96106815,0.852649,1682430.0,499,842.96670164805
2018-03-06,1134592.4742588447,447,198231633.08509076,0.825966,1252580.0,424,487.8805231242
2018-03-07,1248665.1678411767,530,184825007.29948688,0.770105,1655770.0,543,383.45052757900004
2018-03-08,863395.1698768006,406,155103918.58238584,0.646267,1237580.0,417,322.487233
2018-03-09,1079319.2905969121,439,153312560.36169675,0.638803,1509100.0,371,686.841624403
2018-03-10,4936363.235419475,401,162763030.31444722,0.67818,530087.0,402,299.7284328
2018-03-11,246014.06722227042,210,156794476.6382163,0.653311,485139.0,223,230.924520135091
