date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses,medianTxValue(USD)
2017-07-09,,4,,,,4,
2017-07-10,,5417,,,,2685,
2017-07-11,16923337.084651347,3223,0.0,2.81,2704070.0,1799,509.43614
2017-07-12,13081157.599488394,2938,0.0,3.33,3055770.0,1698,394.18875
2017-07-13,29373684.462009866,2925,198522603.70362473,5.37,3630010.0,1688,563.85
2017-07-14,29047076.469432615,2611,150667219.01014596,4.073333333333333,3128790.0,1530,814.6666666666666
2017-07-15,9602532.67354477,2014,102811834.31666718,2.776666666666667,2627570.0,1360,621.4082816666668
2017-07-16,7933254.162945578,1805,54956449.62318841,1.48,2126350.0,1244,327.95912
2017-07-17,2772698.57562728,1969,51127925.45454546,1.38,1840040.0,1402,206.99999999999997
2017-07-18,5339557.721761678,1545,93503353.300813,2.53,2329580.0,1053,486.2957524204999
2017-07-19,2766266.899628029,1008,90854137.50000001,2.45,1044880.0,721,367.2599
2017-07-20,1701819.2629587008,665,73246551.94067796,1.98,505556.0,530,336.6
2017-07-21,3067680.5247270535,586,88299748.99999999,2.39,661561.0,447,532.97
2017-07-22,1789758.7803692918,631,88567004.07462686,2.39,358007.0,504,435.18076
2017-07-23,1757075.9651712873,751,99025495.1627907,2.68,437422.0,546,428.8
2017-07-24,3360633.1792945764,883,95596770.66393444,2.58,991648.0,665,539.22
2017-07-25,1648898.4865275356,637,90447026.7142857,2.44,434991.0,495,488.0
2017-07-26,1744131.2618580032,645,82134776.30172415,2.22,533922.0,523,333.00000000000006
2017-07-27,2518203.247863462,754,85017450.82677163,2.3,619043.9999999999,574,460.001490538
2017-07-28,2712935.470584031,936,94351985.49618319,2.55,993253.0,653,552.871726743
2017-07-29,2723699.5078028706,1095,96008487.47887322,2.59,945852.0,791,362.59999999999997
2017-07-30,1692574.456419097,690,105071849.50537634,2.84,507800.99999999994,543,364.16550597139997
2017-07-31,2545880.2312414236,936,103565014.55657493,2.8,964834.0000000001,661,439.59999999999997
2017-08-01,5381415.086592364,765,121423558.1098901,3.28,811061.0,609,408.5599631336
2017-08-02,2211462.7210460147,726,134786838.8318584,3.64,492153.0,571,345.0368317214
2017-08-03,1048349.3184237214,624,125379205.87912089,3.39,503478.99999999994,479,339.0
2017-08-04,2665435.329482453,946,134548738.47474748,3.64,1064530.0,647,364.0
2017-08-05,2226371.6182447476,782,146379020.1271394,3.96,641941.0,632,396.64152
2017-08-06,2581567.04774633,675,152383332.16450214,4.12,450571.0,527,412.0
2017-08-07,5658419.659088113,1192,170551908.2264463,4.61,1441870.0,863,529.562225
2017-08-08,6465421.535407501,1528,224505036.798893,6.07,2002390.0,1017,615.3605029063
2017-08-09,3441518.8416187135,1002,201160927.1919192,5.44,782146.0,738,350.1333845344
2017-08-10,3323105.290201218,837,218936761.82892692,5.92,979250.0,633,592.0
2017-08-11,3414645.399975286,849,237013472.8110749,6.41,959727.0000000001,671,560.89423
2017-08-12,4832347.583214483,832,226287135.32673267,6.12,894071.0,639,573.6597585192
2017-08-13,2440273.089822824,630,223546279.73285198,6.04,516448.00000000006,504,524.70084
2017-08-14,4162359.3797879736,722,203973042.27777776,5.51,924743.0,587,524.3470206166
2017-08-15,2375019.769290032,612,215345429.08085105,5.22,590298.0,495,320.53932
2017-08-16,3236047.237246402,569,194509414.05405405,4.72,735244.0,467,481.44
2017-08-17,1972431.1633717702,799,198435771.93716332,4.81,649644.0,664,480.99999999999994
2017-08-18,2211195.276784789,661,229161315.13594037,5.56,702786.0,554,625.1386
2017-08-19,2231100.300589765,626,221211379.24637684,5.36,585845.0,519,536.0
2017-08-20,2137489.2719250885,468,198213929.82119203,4.81,335168.0,383,480.99999999999994
2017-08-21,2388040.3125602286,672,186040754.90762123,4.51,658417.0,529,473.54999999999995
2017-08-22,1484720.483828736,505,173155834.48453608,4.2,415849.0,436,428.40000000000003
2017-08-23,2784526.1356648956,607,159397426.85795453,3.86,415283.0,514,386.0
2017-08-24,2073706.1611821214,915,145714323.72850677,3.53,758569.0,700,426.6490245096
2017-08-25,1076403.681630762,524,182961479.80995476,4.44,430544.0,419,443.2008
2017-08-26,1959309.2625753582,509,182242551.1724138,4.42,454791.0,416,442.0
2017-08-27,1245207.5730642774,503,157137205.5076923,3.81,353973.0,452,348.4610551212
2017-08-28,1315115.005492548,469,161054254.12987012,3.9,449384.0,422,278.5926
2017-08-29,1316664.879849229,424,159171450.19023135,3.86,398299.0,370,496.19132768810005
2017-08-30,1939338.669514933,605,160620512.4031008,3.89,531823.0,515,462.91
2017-08-31,947674.0722513619,414,159210484.7032967,3.86,337862.0,375,386.0
2017-09-01,6459571.930641721,1060,150268389.65517244,3.64,1464360.0,795,542.36
2017-09-02,2415593.4455240415,858,168108862.416,4.07,763729.0,662,384.2078266994001
2017-09-03,1677766.5181866752,579,154819679.2207792,3.75,565324.0,459,375.7822137
2017-09-04,1720411.9517589307,568,159876990.58563536,3.88,476314.0,484,390.951596025
2017-09-05,964189.4953000926,495,149687969.94642857,3.63,364357.0,437,319.44
2017-09-06,1333055.095353418,412,161979811.13669065,3.93,410924.0,371,604.377015
2017-09-07,1932554.4533709818,528,172189947.8244275,4.17,403291.0,450,417.0
2017-09-08,2182562.4706883715,666,162095369.1741573,3.93,370638.0,567,550.2
2017-09-09,1237126.455987072,536,138532010.8119891,3.36,454426.99999999994,462,369.59999999999997
2017-09-10,1237489.816167081,463,150971141.31428573,3.66,252076.0,368,366.0
2017-09-11,1501909.978611159,592,144881204.1975684,3.51,374879.0,483,444.015
2017-09-12,1912212.647935113,589,134942628.71473354,3.27,505448.00000000006,459,392.4
2017-09-13,1083160.4956026599,464,133087615.23708206,3.23,391322.0,384,435.334555
