date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses,medianTxValue(USD)
2017-08-01,,1,,,,2,
2017-08-02,,,,,,,
2017-08-03,,,,,,,
2017-08-04,,,,,,,
2017-08-05,,,,,,,
2017-08-06,,,,,,,
2017-08-07,,,,,,,
2017-08-08,,,,,,,
2017-08-09,,,,,,,
2017-08-10,,,,,,,
2017-08-11,,,,,,,
2017-08-12,,,,,,,
2017-08-13,,,,,,,
2017-08-14,,,,,,,
2017-08-15,,,,,,,
2017-08-16,,,,,,,
2017-08-17,,,,,,,
2017-08-18,,,,,,,
2017-08-19,,,,,,,
2017-08-20,,,,,,,
2017-08-21,,,,,,,
2017-08-22,,,,,,,
2017-08-23,,,,,,,
2017-08-24,,,,,,,
2017-08-25,,,,,,,
2017-08-26,,,,,,,
2017-08-27,,,,,,,
2017-08-28,,,,,,,
2017-08-29,,,,,,,
2017-08-30,,,,,,,
2017-08-31,,,,,,,
2017-09-01,,,,,,,
2017-09-02,,,,,,,
2017-09-03,,,,,,,
2017-09-04,,,,,,,
2017-09-05,,,,,,,
2017-09-06,,,,,,,
2017-09-07,,,,,,,
2017-09-08,,,,,,,
2017-09-09,,,,,,,
2017-09-10,,,,,,,
2017-09-11,,,,,,,
2017-09-12,,,,,,,
2017-09-13,,,,,,,
2017-09-14,,,,,,,
2017-09-15,,,,,,,
2017-09-16,,,,,,,
2017-09-17,,,,,,,
2017-09-18,,,,,,,
2017-09-19,,,,,,,
2017-09-20,,4,,,,4,
2017-09-21,,4,,,,4,
2017-09-22,,1,,,,2,
2017-09-23,,,,,,,
2017-09-24,,,,,,,
2017-09-25,,1,,,,2,
2017-09-26,,1,,,,2,
2017-09-27,,9,,,,8,
2017-09-28,,1514,,,,1124,
2017-09-29,349410486.42474484,3057,53990210.288018435,6.91,4174650.0,2030,3109.3618
2017-09-30,50429575.28997772,3024,138812823.73943663,4.18,6410870.0,2303,955.6838499999999
2017-10-01,40545663.04060182,2368,196750392.54670328,5.78,15741399.999999998,1467,1150.22
2017-10-02,81590423.92713757,2113,266263939.26493102,7.27,13543300.0,1519,1454.0
2017-10-03,27559315.83821771,1195,239022757.70055452,6.52,5546400.0,883,976.853948956
2017-10-04,29450796.21545962,1322,295533282.3113207,5.4,4136630.0,936,936.90901827
2017-10-05,20908352.513799127,1781,232642712.70883054,4.25,3646930.0,1258,425.0
2017-10-06,12338304.71575185,1459,230757554.43950614,4.22,2282420.0,1204,326.2482
2017-10-07,6138763.546294022,1487,217897295.77177176,3.98,3388420.0,1095,398.0
2017-10-08,11656565.137833321,1569,183351273.19884726,3.35,2501230.0,1211,315.394342817
2017-10-09,7590273.693760871,1311,188327681.87296417,3.45,2942420.0,1018,345.0
2017-10-10,9799135.063345073,1339,166764777.42469877,3.05,2384720.0,1059,263.72093705
2017-10-11,8830779.160397623,1577,182059668.4464752,3.33,3229530.0,1176,333.824175
2017-10-12,3251869.361594493,1006,210967901.09749302,3.86,2160950.0,843,241.78110187759998
2017-10-13,4081312.2417865377,1430,196007288.56441718,3.58,2599040.0,1148,334.2771848277
2017-10-14,2136926.764364539,1083,179055128.4,3.27,1515720.0,905,181.4479473684
2017-10-15,1684927.5957460843,977,160788487.7635135,2.94,1371840.0,801,292.82399999999996
2017-10-16,16932353.59727571,2756,164139291.2536443,3.0,5613960.0,1972,591.84276
2017-10-17,13825626.02005027,1725,189111614.78688526,3.46,6084920.0,1273,415.2
2017-10-18,10252466.425150612,1128,168487181.64864868,3.08,4956180.0,839,303.71264
2017-10-19,4822810.443291989,896,162074239.7852349,2.96,3695910.0,715,206.02999785479997
2017-10-20,7773289.012398225,1290,162158823.39130437,2.97,4634470.0,961,297.0
2017-10-21,3994796.17149096,1089,128393248.91304348,2.75,5154440.0,815,292.5725
2017-10-22,3050299.7431607703,1030,117415422.37175791,2.51,5401130.0,806,258.28666434775
2017-10-23,11025668.953421725,2746,166571532.61237785,3.56,13532400.0,1811,765.250391356
2017-10-24,16582548.444997735,1533,143286704.2032787,3.06,6991419.999999999,1218,266.836902732
2017-10-25,4129131.0285836826,1138,142551929.0273556,3.05,6644420.000000001,869,286.41793089124997
2017-10-26,4119884.1510898164,1072,152975061.82894737,3.27,5668710.0,815,317.4757281528
2017-10-27,2323243.1740157967,992,141914342.95890412,3.04,3240800.0,826,209.76
2017-10-28,2434424.312850516,952,137553609.78947368,2.94,3545970.0000000005,794,226.38
2017-10-29,2241150.767307063,994,133132373.38383839,2.85,3768150.0,796,185.435819202
2017-10-30,1956703.3756598947,1033,137919446.10701108,2.95,3316740.0000000005,864,213.5856543535
2017-10-31,1848505.6555671787,1326,125311471.35094342,2.68,4393950.0,1016,218.1798673636
2017-11-01,2818376.680614599,1746,124385310.99555556,2.66,4220950.0,1297,224.8390882864
2017-11-02,2562150.952514749,1506,105471261.99999999,2.26,4052270.0,1187,190.01980866229997
2017-11-03,3153132.0578501998,1288,107512554.1472868,2.3,4608760.0,921,249.80186099399998
2017-11-04,1406359.7024371799,958,120403308.35470085,2.57,3843900.0,739,156.9812049387
2017-11-05,2201656.6393209044,875,109747231.59615386,2.35,3216540.0,694,235.0
2017-11-06,3586520.0650305054,1307,121066366.30633803,2.59,6400980.0,967,257.705
2017-11-07,3907356.1554851755,1649,130314249.31528662,2.79,6463600.0,1179,279.0
2017-11-08,6863124.026960421,1968,146400236.253406,3.13,10930800.0,1536,249.65170263679997
2017-11-09,9682917.29513992,2797,171263641.34606203,3.66,10186400.0,2105,237.9
2017-11-10,4141837.201175503,2015,193525681.08661416,4.14,6291400.0,1645,247.56693951239998
2017-11-11,2836722.9272684143,1552,176554308.2159383,3.78,6157120.0,1256,211.691774133
2017-11-12,5380964.336544265,1911,181563143.29824564,3.88,5216980.0,1479,194.0
2017-11-13,2014448.860930413,1290,169350320.31645572,3.45,4445720.0,1030,200.10000000000002
