date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses,medianTxValue(USD)
2017-06-19,,2,,,,1,
2017-06-20,,9396,,,,8117,
2017-06-21,,19276,,,,13770,
2017-06-22,,1,,,,2,
2017-06-23,,2,,,,3,
2017-06-24,,9,,,,10,
2017-06-25,,,,,,,
2017-06-26,,,,,,,
2017-06-27,,181,,,,182,
2017-06-28,137377085.1172593,14533,214393370.3576848,0.061776,13747700.0,13067,1550.6393759999999
2017-06-29,98469474.25528093,11344,194260704.38936076,0.055975,18083200.0,9126,1399.375
2017-06-30,18962476.468008585,3163,179932140.40043384,0.051847,10133300.0,2404,1042.1246999999998
2017-07-01,12148144.385310004,2414,154008607.340194,0.044377,10307200.0,1958,1106.11952812145
2017-07-02,11903883.892399285,2458,152419817.16552427,0.043919,7502210.0,1969,1469.925011
2017-07-03,30177376.049162295,4738,148246493.48368537,0.042716,28853300.0,3308,1202.3445752980238
2017-07-04,26705429.604940496,3482,195859183.89738876,0.056436,18958100.0,2664,1241.592
2017-07-05,9539364.929581074,1825,197794458.23187688,0.056993,11487700.0,1424,1139.8599943007
2017-07-06,8060687.411348038,1673,174958193.10769567,0.050413,10173100.0,1215,988.0948
2017-07-07,9539144.151899021,1588,174834845.8023032,0.050378,7012400.0,1144,1007.56
2017-07-08,7136295.316600819,1214,153115312.83309206,0.044119,6282280.000000001,877,882.38
2017-07-09,2979385.255787025,921,154009659.36185813,0.044377,3429300.0000000005,740,681.5958359769581
2017-07-10,8036998.17744559,1331,140900744.72160354,0.0406,6133140.0,1061,890.4753339999999
2017-07-11,5962056.567775993,1885,106562896.77977207,0.030705,7617130.0,1126,934.4394893895
2017-07-12,3581587.6367169647,897,87349737.84080827,0.025169,5178400.0,689,632.24528
2017-07-13,2771664.4500383297,1053,108027689.40733133,0.031128,5187090.0,625,680.3808033734807
2017-07-14,2109108.776462241,666,97979855.38388887,0.028232,3055070.0,487,587.599674
2017-07-15,1525005.737839378,548,88806585.04583281,0.025589,2668550.0,448,465.0623633883857
2017-07-16,1332685.5883336007,614,81698658.87539732,0.023541,2339710.0,464,376.656
2017-07-17,1279757.1906536727,667,81818554.05271651,0.023576,3764400.0000000005,510,471.75576
2017-07-18,2172816.0081886477,776,90897650.2953048,0.026192,5126630.0,539,523.8373808
2017-07-19,2570456.5270173573,758,100757048.70421746,0.029033,4366050.0,539,725.8247096700001
2017-07-20,2668804.0340713267,711,92397543.24042347,0.026624,3753830.0,500,532.48
2017-07-21,8722347.790601732,4322,104203930.23034163,0.030026,11944800.0,2790,570.494
2017-07-22,34077633.95295385,9058,132972068.23497804,0.038315,38566700.0,6456,875.648902675
2017-07-23,86714082.07016516,13925,291520638.6745832,0.084,159816000.0,9559,1313.21484
2017-07-24,34350444.58802178,7240,291835689.4032648,0.084091,48405700.0,4753,840.91
2017-07-25,10940290.660959655,2131,264945354.12294886,0.076343,52165600.00000001,1385,1475.2007073552
2017-07-26,6124017.404571707,1689,204740500.11801052,0.058995,51832700.0,1115,967.518
2017-07-27,3920572.987737042,1083,206861305.83258912,0.059606,27039600.0,814,893.5131862749214
2017-07-28,3855141.6812865185,992,204562620.08280253,0.058943,17827200.0,674,884.145
2017-07-29,4669709.765695559,1169,187716762.32192683,0.054089,17077400.0,626,1081.78
2017-07-30,3380213.8384523327,674,186965373.49879596,0.053873,8438260.0,444,709.103093135
2017-07-31,2036753.8692218089,785,175733042.44468284,0.050636,17412400.0,519,759.54
2017-08-01,2146917.467670398,806,188411879.70149797,0.05429,23845300.0,549,941.7339841516316
2017-08-02,5955554.576991327,945,191332997.30118892,0.055131,15754800.0,644,800.5300603907999
2017-08-03,5874231.485832711,1163,189375249.83656642,0.054567,15695800.0,726,964.7906527449001
2017-08-04,4626335.787148547,1503,194551510.296258,0.056059,16038900.000000002,883,1121.18
2017-08-05,6832403.23453714,2162,197578414.6811656,0.056931,37828900.0,1213,1194.4408455
2017-08-06,5410377.633027105,1563,228326229.52409062,0.065791,24237700.0,960,1120.90721760204
2017-08-07,8814896.028833224,2292,214077693.44480595,0.061685,40894300.0,1268,1233.7
2017-08-08,6892726.70329975,1927,246250628.6951026,0.070956,35787700.0,1171,1086.1234920000002
2017-08-09,3986913.39090217,1444,251338991.79668024,0.072422,18237500.0,855,1086.32927578
2017-08-10,8967461.703502957,1889,225857363.01786694,0.06508,27412400.0,1138,996.9598692
2017-08-11,13785084.50339501,3191,227152995.30616674,0.065453,58822600.0,1657,1294.2676219999998
2017-08-12,9209977.1902034,2520,271522125.627548,0.078238,24574100.0,1203,1274.575258
2017-08-13,14086564.637777831,2172,237022889.8353088,0.068297,21679300.0,1218,1363.9593869999999
2017-08-14,18582727.16375451,2620,221762833.90325877,0.0639,23224100.0,1411,1487.0688893595
2017-08-15,6914335.518016982,1601,213923036.20528626,0.061641,19850100.0,970,1231.278975
2017-08-16,4556748.745977592,1653,210892597.96562612,0.060768,11186700.0,975,1211.8876314497684
2017-08-17,13659482.433990456,2482,207868776.79606476,0.059896,22798200.0,1305,1300.2656668184
2017-08-18,6946338.81623198,1531,211492054.64268103,0.06094,13896200.0,1017,1076.8246537800796
2017-08-19,4515035.848755098,1358,189763960.66439226,0.054679,12062400.0,826,1314.1277465
2017-08-20,2677272.326160861,861,189295781.2962641,0.054544,6738530.0,649,681.036384
2017-08-21,3334884.253557956,1284,190689202.22249666,0.054946,9409920.0,774,989.028
2017-08-22,2882354.4423961337,916,177165788.6042162,0.051049,5745640.0,687,558.731305
2017-08-23,2605384.848577971,1151,173358613.99554205,0.049952,8995140.0,719,749.323058624
2017-08-24,3559290.9785780427,1322,177991376.93558967,0.051287,8706810.0,741,1027.27861
2017-08-25,4191564.3036466297,1308,182970487.25164863,0.052722,5922650.0,696,948.996
2017-08-26,2889473.34181125,881,176909980.3543502,0.050976,5512320.0,574,645.4530144
2017-08-27,2510540.848226997,1002,175154635.33178908,0.05047,6815440.0,610,969.18181969
2017-08-28,7292108.801470923,1140,179141439.27825427,0.051619,7486210.0,671,1032.3799999999999
2017-08-29,3783170.6070765234,1241,169933612.9776848,0.048965,10873400.0,768,978.8103500000001
2017-08-30,3868002.951501469,1333,171693401.6034346,0.049473,9555330.0,827,988.38201907919
2017-08-31,4228794.307304014,1377,163780432.95108613,0.047192,7463400.0,765,991.459647108352
2017-09-01,4300471.434561795,1439,166615508.2541346,0.048009,7175300.0,818,960.1800000000001
