date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses,medianTxValue(USD)
2017-12-12,,1812,,,,1594,
2017-12-13,,1696,,,,1479,
2017-12-14,,714,,,,636,
2017-12-15,,731,,,,641,
2017-12-16,,494,,,,437,
2017-12-17,,393,,,,350,
2017-12-18,,422,,,,393,
2017-12-19,,349,,,,309,
2017-12-20,,343,,,,300,
2017-12-21,,329,,,,297,
2017-12-22,,273,,,,239,
2017-12-23,,261,,,,234,
2017-12-24,,349,,,,305,
2017-12-25,,411,,,,370,
2017-12-26,,423,,,,393,
2017-12-27,,641,,,,405,
2017-12-28,9372525.156522272,299,0.0,0.742602,807338.0,270,803.5556340535853
2017-12-29,3012948.9321763716,163,0.0,0.732754,970610.0,160,505.60026
2017-12-30,2903798.141819423,301,0.0,0.677002,2463710.0,235,1354.004
2017-12-31,3115103.48554989,287,0.0,0.839057,1822440.0,257,1678.114
2018-01-01,9733907.696881354,125,0.0,1.01,860855.9999999999,112,815.6145516909
2018-01-02,134690912.06962743,370,92116834.9993701,0.927359,3032790.0,333,278.2077
2018-01-03,61298007.40923244,682,105844930.54166669,1.07,2516980.0,625,38.52
2018-01-04,16928041.35475048,303,118757519.01639345,1.2,1963360.0,298,240.0
2018-01-05,6707571.719081161,223,120847259.67647058,1.22,3755230.0,198,846.3924285661999
2018-01-06,4694515.40157825,293,135294602.59375,1.37,2146630.0,283,657.6
2018-01-07,4238745.480683847,244,158155715.0,1.6,2199950.0,227,1130.523292008
2018-01-08,4183305.00132308,310,158514454.33962265,1.6,6012950.0,297,800.0
2018-01-09,13768710.111895604,501,209686837.0643777,2.12,10702000.0,385,2120.0
2018-01-10,26408151.734455783,332,232608272.68018016,2.35,6472780.0,291,3162.0373507746813
2018-01-11,6195876.700604911,318,219193639.0526316,2.21,5189330.0,295,1289.8749253156
2018-01-12,3663974.038249145,323,189896660.0597015,1.92,8366370.0,275,1555.2
2018-01-13,4393782.487978878,264,198465142.86885244,2.01,10567000.0,230,1817.8439999999998
2018-01-14,3374233.9889954245,290,182194034.71264368,1.84,10549400.0,241,1552.7869051924001
2018-01-15,24663159.016758304,305,170918221.44329897,1.73,10366900.0,245,1392.65
2018-01-16,3405555.6358489404,303,191490993.02564102,1.94,9758750.0,267,1455.0
2018-01-17,2539132.7029274823,234,153438144.9371069,1.55,7401500.0,199,3435.5750000000003
2018-01-18,4081388.0914798114,251,158801088.60759494,1.6,11912700.0,200,1600.0
2018-01-19,1358921.0709957478,187,155545899.91975307,1.57,8227089.999999999,171,824.25
2018-01-20,1259299.4443444824,260,161059703.1957672,1.63,12286500.0,229,822.7717150686499
2018-01-21,65699226.124267235,774,186772094.89024392,1.89,14525400.0,534,1421.07515111205
2018-01-22,38425213.12276616,1525,243106389.125,2.46,16599300.0,1031,1230.0
2018-01-23,179026159.34504205,1057,332692596.55172414,3.36,16627299.999999998,844,339.2031216
2018-01-24,69816287.55202779,677,344631848.4578313,3.48,24336000.0,526,2610.0
2018-01-25,18252628.20585138,704,330937269.0133779,3.35,13398100.0,499,1256.25
2018-01-26,9751504.350144627,605,294820062.7218543,2.98,8235689.999999999,386,989.9976653602218
2018-01-27,7544532.490807878,542,299049094.0470589,3.02,13800600.0,353,714.625390178
