date,txVolume(USD),txCount,paymentCount,activeAddresses,medianTxValue(USD),marketcap(USD),price(USD),exchangeVolume(USD)
2017-08-28,,1,1,2,,,,
2017-08-29,,2,2,3,,,,
2017-08-30,,2,2,3,,,,
2017-08-31,,3,3,4,,,,
2017-09-01,,26,26,17,,,,
2017-09-02,,15,15,15,,,,
2017-09-03,,423,423,316,,,,
2017-09-04,,1360,1360,1011,,,,
2017-09-05,,1397,1397,1043,,,,
2017-09-06,,1540,1540,1336,,,,
2017-09-07,,686,686,603,,,,
2017-09-08,,526,526,462,,,,
2017-09-09,,468,468,441,,,,
2017-09-10,,531,531,550,,,,
2017-09-11,,642,642,803,,,,
2017-09-12,,329,329,365,,,,
2017-09-13,1904725.6149107593,384,384,391,259.985914713,0.0,0.002051,48512.0
2017-09-14,2678158.6589879026,334,334,283,216.149509,0.0,0.002006,58770.0
2017-09-15,337296.88170892256,169,169,176,290.604105,0.0,0.001419,26475.0
2017-09-16,249739.79472857708,204,204,151,180.7739998502625,0.0,0.001815,54535.0
2017-09-17,269382.0738280364,258,258,187,305.370864,0.0,0.001836,124997.99999999999
2017-09-18,1968324.2406737027,463,463,383,339.879,0.0,0.003324,159158.0
2017-09-19,1784011.4843134475,377,377,303,327.3,0.0,0.003273,158416.0
2017-09-20,472702.24156733585,310,310,264,255.85059161799998,0.0,0.002306,83399.0
2017-09-21,667529.3821144187,363,363,252,251.72241030600003,0.0,0.002638,99853.0
2017-09-22,212418.41591024902,1801,1801,1776,0.000273419685,0.0,0.002079,38829.0
2017-09-23,19588517.815175436,5616,5616,4172,0.000789330189,0.0,0.001934,42314.0
2017-09-24,35434124.433522746,4857,4857,4846,0.000176029764,0.0,0.002346,50023.0
2017-09-25,574814.5870350301,7873,7873,7860,0.00016014514399999999,0.0,0.002251,106284.0
2017-09-26,527724.3768642067,8941,8941,8948,0.000131137269,0.0,0.001777,61507.99999999999
2017-09-27,31686727.889923275,9973,9973,9973,0.000130359712,0.0,0.001736,35671.0
2017-09-28,3108313.2041328135,8415,8415,8419,0.000184295078,25802729.089814175,0.002563,69532.0
2017-09-29,581696.7343011738,8322,8322,8326,0.00019614241200000001,29202481.276853252,0.002901,58162.0
2017-09-30,144505.40345195806,3185,3185,3209,0.00016772214000000001,19959147.58911986,0.001983,53734.0
2017-10-01,249180286.37399048,6692,6692,6684,0.00018126889199999999,22757585.306818184,0.002261,72807.0
2017-10-02,1824251.6785966002,7092,7092,6955,0.00018239390399999998,73920263.7174456,0.001848,887622.0
2017-10-03,21386637.471479096,7973,7973,7935,0.00026550076799999997,109897989.04781364,0.002748,822106.9999999999
2017-10-04,1771031.5980817734,5840,5840,5742,0.0002355191445,98767293.04615384,0.002469,1072200.0
2017-10-05,2420506.344549473,5926,5926,5786,0.000298286443,130768664.81927711,0.003269,704167.0
2017-10-06,2142753.7101290096,3777,3777,3723,0.000316999413,132819604.00534046,0.003321,478329.99999999994
2017-10-07,425213.8887427026,5353,5353,5316,0.00025964254,195036872.4888166,0.002995,352974.0
2017-10-08,368298.75638245995,6946,6946,6904,0.000202293855,167018654.98814228,0.002565,239489.99999999997
2017-10-09,1261028.8907824822,7631,7631,7605,0.000192999895,167156335.90463087,0.002567,350959.99999999994
2017-10-10,387565.92075456906,7637,7637,7658,0.00015137831400000002,142983667.2566292,0.002186,215705.0
2017-10-11,277834.32717619184,8473,8473,8473,0.00016715193599999999,149684912.4728745,0.002289,289055.0
2017-10-12,218459.6138658067,7662,7662,7664,0.00018040894550000003,161573128.40597016,0.002471,136756.0
2017-10-13,336959.9829397797,7579,7579,7604,0.000176060255,153333130.9370563,0.002345,184709.0
2017-10-14,237202.4933263124,5022,5022,5036,0.000162379511,138231748.18128654,0.002114,121404.0
2017-10-15,133419.60438127953,9283,9283,9310,0.00014992101,155482779.59230098,0.002378,116033.0
2017-10-16,229547.75855177094,31481,31481,31487,0.00014371279300000003,149588193.58998147,0.002287,152645.0
2017-10-17,271679.3007873674,39390,39390,39398,0.00014023702,140969861.47942385,0.002156,116008.0
2017-10-18,239166.5817426126,28689,28689,28705,0.000127723105,127051568.02959427,0.001943,189768.0
2017-10-19,418084.4777981234,18233,18233,18245,0.000140279154,136989613.40365535,0.002094,325575.0
2017-10-20,403740.57096709247,20495,20495,20468,0.00012442504,125367084.51493306,0.001916,211546.0
2017-10-21,236501.7689499964,9113,9113,9094,0.000140992929,127798908.0313316,0.001953,243113.0
2017-10-22,347468.3178563017,299,299,252,206.48369477230798,150871259.6902826,0.002306,244796.0
2017-10-23,459595.85685049795,252,252,226,510.4433512618375,168461747.57001647,0.002575,221618.0
2017-10-24,341743.87486812484,318,318,223,242.5,158686273.79369304,0.002425,297411.0
2017-10-25,539296.4099294693,507,507,370,272.89724071904,173752068.8638312,0.002656,715742.0
2017-10-26,824045.8556951844,385,385,295,406.998035930967,198164555.79091868,0.003029,794428.0
2017-10-27,922979.797283737,386,386,277,460.60334289570005,185826420.1638807,0.00284,1589480.0
2017-10-28,536421.6253505392,475,475,371,310.763053711194,200159522.51983994,0.003059,1031720.0
2017-10-29,3542119.287828719,666,666,470,593.93005203933,195523248.1420839,0.002988,1605430.0000000002
2017-10-30,3619221.609424644,4830,4830,4466,70.2338,193077208.63110635,0.002951,1347640.0
2017-10-31,3196786.9436773425,755,755,783,552.0,180826318.7633262,0.00276,1805800.0
2017-11-01,519557.0761003807,4252,4252,4264,0.00028950187500000003,182332840.83346614,0.002782,1398750.0
2017-11-02,497358.66819154087,8710,8710,8697,0.000260734248,165377419.92214537,0.002524,1429590.0
2017-11-03,2353654.269686479,27600,27600,27591,0.000231683328,151000005.1441401,0.002304,1588360.0
2017-11-04,236375.27460478529,54906,54906,54933,0.00022413123,145993382.27255636,0.002228,1696040.0
2017-11-05,387475.4113761336,68169,68169,68167,0.00021470473999999997,139288452.17575485,0.002126,1762660.0
2017-11-06,1515750.4462422782,52329,52329,52316,0.000222722959,145039138.96564704,0.002213,1719120.0
2017-11-07,218339.04424578248,50551,50551,50509,0.00021563685,140527081.1607143,0.002145,1497470.0
