date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses,medianTxValue(USD)
2018-03-05,,11,,,,6,
2018-03-06,9522263.770573314,39,0.0,0.998462,10643500.0,13,148.89410490347234
2018-03-07,4289225.794708707,13,0.0,0.994246,6274620.0,10,993.251754
2018-03-08,68061.6388051,2,0.0,1.0,2401910.0,2,34030.81940255
2018-03-09,6319667.963579067,18,0.0,1.01,5316350.0,11,4538.52981895655
2018-03-10,1972559.925827807,4,0.0,0.98421,1606990.0,4,7233.274515938114
2018-03-11,219.0,4,0.0,1.0,2099980.0,4,7.0
2018-03-12,6888.2,1,6627543.877684717,1.01,1398700.0,2,6888.2
2018-03-13,6126.399296932659,2,6495755.524635,0.986493,1210120.0,2,3063.1996484663296
2018-03-14,44858.41194263,7,6561925.125101009,1.0,1888930.0,6,6000.0
2018-03-15,2115195.006259884,8,6645345.850250698,1.01,2610810.0,8,23464.825
2018-03-16,58818.624650191516,9,6549297.10973203,0.995402,902615.0,7,98.544798
2018-03-17,8195.10251038784,8,6548472.679932,0.994332,1321340.0,6,465.42381527249995
2018-03-18,2133323.9837758415,59,6568239.328668709,0.998281,3493100.0,21,660.753334156125
2018-03-19,22812.358788832047,16,6410054.780850001,0.96945,2291760.0,13,615.7088508004575
2018-03-20,302717.1003183732,31,6652123.61,1.01,1785010.0,18,277.0651447348
2018-03-21,29233.69168995,22,6579550.118626931,1.0,1219640.0,16,950.857466065
2018-03-22,102231.98217881529,32,6558396.19999703,0.997249,2908660.0,21,100.321828320175
2018-03-23,4024227.2381289364,27,6543809.981999899,0.994568,2202750.0,18,659.398584
2018-03-24,507895.532335561,27,7924114.525978576,1.0,967029.0,17,759.77215591
2018-03-25,59653.69628181459,3,7849636.031438002,0.990601,825428.0,4,29718.43118841237
2018-03-26,11104.987202417813,6,7892086.4723930005,0.994993,2587900.0,6,1367.120382
2018-03-27,6717.784572747068,4,7912386.600681992,0.99852,2200920.0,5,1248.1499999999999
2018-03-28,8096.4741201948855,11,7867204.258,0.99256,951963.0,10,1050.463493814
2018-03-29,82325.48409905,33,7910777.227722772,1.0,2985780.0,20,822.810242
2018-03-30,4743536.395600484,34,9568856.194690265,1.01,3017020.0,22,545.7441574999999
2018-03-31,169859.31260445,27,9478473.0,1.0,1613600.0,16,548.674875
2018-04-01,17804.34844443,24,9439032.673267327,1.0,2178630.0,10,30.0
2018-04-02,18152.400332889203,17,9568856.010756105,1.01,1017440.0,12,503.7375
2018-04-03,324119.9286952334,89,9472508.461212,0.998044,1527120.0,21,918.1270570467586
2018-04-04,321356.99600182,24,9605709.0,1.0,1664350.0,16,473.877810605
2018-04-05,43448.73976392,24,9571650.495049505,1.0,1245700.0,16,246.0462252
2018-04-06,66288.1477932628,30,9666984.0,1.01,867908.0,13,1602.47493757585
2018-04-07,77061.4841430251,54,9641995.0,1.01,802142.0,17,786.3729617888
2018-04-08,110832.6936486115,61,9655303.0,1.01,617041.0,23,1025.5163651679
2018-04-09,211390.99967431522,35,9644975.0,1.01,1364890.0,16,937.8104349916
2018-04-10,244506.3587636943,59,9658745.790656308,1.01,816891.0,15,705.99
2018-04-11,55433.13394122849,28,9563255.2720099,0.99951,803442.0,17,864.789375768153
2018-04-12,54879.923550467596,27,9621545.0,1.01,3940870.0,19,501.57206
2018-04-13,63912.888024287604,28,9626518.0,1.01,2514640.0,20,241.4892325
2018-04-14,385758.92766102654,23,9661475.0,1.01,3937500.0,21,402.99
2018-04-15,356663.7348873253,33,9699786.49,1.01,3089420.0,18,209.803200208
2018-04-16,652131.65886053,19,9783114.954804763,1.0,2861680.0,15,631.492629
2018-04-17,392410.6967780232,25,9769154.042020144,0.998573,1665870.0,19,261.626126
2018-04-18,201372.6461209824,27,9821494.84041,0.999774,1883270.0,24,999.774
2018-04-19,144498.30274310318,21,9870845.46064423,1.01,1474770.0,17,419.21360475
2018-04-20,36608.7318037664,18,9870846.150896793,1.01,1856480.0,9,499.7076
2018-04-21,124512.09049321499,11,9661147.207823763,0.989886,1920660.0,11,4331.351955667066
2018-04-22,518397.71012455,14,9773114.670067888,1.0,1184730.0,13,539.0
2018-04-23,17301.78183019253,17,9693082.293334004,0.991811,825197.0,12,243.80698002
2018-04-24,2299746.749544882,37,11960293.45216,0.99136,1494160.0,21,366.335030586976
2018-04-25,723665.2992051516,16,11955235.305172917,0.995182,3664970.0,13,648.852550044648
2018-04-26,58280.22865416,12,11972080.198019803,1.0,1607780.0,9,487.25
2018-04-27,50574.1470696525,36,12133246.203814287,1.01,1747910.0,21,505.0
2018-04-28,69782.36500354,10,11946711.881188119,1.0,729946.0,8,500.0
2018-04-29,13586.52,6,12118492.367601559,1.01,1297700.0,7,2424.0
2018-04-30,7962.574244048052,6,11933223.779701171,0.994559,751246.0,6,437.5040177025
2018-05-01,10021.245850071975,14,11991416.479331877,0.999409,1040720.0,12,268.841021
2018-05-02,222256.91984575408,19,11953380.955138875,0.996239,802290.0,13,218.176341
2018-05-03,35036.672858173704,10,11957244.991209174,0.996561,856968.0,9,498.0686311314
2018-05-04,250914.13018255,5,11998507.317063358,1.0,722743.0,6,123.00985
2018-05-05,97210.74075429015,13,11924201.360320834,0.993807,911993.0,10,375.659046
2018-05-06,7155.4536047484,7,11972375.231262844,0.997822,1070340.0,6,889.3847917542
2018-05-07,118200.37803883482,13,12022903.789104,0.998608,1011150.0,11,235.08230928
2018-05-08,115575.753693,9,12140824.18,1.01,530015.0,9,572.3868465
2018-05-09,16047.467993999999,4,11928306.76181263,0.995377,645831.0,5,4011.8669984999997
2018-05-10,9962.225389767738,17,11957835.20204568,0.997841,434857.0,11,498.9205
2018-05-11,1450290.6612912065,11,13395077.777811365,0.999953,1947220.0,11,1999.906
2018-05-12,30541.044795892398,14,13319003.64817978,0.994274,1241670.0,13,98.433126
2018-05-13,54000.76163796118,7,13349667.083258063,0.996563,630560.0,6,392.24923050604536
2018-05-14,1170153.8236582351,21,13364801.57262,0.996395,706008.0,17,224.2885145
2018-05-15,82080.98133436138,16,13420913.16952,0.99926,651311.0,14,1792.8275663964566
2018-05-16,19427738.27531051,512,16201997.02970297,1.0,16597600.0,354,699.0
2018-05-17,4634506.5632915655,546,16291634.0,1.01,3660000.0,350,792.65094671035
2018-05-18,1999858.1655158072,190,16736585.0,1.01,1864150.0,142,430.7382550485
2018-05-19,300636.4491189684,113,16844650.0,1.01,861689.0,96,682.3076078700001
2018-05-20,1881011.3822119122,209,16972032.475247525,1.02,1616580.0,159,502.1551077942
2018-05-21,45076818.30406444,1406,18665770.1559633,1.01,5740730.0,761,619.3712124925
2018-05-22,31196528.68822229,1066,20266375.450000003,1.09,26288499.999999996,471,883.12672
2018-05-23,9428978.378561852,476,33053238.11252079,0.998142,31960900.0,191,4388.830374
2018-05-24,4828998.326575213,210,33602590.92,1.01,11999700.0,116,578.3646210617501
2018-05-25,1976291.8619877,98,33259498.039215684,1.0,8279870.0,62,1142.457838665
2018-05-26,6825742.290537232,72,39301378.63366337,1.02,6314380.0,48,825.0966647403001
2018-05-27,1446195.721785115,73,39137390.0,1.01,6362030.0,52,170.18397092109998
