date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses,medianTxValue(USD)
2017-08-15,,2,,,,2,
2017-08-16,,,,,,,
2017-08-17,,,,,,,
2017-08-18,,,,,,,
2017-08-19,,668,,,,631,
2017-08-20,,195,,,,205,
2017-08-21,,442,,,,393,
2017-08-22,,339,,,,296,
2017-08-23,,533,,,,470,
2017-08-24,,550,,,,456,
2017-08-25,,270,,,,262,
2017-08-26,,454,,,,354,
2017-08-27,,187,,,,176,
2017-08-28,,281,,,,251,
2017-08-29,,214,,,,227,
2017-08-30,,224,,,,241,
2017-08-31,,181,,,,185,
2017-09-01,,131,,,,159,
2017-09-02,,179,,,,207,
2017-09-03,,140,,,,139,
2017-09-04,,335,,,,349,
2017-09-05,,365,,,,334,
2017-09-06,,602,,,,601,
2017-09-07,,70,,,,111,
2017-09-08,,3366,,,,3199,
2017-09-09,,957,,,,918,
2017-09-10,,576,,,,593,
2017-09-11,,627,,,,627,
2017-09-12,,858,,,,847,
2017-09-13,,550,,,,564,
2017-09-14,,351,,,,341,
2017-09-15,,1027,,,,932,
2017-09-16,,1004,,,,912,
2017-09-17,,486,,,,446,
2017-09-18,,1297,,,,1131,
2017-09-19,,1033,,,,901,
2017-09-20,,413,,,,412,
2017-09-21,,1852,,,,1742,
2017-09-22,,278,,,,278,
2017-09-23,,231,,,,194,
2017-09-24,,215,,,,185,
2017-09-25,,157,,,,145,
2017-09-26,,1200,,,,1194,
2017-09-27,,128,,,,117,
2017-09-28,,250,,,,215,
2017-09-29,,213,,,,189,
2017-09-30,,227,,,,182,
2017-10-01,,146,,,,120,
2017-10-02,,468,,,,359,
2017-10-03,,762,,,,547,
2017-10-04,,446,,,,373,
2017-10-05,,310,,,,247,
2017-10-06,,212,,,,191,
2017-10-07,,215,,,,196,
2017-10-08,,208,,,,177,
2017-10-09,,315,,,,244,
2017-10-10,,239,,,,187,
2017-10-11,,168,,,,140,
2017-10-12,,275,,,,203,
2017-10-13,,130,,,,112,
2017-10-14,,105,,,,99,
2017-10-15,,103,,,,115,
2017-10-16,,107,,,,102,
2017-10-17,,116,,,,108,
2017-10-18,,388,,,,300,
2017-10-19,,397,,,,287,
2017-10-20,,266,,,,201,
2017-10-21,,137,,,,108,
2017-10-22,,151,,,,119,
2017-10-23,,168,,,,133,
2017-10-24,,195,,,,172,
2017-10-25,,249,,,,219,
2017-10-26,,198,,,,168,
2017-10-27,,183,,,,142,
2017-10-28,,142,,,,124,
2017-10-29,,143,,,,130,
2017-10-30,,194,,,,153,
2017-10-31,,139,,,,124,
2017-11-01,,238,,,,182,
2017-11-02,,231,,,,181,
2017-11-03,,141,,,,137,
2017-11-04,,149,,,,118,
2017-11-05,,148,,,,128,
2017-11-06,,740,,,,874,
2017-11-07,,383,,,,427,
2017-11-08,,368,,,,359,
2017-11-09,,457,,,,497,
2017-11-10,,208,,,,203,
2017-11-11,,181,,,,160,
2017-11-12,,215,,,,206,
2017-11-13,,143,,,,133,
2017-11-14,,153,,,,191,
2017-11-15,,219,,,,253,
2017-11-16,,523,,,,565,
2017-11-17,,276,,,,283,
2017-11-18,,178,,,,212,
2017-11-19,,165,,,,182,
2017-11-20,,1593,,,,1594,
