date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses,medianTxValue(USD)
2017-04-25,,27,,,,17,
2017-04-26,,84,,,,72,
2017-04-27,,6,,,,7,
2017-04-28,,9,,,,10,
2017-04-29,,4,,,,4,
2017-04-30,,9,,,,10,
2017-05-01,,18,,,,10,
2017-05-02,,35,,,,23,
2017-05-03,,34,,,,20,
2017-05-04,,30,,,,22,
2017-05-05,,15,,,,14,
2017-05-06,,26,,,,13,
2017-05-07,,26,,,,27,
2017-05-08,,28,,,,23,
2017-05-09,,43,,,,35,
2017-05-10,,25,,,,18,
2017-05-11,,46,,,,32,
2017-05-12,,39,,,,32,
2017-05-13,,59,,,,53,
2017-05-14,,31,,,,26,
2017-05-15,,33,,,,30,
2017-05-16,,44,,,,37,
2017-05-17,,31,,,,25,
2017-05-18,,19,,,,14,
2017-05-19,,45,,,,37,
2017-05-20,,48,,,,41,
2017-05-21,,51,,,,47,
2017-05-22,,174,,,,130,
2017-05-23,,583,,,,405,
2017-05-24,,788,,,,600,
2017-05-25,,524,,,,410,
2017-05-26,,428,,,,339,
2017-05-27,,84,,,,78,
2017-05-28,,11,,,,11,
2017-05-29,,6,,,,8,
2017-05-30,,4,,,,4,
2017-05-31,,15,,,,15,
2017-06-01,,36,,,,24,
2017-06-02,,32,,,,24,
2017-06-03,,45,,,,34,
2017-06-04,,74,,,,34,
2017-06-05,,54,,,,37,
2017-06-06,,134,,,,75,
2017-06-07,,669,,,,371,
2017-06-08,1739289.0189531834,764,0.0,48.96,450758.00000000006,444,265.8528
2017-06-09,1370787.4692955683,569,0.0,49.18,202186.99999999997,323,393.44
2017-06-10,1611258.223644454,618,0.0,58.58,379805.0,320,408.9442099425113
2017-06-11,67415.87756979202,401,0.0,3.35,311346.0,259,30.150000000000002
2017-06-12,1648144.2972566008,438,0.0,34.22,209633.0,246,336.44883116802106
2017-06-13,2858833.7462233733,417,0.0,38.43,386655.0,279,853.146
2017-06-14,2426949.657770775,472,0.0,38.68,725718.9999999999,267,597.3969521642902
2017-06-15,3344947.7693681195,445,0.0,47.99,681138.0,274,527.89
2017-06-16,3484150.932684258,448,89164629.19882427,46.21,664325.0,269,462.1
2017-06-17,1428510.3838882423,526,93720373.44866459,48.57,598619.0,278,483.27149999999995
2017-06-18,1268197.5724768855,442,146353654.6105421,74.44,460198.99999999994,285,446.63798044247767
2017-06-19,5042738.467107851,1087,139700760.84179688,71.05,1782450.0,584,677.7139110923856
2017-06-20,10954819.02468021,737,358332566.53251094,182.19,875154.0,475,994.194858208162
2017-06-21,1231220.2406458731,239,247393396.77432713,125.79,196939.0,250,943.4250000000001
2017-06-22,3998851.0415975926,714,201002487.4230883,102.2,595125.0,529,948.5673083799375
2017-06-23,3179529.4847248737,877,189344695.9582198,96.25,648668.0,600,602.2362499999999
2017-06-24,7994727.417609,546,179675422.0473269,91.33,533137.0,385,821.97
2017-06-25,1539200.403779527,501,161269184.25085366,81.98,448249.0,343,491.88
2017-06-26,1433326.8692986153,509,174386425.4826087,88.64,365080.0,354,560.9139200000001
2017-06-27,1455376.029297311,559,156769791.3062994,79.69,660872.0,394,478.14
2017-06-28,1487576.026488084,491,180259707.0559742,91.63,474827.00000000006,361,414.44248999999996
2017-06-29,7615904.604117427,519,200577447.38983828,101.96,403049.0,372,619.1862612944617
2017-06-30,1657504.912486094,540,166559879.3738506,84.67,404239.0,365,524.9540000000001
2017-07-01,1706964.2207926481,479,163900869.0967742,83.31,418430.0,345,530.18484
2017-07-02,1977693.0642602763,451,158083167.34730273,80.36,516134.0,317,755.8367822364844
2017-07-03,3946060.621462458,1315,174866060.55585513,88.89,1475569.9999999998,783,533.34
2017-07-04,6312539.391447531,1873,267473386.31933492,135.96,2074780.0,1076,679.66404
2017-07-05,7476742.604093271,1157,368587345.89155275,187.33,1657050.0,766,905.8350343204365
2017-07-06,9558687.439118467,1139,403039754.51211405,204.79,1289000.0,776,819.16
2017-07-07,4559512.72241368,1150,405742912.9088645,206.16,1175170.0,769,810.62112
2017-07-08,11062132.852078304,1073,332598681.9421258,169.0,1094770.0,695,1014.0
2017-07-09,4282482.218199323,1053,354504935.62914395,180.13,831020.0,717,540.39
2017-07-10,6913527.177608738,1301,294079554.8995763,149.43,912641.0,806,555.8796000000001
2017-07-11,3206764.661264063,1021,263673102.2576892,133.98,568388.0,751,499.87937999999997
2017-07-12,4604157.256898521,1045,253958798.90174833,129.04,1024050.0,739,503.256
2017-07-13,6048512.85715644,852,308211601.4991071,156.61,551359.0,622,682.2680531079036
2017-07-14,2666968.2684689546,1062,252914169.04017302,128.51,750738.0,759,628.092625
2017-07-15,3306529.3368346225,955,229251786.49948698,116.49,526734.0,713,495.0496444211568
2017-07-16,3022110.2519803448,944,210107806.46475995,106.74,846448.0,672,533.6999999999999
2017-07-17,4380088.481418224,1184,268352099.83618632,136.33,1096830.0,857,681.6500000000001
2017-07-18,9738365.646425465,1600,309557685.29338056,157.26,2329790.0,1069,786.3
2017-07-19,11741364.601122005,1390,435744953.4446533,221.25,1940829.9999999998,938,885.0
2017-07-20,6776499.747518695,902,357525050.8769853,181.53,1201120.0,700,726.2107649999999
2017-07-21,5440189.0023536105,811,413855099.08657223,210.13,1171560.0,594,971.6411199999999
2017-07-22,3748965.166021814,950,405136921.1998969,205.71,1366800.0,680,617.13
2017-07-23,22803451358.08478,1338,465552441.3238413,232.05,2101720.0,924,926.8557750144421
2017-07-24,33902447.7228445,3360,398914553.64482087,198.83,7801210.0,2037,994.1500000000001
2017-07-25,10749019.34753868,1348,400706694.5823771,199.73,1662690.0,950,799.91865
2017-07-26,5628581.300816568,1015,318804368.0068658,158.9,979729.0,800,636.8712
2017-07-27,4880871.688769411,1048,292426018.09511733,145.76,1247980.0,780,728.8
2017-07-28,4404191.591031411,716,317202172.7693032,158.11,928039.0,547,634.258265
2017-07-29,3107707.589490014,712,297899990.0590868,148.48,780459.9999999999,554,469.76814909106486
2017-07-30,2266839.807873171,627,314415182.5220108,156.72,529467.0,477,470.15999999999997
2017-07-31,3463597.3335553324,733,283193750.2783047,141.15,849255.0,561,564.6
2017-08-01,3562559.7754045604,817,307233680.93530023,153.14,1128220.0,639,756.3584599999999
2017-08-02,4657321.831380938,1149,387505984.8895142,193.15,1353000.0,828,869.1750000000001
2017-08-03,2655737.205822771,796,340401160.7342074,169.67,929780.0,609,509.01
2017-08-04,15408198.52715181,971,320940268.22479135,159.97,1432100.0,721,639.88
2017-08-05,8114370.973318275,942,302685382.03764755,150.87,1016800.0,678,603.4797660681052
2017-08-06,3345636.636662506,849,303039314.8471865,151.03,1073450.0,614,684.7700199999999
2017-08-07,7569197.065391155,954,326777751.68858975,162.86,1708830.0,698,812.4771374764655
2017-08-08,9535263.602026016,1123,313654275.4866008,156.0,1574720.0,850,780.0
2017-08-09,3186105.822660958,936,285801762.7573501,142.15,1016900.0,719,710.75
2017-08-10,5131968.385946314,818,258600648.41899318,128.62,1322830.0,649,643.1
2017-08-11,2449888.4759856625,802,266504140.28352436,132.55,866089.0,624,704.1056000000001
2017-08-12,3862948.2842127257,952,270367398.0681486,134.47,1043500.0,731,707.3794350000001
2017-08-13,3177900.300976393,1074,246320419.71358025,122.52,1005649.9999999999,805,672.299450126801
2017-08-14,1769581.8737783292,600,243340577.5623581,121.03,546326.0,496,610.6746063386328
2017-08-15,2064422.9497136928,529,257392744.31411102,128.02,484945.0,420,693.078469076065
2017-08-16,1088064.3667110738,415,243720911.8051495,121.22,276008.0,376,601.00876
2017-08-17,6948979.886487492,616,242220347.29228777,120.48,417889.0,500,562.981723205902
2017-08-18,2041239.472803575,656,279397920.6520146,138.92,478251.0,545,694.5999999999999
2017-08-19,2065624.0001052327,420,252737272.62679392,125.67,233569.0,378,650.8337410584533
2017-08-20,991625.6517478625,490,254010301.33718628,126.3,254550.0,416,579.3638152685808
2017-08-21,4477229.71750127,568,254074915.6068453,126.33,398006.0,450,631.65
2017-08-22,3169232.443254427,513,246062298.35607994,122.35,373934.0,401,702.90075
2017-08-23,1339009.6608189791,630,227473078.98356396,113.11,395507.0,482,458.69961824780006
2017-08-24,4201674.091100679,1055,216627201.64338535,107.71,1207530.0,765,601.4262127923623
2017-08-25,1952867.7133761155,639,217860496.96914226,108.33,562288.0,504,655.17984
2017-08-26,1667820.992096344,683,230739625.3874306,114.73,529091.0,479,484.96371000000005
2017-08-27,1797879.656433287,622,214046323.75285286,106.43,540851.0,502,585.365
2017-08-28,2479452.773541293,675,201111515.9650973,100.0,1191200.0,496,900.0
2017-08-29,1977317.8901969108,549,209445561.62606615,104.14,441795.99999999994,463,696.28004
2017-08-30,2791757.0205371645,940,209702106.50608194,104.27,787137.0,715,560.13844
2017-08-31,2736795.6248844345,540,188026750.34756744,93.49,540121.0,476,678.5295598606349
2017-09-01,5545971.067265277,1179,189683128.1619088,94.32,1127460.0,901,679.1039999999999
2017-09-02,1596843.7303975115,804,189206370.46003264,94.08,655107.0,629,564.48
2017-09-03,1233222.4783021936,602,197371141.87155965,98.14,616404.0,451,490.7
2017-09-04,1539348.2179900673,585,199498555.23485908,99.2,499374.0,465,496.0
2017-09-05,1864753.2552080718,541,201849528.0183121,100.37,529581.0,424,501.85
2017-09-06,1746996.0077673532,459,203841109.08657372,101.36,519034.0,391,628.432
2017-09-07,1182447.8816936717,477,219201970.3585504,108.99,434926.0,408,688.782946985054
2017-09-08,2322259.8923271503,597,209644717.0888652,104.24,613955.0,509,514.11168
2017-09-09,1847842.2381869098,716,207584944.42042357,103.22,1067610.0,572,519.360333043668
2017-09-10,1621569.184808081,424,191243808.62744647,95.09,324440.0,348,630.5171758850828
2017-09-11,1517753.6535324557,562,176237509.22190723,87.63,611174.0,484,621.8605120160926
2017-09-12,1125064.0437866556,500,176257342.93894282,87.64,412080.0,401,596.7724075796649
2017-09-13,1437053.9452260267,492,183856324.5328404,91.42,457586.0,413,620.8175568820865
2017-09-14,747443.0856886868,479,163064419.75247666,81.08,267914.0,396,427.37268
2017-09-15,930100.9943652699,447,141141415.29312733,70.18,293120.0,383,366.6905
2017-09-16,840252.5143933402,478,175484888.55949074,87.26,466838.0,388,463.00156000000004
2017-09-17,4376270.6102700485,308,173475481.43007362,86.26,287407.0,266,421.46636
2017-09-18,1779046.8769216011,427,214380687.5979112,106.6,580538.0,345,613.0323452153597
2017-09-19,1059185.337620662,330,200842827.6535755,99.86,379193.0,275,498.5291884210653
2017-09-20,1239885.9595749467,362,177045609.21098298,88.03,558018.0,286,616.21
2017-09-21,8887606909.519545,319,182379153.03905764,90.69,337306.0,270,634.8299999999999
2017-09-22,920740.5075170513,321,162121192.01386288,80.61,463277.0,294,403.05
2017-09-23,407408.0676107962,272,160914206.7803275,80.01,220339.00000000003,239,266.43330000000003
2017-09-24,480419.8341867439,155,174415451.1500766,86.73,147935.0,154,433.65000000000003
2017-09-25,672807.2878935089,201,157829738.27019018,78.48,265708.0,197,583.18488
2017-09-26,560651.7016287264,253,162819977.73214972,80.96,269815.0,216,415.56768
2017-09-27,767611.1324870827,265,156126620.77677497,77.63,354517.99999999994,234,520.121
2017-09-28,799717.8827143513,286,166940942.2350518,83.01,282470.0,238,672.381
2017-09-29,632483.6562060395,291,151209705.0854426,75.19,264286.0,268,559.250151633638
2017-09-30,896867.1550503469,299,150830189.9907322,75.0,214287.0,244,424.875
2017-10-01,710729.6420861093,273,130805940.34957714,65.04,245037.0,270,585.36
2017-10-02,610254.6194202047,307,149871858.88527372,74.52,268205.0,281,541.4579382670502
2017-10-03,1060424.047715747,344,141785605.312085,70.5,398208.0,281,705.0
2017-10-04,1170876.8126724847,302,136637289.73291555,67.94,370106.0,284,523.6045087569378
