date,txVolume(USD),adjustedTxVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),realizedCap(USD),generatedCoins,fees,activeAddresses,averageDifficulty,paymentCount,medianTxValue(USD),medianFee,blockSize,blockCount
2014-01-10,,,0,,,,0.0,100.0,0.0,2,0.000244140625,0,,,372,2
2014-01-11,,,1428,,,,0.0,477450.0,0.117,5867,0.00865176942051335,191,,0.0,2235295,9549
2014-01-12,,,2279,,,,0.0,144500.0,0.811,3611,0.186774280631794,1739,,0.0,1335176,2890
2014-01-13,,,1637,,,,0.0,55600.0,1.031,2135,0.61129974068615,1569,,0.001,743900,1112
2014-01-14,,,1456,,,,0.0,57250.0,3.44604701,2208,1.03501732232792,1400,,0.001,873737,1145
2014-01-15,,,1744,,,,0.0,48800.0,5.33900769,2707,1.43780166739795,1513,,0.001,874694,976
2014-01-16,,,1307,,,,0.0,35400.0,2.007,2048,1.7328275105616,1310,,0.001,625917,708
2014-01-17,,,617,,,,0.0,19350.0,1.31800002,915,2.25693224371105,567,,0.001,284326,387
2014-01-18,,,980,,,,0.0,22100.0,0.705,1453,2.25693224371105,925,,0.001,525851,442
2014-01-19,,,1621,,,,0.0,38050.0,2.966,1949,2.2569322437111,1599,,0.001,679812,761
2014-01-20,15829.1269064438,12463.317076365898,2593,69815.01092909694,0.072872,14602.0,0.0,59650.0,1.538,3099,2.1202510128241,2523,2.4544656824464,0.001,1093603,1193
2014-01-21,41400.26928449996,32158.322433206715,2531,205297.08049240845,0.201994,13404.0,0.0,60350.0,12.490476300000001,3133,2.72480593992575,2442,7.273878821195741,0.001,1172300,1207
2014-01-22,76288.36895014711,54687.657356602525,2213,288217.6039229167,0.27664,21147.0,0.0,37900.0,2.4234844,2809,5.65278596722954,2120,10.08808453744,0.001,965421,758
2014-01-23,75795.45404589301,59689.00387572987,2891,337641.58085758827,0.304511,50128.0,0.0,52350.0,2.86500001,3571,5.65717981933478,2822,10.626564719027149,0.001,1225214,1047
