date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),medianTxValue(USD),fees,medianFee,activeAddresses
2016-06-02,,,0.0,1.33,83734.0,,,,
2016-06-03,,,0.0,1.29,57721.0,,,,
2016-06-04,,,0.0,1.09,4912.0,,,,
2016-06-05,,,0.0,0.587588,41700.0,,,,
2016-06-06,,,0.0,0.712541,95573.0,,,,
2016-06-07,,,0.0,0.768551,45932.0,,,,
2016-06-08,,,0.0,0.836892,56105.0,,,,
2016-06-09,,,0.0,1.02,27163.0,,,,
2016-06-10,,,0.0,1.41,63162.0,,,,
2016-06-11,,,0.0,1.56,34845.0,,,,
2016-06-12,,,0.0,1.37,40759.0,,,,
2016-06-13,,,0.0,1.22,79492.0,,,,
2016-06-14,,,0.0,1.32,51762.0,,,,
2016-06-15,,,0.0,0.911755,41509.0,,,,
2016-06-16,,,0.0,0.956326,43879.0,,,,
2016-06-17,,,0.0,0.930645,42058.0,,,,
2016-06-18,,,0.0,0.898507,173575.0,,,,
2016-06-19,,,0.0,0.665885,112349.0,,,,
2016-06-20,,,60424299.999999985,0.604243,1771960.0,,,,
2016-06-21,,,28920900.0,0.289209,626728.0,,,,
2016-06-22,,,23025200.0,0.230252,878411.0,,,,
2016-06-23,,,19137900.0,0.191379,530030.0,,,,
2016-06-24,,,19998300.0,0.199983,715427.0,,,,
2016-06-25,,,19349800.0,0.193498,412951.0,,,,
2016-06-26,,,20478299.999999996,0.204783,328673.0,,,,
2016-06-27,,,17000700.0,0.170007,169379.0,,,,
2016-06-28,,,17410000.0,0.1741,228770.00000000003,,,,
2016-06-29,,,14656800.0,0.146568,234893.0,,,,
2016-06-30,,,14323199.999999998,0.143232,311147.99999999994,,,,
2016-07-01,,,13927400.000000004,0.139274,233053.0,,,,
2016-07-02,,,14497500.0,0.144975,261410.00000000003,,,,
2016-07-03,,,18074600.0,0.180746,334447.0,,,,
2016-07-04,,,19283400.0,0.192834,301807.0,,,,
2016-07-05,,,22530900.0,0.225309,225635.0,,,,
2016-07-06,,,21995000.0,0.21995,218669.0,,,,
2016-07-07,,,22829200.0,0.228292,268443.0,,,,
2016-07-08,,,23318700.0,0.233187,203189.0,,,,
2016-07-09,,,19369100.0,0.193691,106202.00000000001,,,,
2016-07-10,,,22455700.0,0.224557,88774.0,,,,
2016-07-11,,,21804800.0,0.218048,88437.0,,,,
2016-07-12,,,21689700.0,0.216897,136972.0,,,,
2016-07-13,,,19973600.0,0.199736,103542.0,,,,
2016-07-14,,,19320600.0,0.193206,154375.0,,,,
2016-07-15,,,19662500.0,0.196625,115159.0,,,,
2016-07-16,,,20508200.0,0.205082,36851.0,,,,
2016-07-17,,,19385900.0,0.193859,60718.0,,,,
2016-07-18,,,19713600.0,0.197136,132592.0,,,,
2016-07-19,,,22483500.0,0.224835,168579.0,,,,
2016-07-20,,,20923800.0,0.209238,70378.0,,,,
2016-07-21,,,21109500.0,0.211095,93206.0,,,,
2016-07-22,,,20632400.0,0.206324,102240.0,,,,
2016-07-23,,,19123200.0,0.191232,48054.0,,,,
2016-07-24,,,20141600.0,0.201416,136512.0,,,,
2016-07-25,,,20216000.0,0.20216,115927.00000000001,,,,
2016-07-26,,,20203500.0,0.202035,199906.0,,,,
2016-07-27,,,17330600.0,0.173306,211513.0,,,,
2016-07-28,,,18216800.0,0.182168,79472.0,,,,
2016-07-29,,,17624200.0,0.176242,52603.0,,,,
2016-07-30,,,19174700.0,0.191747,30568.0,,,,
2016-07-31,,,18536600.0,0.185366,66910.0,,,,
2016-08-01,,,17216100.0,0.172161,79352.0,,,,
2016-08-02,,,16490500.0,0.164905,197249.99999999997,,,,
2016-08-03,,,12752700.0,0.127527,106321.0,,,,
2016-08-04,,,14458299.999999998,0.144583,78311.0,,,,
2016-08-05,,,15663200.0,0.156632,87961.0,,,,
2016-08-06,,,16482000.0,0.16482,52232.0,,,,
2016-08-07,,,17275700.0,0.172757,51728.0,,,,
2016-08-08,,,16083500.0,0.160835,85297.0,,,,
2016-08-09,,,17726000.0,0.17726,39850.0,,,,
2016-08-10,,,17342900.0,0.173429,115903.99999999999,,,,
2016-08-11,,,18904500.0,0.189045,112529.00000000001,,,,
2016-08-12,,,18093200.0,0.180932,148755.0,,,,
2016-08-13,,,18293200.0,0.182932,109816.0,,,,
2016-08-14,,,17761500.0,0.177615,115312.0,,,,
2016-08-15,,,17343100.0,0.173431,59199.0,,,,
2016-08-16,,,17382300.0,0.173823,66316.0,,,,
2016-08-17,,,17459400.0,0.174594,82779.0,,,,
2016-08-18,,,17763600.0,0.177636,54480.0,,,,
2016-08-19,,,17531400.0,0.175314,33598.0,,,,
2016-08-20,,,17840200.0,0.178402,23310.0,,,,
2016-08-21,,,17899800.0,0.178998,83163.0,,,,
2016-08-22,,,17443800.0,0.174438,67344.0,,,,
2016-08-23,,,17845200.0,0.178452,59064.0,,,,
2016-08-24,,,17658000.0,0.17658,45227.0,,,,
2016-08-25,,,17033400.0,0.170334,26812.0,,,,
2016-08-26,,,16798000.0,0.16798,30915.0,,,,
2016-08-27,,,16953100.0,0.169531,23585.999999999996,,,,
2016-08-28,,,16224900.0,0.162249,35982.0,,,,
2016-08-29,,,15185299.999999998,0.151853,53334.0,,,,
2016-08-30,,,15901700.0,0.159017,44755.0,,,,
2016-08-31,,,15848599.999999998,0.158486,59938.0,,,,
2016-09-01,,,16398400.0,0.163984,48630.0,,,,
2016-09-02,,,16111100.0,0.161111,45929.0,,,,
2016-09-03,,,17119100.0,0.171191,54250.00000000001,,,,
2016-09-04,,,16534500.0,0.165345,28552.0,,,,
2016-09-05,,,16576600.0,0.165766,26388.0,,,,
2016-09-06,,,17032700.0,0.170327,68491.0,,,,
2016-09-07,,,16646400.0,0.166464,58305.0,,,,
2016-09-08,,,16003000.0,0.16003,24373.0,,,,
2016-09-09,,,16237700.0,0.162377,33322.0,,,,
2016-09-10,,,16681099.999999998,0.166811,27087.0,,,,
2016-09-11,,,16236200.0,0.162362,37636.0,,,,
2016-09-12,,,16084300.000000002,0.160843,39086.0,,,,
2016-09-13,,,17135000.0,0.17135,29377.0,,,,
2016-09-14,,,16899800.0,0.168998,20792.0,,,,
2016-09-15,,,17305400.0,0.173054,43596.0,,,,
2016-09-16,,,16559600.0,0.165596,12703.0,,,,
2016-09-17,,,16514200.000000002,0.165142,89094.0,,,,
2016-09-18,,,17917600.0,0.179176,55809.00000000001,,,,
2016-09-19,,,18466200.0,0.184662,42683.0,,,,
2016-09-20,,,19137000.0,0.19137,171638.0,,,,
2016-09-21,,,21545200.0,0.215452,127409.0,,,,
2016-09-22,,,19953200.0,0.199532,53944.0,,,,
2016-09-23,,,19600000.0,0.196,38658.0,,,,
2016-09-24,,,18661800.0,0.186618,68776.0,,,,
2016-09-25,,,18147200.0,0.181472,62099.00000000001,,,,
2016-09-26,,,17491900.0,0.174919,36526.0,,,,
2016-09-27,,,17345500.0,0.173455,41339.0,,,,
2016-09-28,,,17363800.0,0.173638,25885.0,,,,
2016-09-29,,,17311200.0,0.173112,42652.0,,,,
2016-09-30,,,17318400.0,0.173184,143538.0,,,,
2016-10-01,,,19672700.0,0.196727,68996.0,,,,
2016-10-02,,,18593000.0,0.18593,27277.000000000004,,,,
2016-10-03,,,18745700.0,0.187457,65785.0,,,,
2016-10-04,,,19255300.0,0.192553,110394.0,,,,
2016-10-05,,,21102800.0,0.211028,236077.0,,,,
2016-10-06,,,21305400.0,0.213054,115933.0,,,,
2016-10-07,,,21098700.0,0.210987,136663.0,,,,
2016-10-08,,,20381700.0,0.203817,50465.0,,,,
2016-10-09,,,21253000.0,0.21253,58742.0,,,,
2016-10-10,,,21230700.0,0.212307,27118.0,,,,
2016-10-11,,,20994000.0,0.20994,85220.0,,,,
2016-10-12,,,20956700.0,0.209567,30333.0,,,,
2016-10-13,,,21285100.0,0.212851,41826.0,,,,
2016-10-14,,,20580800.0,0.205808,76178.0,,,,
2016-10-15,,,20968900.0,0.209689,136396.0,,,,
2016-10-16,,,22346300.0,0.223463,236807.00000000003,,,,
2016-10-17,,,23530000.0,0.2353,177063.0,,,,
2016-10-18,,,24429800.0,0.244298,146243.0,,,,
2016-10-19,,,24558800.0,0.245588,326732.0,,,,
2016-10-20,,,24914900.0,0.249149,75405.0,,,,
2016-10-21,,,24055000.0,0.24055,39153.0,,,,
2016-10-22,,,24377300.000000004,0.243773,211276.0,,,,
2016-10-23,,,27536800.0,0.275368,324055.0,,,,
2016-10-24,,,31369399.999999996,0.313694,517981.0,,,,
2016-10-25,,,33827200.0,0.338272,307680.0,,,,
2016-10-26,,,35485000.0,0.35485,515087.0,,,,
2016-10-27,,,33353800.0,0.333538,409264.99999999994,,,,
2016-10-28,,,32937699.999999996,0.329377,206322.0,,,,
2016-10-29,,,33797600.0,0.337976,255905.00000000003,,,,
2016-10-30,,,34671600.0,0.346716,249472.99999999997,,,,
2016-10-31,,,35108500.0,0.351085,234987.0,,,,
2016-11-01,,,32799400.0,0.327994,129183.0,,,,
2016-11-02,,,34587000.0,0.34587,58897.0,,,,
2016-11-03,,,35293200.0,0.352932,212870.0,,,,
2016-11-04,,,34633900.0,0.346339,90495.0,,,,
2016-11-05,,,34051900.0,0.340519,65271.0,,,,
2016-11-06,,,34985500.0,0.349855,112262.0,,,,
2016-11-07,,,36833200.0,0.368332,102888.0,,,,
2016-11-08,,,35172200.0,0.351722,78647.0,,,,
2016-11-09,,,34911100.0,0.349111,208008.0,,,,
2016-11-10,,,36902800.0,0.369028,136051.0,,,,
2016-11-11,,,37561200.0,0.375612,87279.0,,,,
2016-11-12,,,37622500.0,0.376225,167249.0,,,,
2016-11-13,,,40094600.0,0.400946,125585.0,,,,
2016-11-14,,,39031800.0,0.390318,168500.0,,,,
2016-11-15,,,38037600.0,0.380376,236251.0,,,,
2016-11-16,,,35775500.0,0.357755,200041.0,,,,
2016-11-17,,,33227400.0,0.332274,164967.0,,,,
2016-11-18,,,32468199.999999996,0.324682,308090.0,,,,
2016-11-19,,,29740400.0,0.297404,164366.0,,,,
2016-11-20,,,30757800.0,0.307578,100018.0,,,,
2016-11-21,22151.49551266208,18,27727600.000000004,0.277276,77955.0,351.09140363529247,0.027,0.001,18
2016-11-22,0.005485794,7,28872600.0,0.288726,75607.0,0.000288726,0.007,0.001,3
2016-11-23,,,27887099.999999996,0.278871,38300.0,,,,
2016-11-24,,,27289200.0,0.272892,140550.0,,,,
2016-11-25,,,26130800.0,0.261308,52721.0,,,,
2016-11-26,,,23308700.0,0.233087,102524.0,,,,
2016-11-27,,,21718300.0,0.217183,72829.0,,,,
2016-11-28,,,25746799.999999996,0.257468,94741.0,,,,
2016-11-29,,,30946600.000000004,0.309466,129517.99999999999,,,,
2016-11-30,,,25969399.999999996,0.259694,69225.0,,,,
2016-12-01,,,25279600.000000004,0.252796,38650.0,,,,
2016-12-02,,,24614400.0,0.246144,53633.0,,,,
