date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses,medianTxValue(USD)
2017-07-21,,3,,,,4,
2017-07-22,,,,,,,
2017-07-23,,,,,,,
2017-07-24,,10,,,,18,
2017-07-25,,15,,,,14,
2017-07-26,,68,,,,63,
2017-07-27,,113,,,,94,
2017-07-28,,91,,,,76,
2017-07-29,,49,,,,27,
2017-07-30,,,,,,,
2017-07-31,,,,,,,
2017-08-01,,20,,,,25,
2017-08-02,,19,,,,22,
2017-08-03,,164,,,,151,
2017-08-04,,19,,,,18,
2017-08-05,,6,,,,9,
2017-08-06,,5,,,,8,
2017-08-07,,28,,,,25,
2017-08-08,,48,,,,17,
2017-08-09,,20,,,,17,
2017-08-10,,6,,,,7,
2017-08-11,,9,,,,11,
2017-08-12,,4,,,,6,
2017-08-13,,17,,,,15,
2017-08-14,,23,,,,22,
2017-08-15,,22,,,,12,
2017-08-16,,17,,,,19,
2017-08-17,,18,,,,21,
2017-08-18,,7,,,,10,
2017-08-19,,19,,,,24,
2017-08-20,,15,,,,17,
2017-08-21,,36,,,,37,
2017-08-22,,41,,,,33,
2017-08-23,,31,,,,33,
2017-08-24,,369,,,,521,
2017-08-25,,513,,,,613,
2017-08-26,,359,,,,472,
2017-08-27,3846887.405519064,340,0.0,1.06,10689000.0,431,1118.022333
2017-08-28,1701011.3277992257,147,0.0,1.09,2767610.0,189,980.78745
2017-08-29,517213.3200445369,98,0.0,0.933622,4040230.0,111,794.48129307283
2017-08-30,460016.7980179676,140,0.0,0.88867,2348320.0,153,684.20036305
2017-08-31,308055.32488620357,68,0.0,0.641001,2638570.0,76,660.503455425
2017-09-01,413872.4730381145,151,0.0,0.608858,15663800.0,158,578.9983250782
2017-09-02,1919155.5095828397,256,39179189.64171123,1.57,10974200.0,279,1042.10305085
2017-09-03,1861557.396633107,398,45356489.62962963,1.82,30155700.0,380,786.3430575
2017-09-04,29576810.45736117,460,73693030.39999999,2.96,16344800.0,407,1453.458198
2017-09-05,1697393.2493055712,601,45650220.56198347,1.84,16728900.0,265,36.616
2017-09-06,1907081.0519945065,315,29281001.92523364,1.18,8262150.0,265,434.86658
2017-09-07,238052.4206048596,185,25211847.25,1.01,8630600.0,177,185.2138
2017-09-08,2661762.1146519366,560,39107109.310077526,1.57,15172300.0,448,434.06575000000004
2017-09-09,646456.9642473677,403,32288598.466257673,1.3,4611730.0,310,323.7
2017-09-10,1708296.7334864927,460,40163448.23417722,1.61,6472840.0,312,483.00000000000006
2017-09-11,12879453.338011904,648,39606030.0,1.59,13896400.0,516,483.05152410000005
2017-09-12,2452027.663717725,917,52649831.35555556,2.12,20894100.0,708,455.4922396
2017-09-13,2386234.4983948185,423,45426335.96907217,1.82,5015140.0,343,586.60784
2017-09-14,674243.8778444481,340,47457252.43589743,1.9,5627240.0,285,387.59999999999997
2017-09-15,516214.6713305747,303,38579906.763005786,1.55,4709050.0,266,310.0
2017-09-16,751594.2870599229,224,43464519.36416185,1.75,2172600.0,204,304.255
2017-09-17,507040.18433324265,174,43004930.23529412,1.73,1102610.0,153,264.336907
2017-09-18,616677.3169362368,202,42115349.016574584,1.69,1501820.0,170,347.349925
2017-09-19,681748.0780615412,256,45413958.30263158,1.82,2457140.0,205,477.7032260000001
2017-09-20,298504.8911372279,194,37721133.02325582,1.52,1736010.0,175,295.42036
2017-09-21,357053.82021198963,201,31577269.92063492,1.27,1456349.9999999998,183,278.9161427
2017-09-22,136843.24926842222,135,32063681.57718121,1.29,1572810.0,119,193.1775
2017-09-23,129433.16350050512,136,36931537.87570621,1.48,2115510.0,127,257.17368
2017-09-24,438596.6764976707,137,44293781.59116022,1.78,1746370.0,127,356.0
2017-09-25,381965.47000637365,207,44799812.18181818,1.8,2975160.0,193,360.0
2017-09-26,839598.1497301364,353,54845374.466666676,2.2,10433800.0,351,464.48041200000006
2017-09-27,1822294.2178737195,622,71297844.59147869,2.86,19088400.0,532,461.38092
2017-09-28,9639977.28437399,1065,99815004.75684379,4.01,36777800.0,965,432.24591999999996
2017-09-29,4727674.133038536,622,154893832.318264,6.22,23391200.0,580,622.0
2017-09-30,6260399.61797772,427,136686694.48333332,5.49,21174400.0,415,594.29799
