date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),fees,activeAddresses,medianTxValue(USD),medianFee
2015-03-29,,1371,,,,382.0,1348,,0.0
2015-03-30,,1,,,,9.0,2,,9.0
2015-03-31,,533,,,,24319.286752,312,,6.0
2015-04-01,151901.4574447124,719,3604864.4628099175,0.0004,65525.0,31835.690282,421,0.4,6.0
2015-04-02,72930.33251739846,1369,2176099.4522292996,0.000242,28549.0,23423.028267,257,2.42e-10,10.0
2015-04-03,34347.932091967356,5945,2783449.074193548,0.000309,20678.0,67380.666269,245,3.0899999999999997e-10,10.0
2015-04-04,30479.063047036572,4555,2785266.0649819495,0.00031,23550.0,52142.913658,212,3.0999999999999996e-10,10.0
2015-04-05,43122.73102760029,6673,2447282.4827586208,0.000272,26800.0,73618.754782,187,2.72e-10,10.0
2015-04-06,32179.223026318756,3975,2085875.8754325262,0.000232,22512.0,45846.435994,205,2.32e-10,10.0
2015-04-07,31120.46025417936,7741,2586848.265560166,0.000288,14437.0,82416.440551,152,2.88e-10,10.0
2015-04-08,24228.546340964556,9372,2203742.763157895,0.000245,6933.0,97923.23669,177,2.45e-10,10.0
2015-04-09,8772.51658568844,1961,2053667.25,0.000228,10014.0,18737.571264,134,0.00228,10.0
2015-04-10,17480.82407541187,23680,2012463.3599999999,0.000224,16846.0,60601.545202,161,0.001792,2.0
2015-04-11,23658.745821957225,11845,1578285.2760736197,0.000175,22846.0,42899.94626,133,0.0014,2.0
2015-04-12,7015.139655921925,23852,1471169.897260274,0.000163,5569.0,57469.537305,106,0.001304,2.0
2015-04-13,11968.361523176874,26883,1316306.5899280575,0.000146,11803.0,149287.568054,133,0.001168,2.0
2015-04-14,14184.681841570573,29089,1254360.5294117646,0.000139,14653.999999999998,80038.608966,148,0.001112,2.0
2015-04-15,11045.691445916244,15755,1399869.522580645,0.000156,8196.0,49501.202844,122,0.001248,2.0
2015-04-16,7704.10921579099,9597,1399107.9754601228,0.000155,5317.0,65892.258322,108,0.00124,2.0
2015-04-17,7340.045431532351,17148,1512208.2395209582,0.000168,4556.0,51457.901307,97,0.001344,2.0
2015-04-18,12027.345454138504,5960,1502243.1702127657,0.000167,9117.0,31304.997764,112,0.001336,2.0
2015-04-19,9201.620981288692,12612,1270035.9183673472,0.000141,7193.0,43481.515713,111,0.001128,2.0
2015-04-20,11351.739943612507,16081,1319916.3157894737,0.000147,6681.0,51329.301024,112,0.001176,2.0
2015-04-21,6391.418890404248,13488,1195427.2992700732,0.000133,3912.0,44614.386702,106,0.001064,2.0
2015-04-22,7884.18346879416,4586,1236216.5217391306,0.000137,2353.0,24345.965281,79,0.001096,2.0
2015-04-23,7845.87747883926,8635,1245599.0802919706,0.000138,2117.0,36118.60195,99,0.001104,2.0
2015-04-24,17442.06166743439,2146,1228931.0999999999,0.000137,3058.0,19824.935988,79,0.00137,10.0
2015-04-25,8424.511657241355,1534,1344994.2642857144,0.000149,2480.0,18521.272197,82,0.00149,10.0
2015-04-26,7153.708231524119,1514,1260047.0149253728,0.00014,2074.0,19341.907226,62,0.0013999999999999998,10.0
2015-04-27,10221.153703529902,4897,1204239.0920245398,0.000134,6660.0,27952.527184,173,0.001072,2.0
2015-04-28,12300.63162318688,8180,1438018.791946309,0.00016,3358.0000000000005,30735.801465,70,0.00128,2.0
2015-04-29,9778.109044245004,1783,1342860.9795918367,0.000149,2013.0,15198.641932,75,0.00149,10.0
2015-04-30,1113.502733705082,10926,1324146.0382165606,0.000147,959.0,31681.386858,36,0.001176,2.0
2015-05-01,2628.635723733737,1474,1409041.7884615385,0.000157,692.0,16103.325719,37,0.00157,10.0
2015-05-02,1152.877623677775,1468,1377906.1548387096,0.000153,1543.0,15447.883896,34,0.0015300000000000001,10.0
2015-05-03,3608.1321781784,1495,1394700.4026845638,0.000155,4417.0,17059.201942,49,0.00155,10.0
2015-05-04,4507.963874929292,1495,1338815.324503311,0.000149,2595.0,17191.159173,39,0.00149,10.0
2015-05-05,3622.670351697704,5546,1359433.7234042552,0.000151,3974.0,31755.993137,47,0.001208,4.0
2015-05-06,2610.988776569214,1486,1264678.3006993006,0.000141,1125.0,15785.636344,36,0.0014100000000000002,10.0
2015-05-07,6443.356401200234,1579,1281793.0384615385,0.000142,2475.0,16253.613231,55,0.00142,10.0
2015-05-08,6150.9763662430205,1501,1406309.8064516129,0.000156,1043.0,15911.782755,58,0.00156,10.0
2015-05-09,3985.732301956275,1468,1394869.8,0.000155,623.0,15143.712372,36,0.00155,10.0
2015-05-10,5836.809794199299,7142,1353620.860927152,0.00015,1774.0,27300.048408,36,0.0012,2.0
