date,txCount,marketcap(USD),price(USD),exchangeVolume(USD),fees,generatedCoins,activeAddresses,medianFee,averageDifficulty,paymentCount,blockCount,blockSize
2014-04-18,4,,,,4.458444e-06,15562.508905908397,42,1e-06,56163.14237288135,24,885,332259
2014-04-19,11,,,,1.4336883e-05,23801.39517253524,376,1e-06,69769.40339233038,63,1356,641393
2014-04-20,4,,,,4.18468e-06,28784.40661407681,221,1.031781e-06,84092.53016453382,31,1641,659774
2014-04-21,30,,,,3.1e-05,28704.21026296393,459,1e-06,117482.11531421599,161,1639,636743
2014-04-22,52,,,,6.5767774e-05,25691.390029138445,1421,1.0629755e-06,238052.53605442177,296,1470,679633
2014-04-23,31,,,,4.0771005e-05,26319.913069200044,2854,1e-06,255662.59907223328,161,1509,854872
2014-04-24,12,,,,1.6241643e-05,25198.187129512018,630,1.1127085e-06,273815.8539792388,84,1445,600547
2014-04-25,79,,,,9.2618908e-05,24884.486837869903,5959,1e-06,302515.09661835746,515,1449,1928254
2014-04-26,21,,,,2.9074567e-05,26758.324800305974,3449,1.423198e-06,332938.1766233766,134,1540,920395
2014-04-27,61,,,,7.4111529e-05,26382.736127469776,6954,1e-06,424868.5394651011,401,1533,1849742
2014-04-28,184,,,,0.000216570374,24336.683825786327,14029,1e-06,521936.9451388889,1146,1440,4212750
2014-04-29,62,,,,6.6502016e-05,26118.174545691276,3432,1e-06,631001.997371879,415,1522,1862334
2014-04-30,39,,,,4.4881118e-05,24407.16006895977,2282,1e-06,603804.6364922207,277,1414,814140
2014-05-01,31,,,,4.1641844e-05,24914.672919040037,3658,1.179078e-06,653168.9065743944,186,1445,926068
2014-05-02,58,,,,7.2584789e-05,25829.426174615022,8244,1.0392415e-06,685280.300597213,396,1507,1451275
2014-05-03,50,,,,6.3421411e-05,26972.85698033046,5732,1e-06,984977.9122137404,318,1572,1227309
2014-05-04,124,,,,0.000145804741,26604.364831441202,10728,1e-06,1232411.8924731184,812,1581,3363456
2014-05-05,93,,,,0.000120088801,27695.38195047715,11502,1.108276e-06,2129424.235692308,630,1625,2236580
2014-05-06,181,,,,0.000215076687,29218.95463374365,17653,1e-06,3528827.6378814047,1208,1737,3986191
2014-05-07,52,,,,6.6404248e-05,21600.922106617334,7443,1.1286455e-06,7793570.860849056,362,1272,1530329
2014-05-08,27,,,,3.4487867e-05,25209.135222739023,2705,1.006106e-06,5896073.6858496955,175,1477,918663
2014-05-09,182,,,,0.000250752187,25923.684373165073,17875,1.331354e-06,7012152.680878553,1184,1548,2555204
2014-05-10,144,,,,0.000197527155,25377.05781195692,11517,1.344174e-06,8317205.65847176,965,1505,2068910
2014-05-11,134,,,,0.000185351031,24454.039431879373,15635,1.310285e-06,10448040.67489712,867,1458,2728369
