date,txVolume(USD),adjustedTxVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),realizedCap(USD),generatedCoins,fees,activeAddresses,averageDifficulty,paymentCount,medianTxValue(USD),medianFee,blockSize,blockCount
2016-10-28,,,406,,,,1159147.77,123.02365136,0.0387728,964,3089.31104812903,880,,0.0001,1677725,629
2016-10-29,8233044.748950409,2162291.667813354,5366,2044703.1038068545,4293.37,2532790.0,1559765.01,349.73217668,0.25014267,8245,28788.9746052999,8567,767.8801725935,1.16e-05,5464079,608
2016-10-30,8473726.453769626,1928766.8493782154,7198,2093165.1695487283,2014.38,1009210.0,1584566.78,554.91290726,0.2590202,12549,49127.073770675,20764,737.5770009792001,1.159e-05,5706404,586
2016-10-31,4866266.259593758,828426.3119779323,5830,1033211.8735611666,570.91,4333820.0,2612592.15,767.92263534,0.25981363,13352,52372.6807117671,31110,428.564952609,1.159e-05,5941939,586
2016-11-01,11592612.461093413,2800461.614478318,5588,4464784.528318863,1599.72,4802060.0,3944259.19,972.24066653,0.30023121,15724,73176.4627571175,35890,1254.82556709,1.159e-05,5741042,581
2016-11-02,11768232.089284908,2824510.296409266,6922,5257220.942818049,1326.29,3936160.0,4899811.79,1165.93871891,0.41087831,19183,88350.6341473656,46342,1248.5428536742,4.407e-05,6554648,572
2016-11-03,10083564.886857832,2303827.893796251,6844,5017614.192976129,940.66,2783300.0,5966964.13,1369.4076097,0.55510851,20269,102690.444099769,53458,857.0925839742,8.708e-05,6343244,572
2016-11-04,7872807.432870693,2531896.421579326,7208,6170747.835590581,887.66,2469390.0,6785466.93,1613.23521831,0.33327751,21782,125429.544687378,67212,796.174254143,1.159e-05,7729436,586
2016-11-05,2928623.0650865138,1993165.0293735648,3925,5257719.228015935,599.52,1984150.0,7561203.59,1799.5830690100001,0.3127255,19099,163863.301827818,91492,182.9175268176,0.0001,8446351,579
2016-11-06,2513930.4425424733,2138500.866935429,3185,5428943.960284658,504.27,2390590.0,7929354.95,1987.56421187,0.33259283,18802,182194.161948332,99627,51.1684029675,0.0001,8687900,571
2016-11-07,3517578.8349011517,1520049.9756437256,3730,4144363.133341808,319.23,1808930.0,8200586.55,2216.52474988,0.31756121,19570,163844.000223887,98557,213.675578964,0.0001,8540973,578
2016-11-08,1459869.2551227263,1183767.7016360678,3024,3593588.8392949714,233.78,2578200.0,9011124.65,2400.65442837,0.25680038,17642,167121.695290299,86765,93.50644772500002,0.0001,6863417,571
2016-11-09,2609039.8137641167,1969519.6608536413,2857,5959557.470459348,331.69,3706020.0,9444765.56,2573.9037788,0.27552544,17840,175698.668923025,86745,126.6115558357,0.0001,6949921,565
2016-11-10,2084341.0986443136,1417482.308357976,2436,5296296.495821727,254.94,1255400.0,9943186.3,2823.0773086,0.21644517,17171,213352.563566933,84839,136.46699066280001,0.0001,6171240,575
2016-11-11,1678838.9817179218,1458430.3121013835,2466,5367304.5451570675,224.67,1173130.0,10389525.43,3083.92528028,0.249479,17736,225900.276116555,106292,146.5999519212,0.0001,7249503,585
2016-11-12,1507409.297274583,1304260.6161745002,2443,4954600.701408646,183.02,1167540.0,10672966.29,3188.85176279,0.56442918,19210,250962.758403852,92425,173.0715562372,0.0001,10289442,567
2016-11-13,1255988.1667566,1117909.5399871713,2588,4377352.54468702,143.17,1401920.0,10817340.41,3479.2897819,0.97531374,20055,224999.764731161,94365,197.34983598529996,0.0001,14444430,581
2016-11-14,1284628.7987121812,979226.996117406,2699,4024741.050728086,117.55,1418260.0,11043204.7,3670.65031568,0.62686131,18849,307449.184019389,92446,172.98530223150001,0.0001,10785350,578
2016-11-15,1014924.3997949641,926901.3347546895,2505,4007602.7030364005,105.15,2030660.0,11271752.36,3946.53296927,0.61395575,18263,326567.155040575,101681,133.61799555000002,0.0001,11216776,587
2016-11-16,1211510.7923385033,1104401.468788125,2426,4623487.199071687,109.71,1443840.0,11292881.44,3966.81233667,1.33309286,20155,421672.143412118,99314,222.01509899069998,0.0001,18107736,560
