date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses,medianTxValue(USD)
2018-01-12,,3,,,,4,
2018-01-13,,,,,,,
2018-01-14,,,,,,,
2018-01-15,,,,,,,
2018-01-16,,,,,,,
2018-01-17,,,,,,,
2018-01-18,,,,,,,
2018-01-19,,,,,,,
2018-01-20,,,,,,,
2018-01-21,,,,,,,
2018-01-22,,,,,,,
2018-01-23,,,,,,,
2018-01-24,,796,,,,798,
2018-01-25,861853298.61553,4240,0.0,0.136822,4921770.0,2823,4611.670355991638
2018-01-26,341511516.5706383,3138,0.0,0.135555,13714100.0,2433,2739.430995
2018-01-27,85613263.11115806,1236,0.0,0.118157,7967360.0,1065,2363.14
2018-01-28,21526434.858016543,902,0.0,0.101224,20910700.0,785,1439.969841318148
2018-01-29,35329527.87054225,873,0.0,0.097167,12441600.0,791,1208.9731677494328
2018-01-30,20575659.22690033,737,0.0,0.089484,7572320.0,677,512.2959
2018-01-31,23837826.76772238,569,491529333.7013371,0.075515,17593500.0,510,814.8068499999999
2018-02-01,12510317.592652133,716,518849508.46584177,0.079713,17695000.0,659,1131.2504527536173
2018-02-02,16663052.308636352,1030,458471674.2701789,0.070437,10075100.0,949,678.4469646259242
2018-02-03,15423500.254487805,812,468534693.495967,0.071983,12201700.0,763,718.3549496613457
2018-02-04,9380791.419692533,660,506160911.6265189,0.077763,10996500.0,598,777.63
2018-02-05,8383524.034323761,709,395670727.1088222,0.060788,7822880.0,623,633.7948362200001
2018-02-06,9138509.335372357,816,329470844.90957963,0.050618,9636530.0,702,575.12576544
2018-02-07,7524321.096035639,765,380579834.44388723,0.05847,9181470.0,643,584.7
2018-02-08,4352748.460348496,457,350399546.14005846,0.053833,13729000.0,404,701.01941881894
2018-02-09,3626967.698623931,564,383150954.4354074,0.058865,12234200.0,467,882.975
2018-02-10,22918858.30325833,892,391255281.39885104,0.06011,15163400.0,697,1153.4150434816804
2018-02-11,5818232.623155174,667,329051487.5510749,0.050553,11548100.0,527,700.462368
2018-02-12,6856062.096366504,536,330282683.7037571,0.050725,9872650.0,463,633.5999635125067
2018-02-13,4482537.43575681,440,342776419.3346755,0.052644,7100600.0,410,597.45780888
2018-02-14,3350190.635633786,474,330008577.8241895,0.050683,9617780.0,435,770.906118367
2018-02-15,2008063.5918278017,441,354634652.48741,0.054465,12114400.0,395,554.147334375
2018-02-16,3500414.596156491,365,380079922.1928591,0.058373,10428800.0,339,476.12950571788
2018-02-17,3587521.0225221906,487,400832885.877934,0.06156,15153200.0,470,671.6196
2018-02-18,4215204.611788197,490,467975719.2774756,0.071872,13177099.999999998,440,977.8412579822071
2018-02-19,4159610.6774184047,392,413349840.23523283,0.063483,10106700.0,374,645.5294242061956
2018-02-20,6071460.317142706,383,437943691.93292147,0.06726,8398660.0,385,672.7553740662845
2018-02-21,3664420.9652091986,373,377097099.22552115,0.057915,9700100.0,370,704.1504763341478
2018-02-22,6619469.138345557,302,360688777.45115536,0.055395,8557360.0,304,656.0875812987
2018-02-23,4028817.027150896,307,331353908.07093126,0.05089,11871500.0,315,509.15445
2018-02-24,7218358.412663451,316,346991181.3946848,0.053291,9066980.0,322,654.2182682297646
2018-02-25,2014244.8928821196,4888,341883035.6347341,0.052507,8974970.0,4844,1.8902519999999998
2018-02-26,2459990.808015276,332,329762989.7069155,0.050645,8151460.0,343,818.0072673020501
2018-02-27,4236375.0973734185,331,351214974.6248729,0.05394,10371500.0,324,1064.7412481586305
2018-02-28,2190688.661031712,291,336771662.2571711,0.051722,9077890.0,307,1070.4902339999999
2018-03-01,5017253.663009051,336,318169388.3325726,0.048509,8320570.0,344,801.43516837576
