date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses,medianTxValue(USD)
2017-08-11,,13,,,,14,
2017-08-12,,,,,,,
2017-08-13,,,,,,,
2017-08-14,,2,,,,3,
2017-08-15,,22670,,,,9305,
2017-08-16,66576604.787568524,21019,67035000.0,0.111725,5232600.0,8682,2203.217
2017-08-17,36908835.9358566,9884,133813200.0,0.223022,2752410.0,6083,1115.11
2017-08-18,30126009.133716516,9497,123334800.0,0.205558,12793800.0,6071,1027.79
2017-08-19,62071814.694319874,14077,176746800.0,0.294578,52677500.0,7160,1089.9386
2017-08-20,40798122.504245214,4066,282777600.0,0.471296,16016499.999999998,2605,1013.865286045242
2017-08-21,16982698.06828854,3265,211136500.0,0.422273,15013800.0,2303,1201.147025139077
2017-08-22,13345344.327611865,2618,175773499.99999997,0.351547,8045240.0,1834,949.1769
2017-08-23,9975105.033732446,3187,182005000.0,0.36401,8663860.0,2012,728.02
2017-08-24,8334755.662466317,2491,191352500.0,0.382705,6227850.0,1630,882.135025
2017-08-25,10038251.280187765,2512,193715500.0,0.387431,6146620.0,1573,1139.5678472640002
2017-08-26,15027281.589957675,2910,181011000.0,0.362022,10377400.0,1957,1448.088
2017-08-27,4678151.644263359,1616,177403000.00000003,0.354806,4536030.0,1189,708.90061397
2017-08-28,7226566.261109638,2465,176229500.0,0.352459,6639910.0,1391,793.0327500000001
2017-08-29,8279717.711534942,2257,170550500.0,0.341101,6321130.0,1493,776.686977
2017-08-30,9123214.557418237,2763,180553000.0,0.361106,5733410.0,1878,1079.9701862739998
2017-08-31,7911870.634777391,2332,165485000.0,0.33097,6919520.0,1659,662.1265015949999
2017-09-01,9158008.570075566,2675,186388500.0,0.372777,9229510.0,1869,869.637484163227
2017-09-02,5806567.053856527,1967,192270000.0,0.38454,6092920.0,1250,1170.7509844611202
2017-09-03,4461576.389029283,1614,153759000.00000003,0.307518,4038540.0,1144,956.271196074
2017-09-04,14395639.688236166,3301,142958500.0,0.285917,10708700.000000002,2073,1237.528002742949
2017-09-05,5801687.015146887,2048,118242000.0,0.236484,5406050.0,1476,728.1274095523503
2017-09-06,4396939.944128155,1780,118267499.99999999,0.236535,3987819.9999999995,1299,610.4619414253951
2017-09-07,6284687.153203094,3482,128225000.0,0.25645,8513980.0,1562,269.457144
2017-09-08,6291489.246216101,1924,154852500.0,0.309705,5590490.0,1334,725.2453521456256
